CED_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
CED239,5059,2355,1273,629,149,14,15932,93,1293,1489,1152,821,387,76,10,5318,2936,12813,8802,4594,2393,1188,310,76,33111,1067,3085,2889,2275,1444,684,238,83,11762,1302,3348,2403,2307,1918,954,489,261,12975,150,211,164,129,95,72,13,4,846,120,278,296,378,341,160,84,34,1692,1578,3834,2863,2813,2351,1190,584,297,15510,61,185,189,108,97,69,45,20,769,957,1995,1348,977,829,765,751,686,8295,6974,29380,22641,14269,9201,4904,2147,1180,90703
CED294,77,37,26,13,0,0,239,4,20,25,17,21,9,0,0,98,44,280,153,107,71,37,8,0,701,25,95,66,56,79,42,7,0,372,100,227,210,170,141,83,20,0,949,29,26,20,17,13,7,0,0,112,3,13,17,25,11,11,0,0,90,131,270,243,211,161,104,20,0,1148,9,8,8,8,8,0,0,0,37,397,694,879,659,422,207,45,15,3316,608,1458,1448,1099,779,411,85,18,5907
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,0,0,29,0,6,16,3,15,4,0,0,40
CED301,1214,766,610,291,78,11,3793,69,575,647,549,435,263,72,7,2614,918,4072,4058,2669,1660,1084,397,91,14955,858,2812,3121,2844,2300,1240,424,75,13673,3985,7849,6743,5851,4799,2777,1081,240,33339,1155,669,452,308,202,131,35,6,2954,320,409,519,542,477,346,140,26,2769,5457,8926,7717,6698,5482,3258,1252,274,39056,48,103,116,97,105,159,75,19,713,1898,2063,1863,1631,1438,1274,1085,537,11781,9286,19344,18725,15258,12026,7568,3384,1007,86594
CED302,3435,2308,1357,669,217,39,10194,76,647,1007,1008,695,399,102,25,3959,1970,6677,7914,5837,3247,1925,720,186,28480,931,1998,2924,3129,2314,1389,562,147,13396,2214,3458,3672,3794,3138,2041,988,305,19605,494,223,230,191,165,126,51,12,1487,176,197,367,457,443,358,192,54,2238,2885,3879,4269,4439,3742,2523,1225,370,23332,45,102,170,139,135,129,77,29,834,791,1052,1065,973,840,796,822,654,6996,6816,16409,20785,17844,12335,7830,3718,1444,87186
CED303,1005,1083,922,615,225,48,4438,52,395,532,655,570,428,108,21,2758,1004,3158,3802,3456,2510,2000,751,171,16855,838,1847,2916,3338,2954,1957,814,192,14857,2838,4787,5229,5209,5207,3639,1626,377,28912,601,290,243,233,236,179,53,15,1847,202,251,365,506,582,503,275,62,2750,3641,5327,5839,5949,6024,4319,1958,449,33505,53,54,90,148,141,182,126,32,834,732,799,934,1047,1142,1258,1155,900,7969,6357,12097,15120,15678,14261,10764,5142,1808,81214
CED304,5089,3646,2351,1208,370,52,18388,159,1753,1500,1440,1025,514,149,30,6576,5073,17592,10537,7773,4502,2503,1009,196,49181,1942,3695,2724,2733,2142,1196,518,134,15087,2608,4503,2709,2261,1932,1004,441,134,15596,521,370,194,141,123,80,29,5,1454,216,357,364,374,341,265,120,44,2088,3347,5228,3265,2771,2401,1353,595,181,19143,116,298,189,136,127,98,67,33,1074,1498,3040,1900,1316,1102,875,646,418,10790,12484,36946,25204,19813,13653,7750,3355,1045,120247
CED305,661,578,471,255,78,15,2605,41,359,389,453,385,209,46,8,1885,794,2946,3011,2221,1566,986,349,85,11964,311,1247,1772,1887,1731,968,313,76,8305,2690,6561,6084,5237,4585,2664,904,203,28927,756,438,342,258,182,93,33,3,2109,215,259,336,353,363,242,118,22,1907,3667,7260,6764,5848,5128,3003,1050,229,32937,41,73,82,80,106,61,56,15,512,2238,3095,2759,2729,2405,1526,1156,602,16516,7124,15486,15434,13800,11798,7012,3044,1028,74725
CED306,771,626,506,303,82,12,2964,56,332,427,477,381,207,47,14,1932,951,3621,3270,2575,1708,1011,345,79,13560,410,1505,1949,2273,1935,1073,409,83,9638,2575,6137,5994,5742,5187,2955,1099,208,29911,721,343,312,243,188,122,35,4,1973,200,253,334,447,415,286,125,20,2088,3498,6736,6644,6428,5792,3368,1259,236,33972,51,92,91,111,93,90,71,15,601,1907,2577,2320,2395,2244,1643,1195,613,14894,6900,15491,15466,14885,12660,7700,3410,1053,77564
CED307,1647,1554,1016,567,140,17,5743,81,493,806,965,664,379,102,19,3512,1251,4239,5682,4687,2671,1581,569,95,20767,778,2133,3020,3490,2644,1514,506,106,14195,2961,5086,5186,5060,3976,2387,944,166,25766,694,348,234,225,183,142,42,5,1863,243,258,400,539,498,388,164,34,2531,3897,5686,5820,5828,4658,2916,1150,207,30158,44,67,96,135,113,126,84,15,669,790,961,964,1042,785,765,612,370,6291,6871,14342,18042,17699,12555,7849,3166,818,81336
CED308,1880,1295,969,570,198,28,6702,88,582,632,631,432,331,94,17,2805,1603,5141,4957,3801,2485,1816,729,132,20660,1708,3165,3519,3834,2908,1863,801,143,17951,3367,5890,5776,5901,4975,3443,1702,344,31404,708,356,285,250,235,197,66,7,2113,298,404,558,633,652,633,264,56,3493,4380,6648,6621,6785,5858,4275,2029,412,37008,76,117,158,167,189,187,122,49,1069,1695,2156,1908,1881,1501,1607,1456,758,12964,9646,19488,19666,18400,14337,10656,5424,1546,99160
CED309,1347,1332,1130,853,304,42,5956,41,402,711,811,719,578,187,37,3483,843,4304,5219,4469,3194,2435,1056,252,21775,644,1972,2829,3317,3096,2413,1001,289,15563,2627,4648,5234,5494,5220,3485,1522,383,28605,617,268,240,209,246,204,69,18,1871,208,263,384,518,575,574,268,99,2896,3455,5179,5860,6224,6035,4264,1855,501,33370,41,72,112,146,166,179,127,53,898,1050,1329,1517,1545,1390,1464,1370,948,10601,6113,14162,17602,17850,15735,12180,5894,2114,91651
CED310,1216,1133,975,822,311,60,5508,51,397,635,712,689,536,167,21,3208,1091,4564,4594,3909,2938,2355,1029,220,20702,701,1974,2815,3355,2941,2192,1012,277,15259,3123,5159,5415,5571,5161,3509,1674,476,30092,692,274,223,203,202,186,70,13,1870,265,282,392,505,553,571,303,82,2954,4079,5716,6034,6274,5914,4264,2048,570,34913,47,76,105,147,168,188,168,53,951,1216,1477,1401,1467,1487,1568,1496,905,11023,7237,15158,16801,16993,15113,11924,6225,2116,91560
CED311,464,424,280,146,35,10,1727,46,281,317,379,315,141,37,4,1517,591,2381,2548,1979,1362,834,258,56,10003,252,1166,1633,1954,1823,970,306,44,8141,2571,6097,6265,5756,5067,2807,924,155,29636,920,493,365,258,252,138,24,5,2453,162,258,337,433,391,279,99,18,1967,3648,6849,6972,6443,5706,3225,1041,173,34057,32,79,84,112,112,98,43,16,564,1936,2250,2327,2362,2435,1979,1229,467,14980,6518,13346,14337,13655,12029,7395,2949,766,70996
CED312,1173,768,488,300,77,13,4053,76,529,516,516,320,204,54,6,2221,1131,4403,4208,2650,1650,1098,410,68,15619,1356,3164,3462,3038,2161,1267,459,86,14991,4163,7480,6746,5985,4590,2935,1193,243,33334,888,534,390,271,210,148,54,10,2511,331,452,580,573,478,367,186,40,3009,5384,8466,7717,6831,5279,3448,1432,295,38858,73,120,133,132,124,124,93,21,821,1979,2512,2084,1752,1351,1300,1154,644,12776,10069,20364,19293,15681,11384,7736,3680,1131,89332
CED313,4810,3395,2094,943,289,43,16786,134,1506,1467,1409,892,465,128,23,6019,4722,14865,10361,7180,3937,2076,652,176,43965,1631,3112,2949,2872,2031,1100,472,126,14286,2344,4201,3051,2644,2234,1135,541,205,16354,470,282,170,150,114,76,25,4,1288,170,289,329,407,365,259,119,40,1973,2980,4775,3544,3201,2712,1468,688,243,19615,98,220,199,147,104,89,60,19,928,1572,2465,1640,1271,1020,801,602,426,9803,11463,31831,24967,19465,12781,6953,2885,1059,111404
CED314,1228,1072,874,559,210,23,5160,74,495,567,616,570,390,128,17,2867,1132,4172,4059,3072,2235,1746,715,172,17302,654,1772,2067,2417,2123,1456,664,159,11308,3510,5815,4804,4369,3834,2361,1017,234,25947,834,471,276,225,161,139,44,4,2160,231,244,299,426,372,345,174,64,2170,4572,6534,5383,5026,4377,2851,1234,306,30282,51,87,81,90,76,102,92,33,614,1337,1400,1211,1224,1217,1223,1209,735,9551,7897,15579,14603,13514,11467,8329,4245,1447,77088
CED315,1117,930,714,412,140,14,4387,96,543,624,549,409,256,51,15,2539,1212,4616,3789,2967,2009,1234,469,90,16391,531,1909,2231,2481,2024,1192,416,77,10863,3139,6231,5693,4918,4350,2384,920,182,27811,810,484,266,215,164,106,35,7,2084,221,275,325,367,366,254,120,27,1966,4170,6992,6284,5500,4879,2751,1070,217,31864,66,93,69,95,76,86,57,16,547,2512,2524,2071,1871,1569,1162,818,444,12974,8639,17673,16178,14398,11675,7093,3030,878,79562
CED316,493,522,482,384,154,18,2482,37,246,370,405,416,374,106,21,1973,483,2222,2504,2230,1918,1587,613,136,11692,274,1059,1497,2038,2460,1972,819,150,10260,2244,4248,4418,4850,5561,4877,2222,430,28850,699,416,301,274,248,251,84,9,2279,205,211,306,390,495,521,272,60,2471,3145,4878,5025,5522,6297,5648,2575,504,33596,35,59,64,81,128,163,154,39,707,1115,1241,1207,1494,1800,2222,2161,962,12202,5099,10108,11159,12298,13490,12352,6582,1827,72917
CED317,536,479,451,308,94,14,2341,30,311,380,394,365,244,68,8,1800,621,2781,2530,2037,1642,1238,439,66,11346,333,1426,1781,2153,2073,1298,503,93,9661,2595,5791,5495,5441,5462,3363,1200,226,29573,731,394,301,270,250,135,40,8,2116,153,259,301,394,362,334,118,27,1940,3475,6442,6100,6099,6069,3829,1351,266,33631,44,69,75,94,117,121,76,26,622,2546,2738,2509,2718,2688,2332,1617,730,17879,7078,14214,13906,13976,13405,9362,4148,1190,77283
CED318,1264,1139,988,545,168,26,5124,47,552,645,761,575,355,79,6,3025,802,4689,4495,3783,2676,1678,581,110,18822,456,1991,2788,3202,2749,1602,574,106,13468,2631,5348,5431,5705,4829,2845,1085,241,28108,813,469,410,344,286,143,37,6,2512,215,300,406,467,504,390,157,35,2480,3657,6120,6252,6511,5620,3381,1271,283,33095,46,83,119,138,147,146,76,15,776,2549,3419,2750,2745,2499,2011,1165,481,17617,7600,17801,18315,18282,15257,9709,3920,1040,91924
CED319,2774,1762,1008,625,208,45,8545,61,950,1058,975,628,414,128,30,4241,1903,8314,7742,5025,2728,1632,740,232,28319,1059,2773,3025,2958,2158,1224,642,214,14060,2515,4652,4020,3678,3092,1868,896,361,21085,484,298,209,217,161,116,40,10,1532,208,271,361,458,421,322,173,55,2267,3205,5224,4592,4347,3678,2303,1108,426,24889,52,124,151,161,111,103,77,47,822,898,1485,1226,986,829,800,904,877,8002,7260,20913,20576,16207,11139,7108,3805,1875,88880
CED320,583,514,455,432,149,17,2498,67,395,465,464,379,339,111,9,2226,807,3020,2911,2336,1694,1499,683,114,13058,778,2466,2853,2982,2592,1876,757,139,14446,3924,7274,6651,6344,5501,3919,1755,336,35702,889,526,403,274,255,209,71,5,2640,304,407,478,584,572,553,239,40,3177,5121,8211,7532,7201,6334,4678,2057,383,41524,58,95,107,111,137,187,103,32,832,1585,1741,1602,1549,1452,1696,1397,758,11773,8426,16259,16055,15152,13035,10703,5253,1458,86348
CED321,374,355,348,228,92,9,1737,34,261,286,334,327,218,68,12,1540,662,2493,2339,1886,1479,1165,406,84,10510,265,1075,1550,1958,1996,1294,497,92,8725,2612,5000,4336,4359,4205,2907,1015,183,24627,677,423,304,278,263,172,41,4,2166,186,218,293,439,405,339,115,29,2018,3483,5641,4938,5076,4873,3415,1175,216,28805,27,82,81,86,106,124,101,23,623,1873,2020,1772,2140,2454,2226,1780,790,15053,6368,11877,11329,11832,11581,8672,4116,1224,66998
CED322,1863,1392,908,579,198,28,6562,79,584,710,698,497,365,99,15,3045,1566,5842,5918,4211,2471,1832,732,155,22726,1230,2348,3284,3372,2525,1674,647,188,15270,2510,4269,4706,4776,4202,2909,1319,342,25039,389,228,178,220,198,160,54,4,1434,236,260,441,532,561,486,240,66,2826,3141,4753,5322,5527,4965,3558,1612,414,29296,64,102,145,151,134,188,127,44,949,1082,1654,1483,1392,1206,1298,1415,1231,10761,7246,16784,18722,16752,12703,9492,4830,2072,88605
CED323,2027,1379,1045,681,270,41,8102,96,672,653,650,539,376,131,23,3144,2231,7955,5657,4138,2933,2215,932,224,26289,1801,3392,3181,3315,2852,1968,868,205,17575,2822,4946,4410,4696,4253,2909,1591,410,26032,505,282,201,214,201,172,58,11,1647,250,361,463,584,547,533,325,74,3135,3571,5594,5077,5489,5002,3618,1965,490,30811,87,200,180,147,197,200,156,58,1229,1824,3095,2260,2038,2118,2050,1691,1038,16101,9780,23397,19030,17148,14679,11117,6014,2085,103256
CED324,4674,2738,1727,990,338,52,14787,99,984,1080,1033,708,427,150,26,4503,2967,10211,8701,5624,3528,2264,925,255,34487,1321,2697,2613,2343,1873,1260,624,168,12898,2123,3295,2779,2603,2223,1359,759,236,15373,494,247,188,132,135,96,28,5,1319,173,231,337,355,382,316,136,52,1985,2792,3769,3301,3090,2742,1771,926,294,18681,89,184,188,149,127,137,96,40,1008,1123,1851,1345,1027,922,813,724,524,8319,8650,23706,21892,16002,11625,7662,3781,1363,94679
CED325,2846,1682,1033,620,185,29,8095,89,585,835,716,479,324,73,15,3116,1534,6355,6418,4065,2326,1437,554,135,22829,1205,2912,3228,2844,2040,1170,462,99,13946,3052,5363,4871,4126,3210,1772,715,163,23276,834,379,292,219,178,100,28,4,2041,287,354,492,522,469,277,157,42,2602,4171,6092,5659,4871,3857,2151,909,206,27925,85,117,204,154,131,98,75,16,881,1450,1878,1699,1296,1049,872,667,337,9240,8598,19572,20891,15630,10901,6670,2921,836,86022
CED326,2116,1144,791,526,183,36,5943,70,557,767,672,541,384,116,20,3133,1179,4654,5920,4059,2369,1757,764,186,20892,850,2747,3573,3384,2578,1810,747,184,15873,3267,5720,5783,5456,4381,2971,1465,390,29433,735,390,306,245,214,175,47,7,2121,272,367,517,593,479,480,211,57,2980,4275,6475,6604,6293,5072,3628,1719,464,34532,54,99,151,158,159,159,135,45,954,1043,1499,1502,1357,1199,1270,1296,969,10135,7524,17126,20641,17065,12710,9528,4962,1900,91465
CED327,2524,1098,650,365,117,28,6522,72,518,623,477,343,189,51,9,2273,1342,5095,5670,3183,1891,1274,383,67,18910,1086,2598,3274,2610,1929,1146,370,72,13092,3199,5302,5115,4541,3620,2271,810,173,25036,845,462,362,259,187,106,39,3,2260,303,343,486,498,482,371,130,42,2648,4345,6112,5967,5295,4287,2744,979,219,29940,61,152,216,143,146,131,82,24,955,2036,2367,2193,1656,1236,1121,771,412,11799,9011,18514,20471,14455,10487,6975,2752,830,83502
CED328,5291,4301,2754,1874,869,183,18699,98,861,1278,1422,998,676,219,44,5586,3661,8106,8704,7686,4502,3223,1548,384,37817,1211,1536,2168,2656,2053,1521,849,251,12246,2243,2424,2195,2210,1788,1154,587,198,12804,611,165,138,126,85,71,45,13,1242,170,145,257,352,309,332,213,81,1867,3026,2738,2582,2693,2182,1555,846,286,15909,87,92,128,151,123,106,83,43,825,988,1023,805,737,611,598,645,509,5913,9309,17539,20954,19649,13225,9554,5063,1703,96994
CED329,527,682,668,659,235,20,3083,22,179,316,511,558,462,127,14,2181,342,1754,2636,2844,2550,2211,847,156,13341,310,1075,1736,2404,2824,2249,941,177,11722,2130,3773,4305,5137,5686,4392,1652,352,27431,641,344,282,308,294,221,71,8,2156,182,198,285,471,599,630,241,47,2639,2949,4311,4864,5915,6573,5238,1968,409,32229,42,58,79,116,156,202,126,41,811,1217,1241,1410,1779,2008,2101,1715,870,12337,4894,8897,11574,14241,15343,13117,5962,1686,75708
CED330,923,852,665,502,140,19,3649,52,368,576,592,410,301,65,7,2377,836,3167,3677,3004,1995,1467,522,88,14760,979,2128,2829,3296,2590,1483,501,95,13899,3262,6142,6902,6560,5691,3226,1183,192,33147,836,413,377,271,238,154,35,0,2319,256,338,485,578,577,418,162,29,2842,4355,6885,7767,7411,6503,3799,1379,223,38317,37,96,108,124,128,166,85,23,776,1543,1591,1752,1823,1577,1495,1045,523,11350,7845,14744,17630,17105,13867,9222,3733,987,85141
CED394,85,57,57,46,5,0,369,0,35,21,29,44,33,0,0,168,91,514,200,142,202,146,33,0,1322,45,152,136,156,246,194,29,0,959,161,379,378,331,509,408,59,4,2225,51,34,26,13,30,26,0,0,183,10,29,34,32,59,46,9,0,208,221,439,436,377,593,475,68,8,2617,5,8,6,17,14,10,7,0,72,425,801,750,645,528,371,97,18,3642,799,2066,1632,1417,1684,1277,239,26,9143
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,10,0,6,0,0,0,0,14,0,0,6,0,0,0,0,0,7,0,0,0,4,0,0,0,0,4,0,10,8,9,0,0,0,0,25,0,0,0,0,0,0,0,0,0,14,34,52,29,8,0,0,0,136,16,45,64,42,5,3,0,0,170
CED401,4744,2385,1696,1188,468,108,17306,99,1131,1156,969,844,695,175,28,5093,4016,13591,9138,5410,3746,2953,1065,279,40193,1188,2930,2796,2623,2349,1668,715,207,14465,2310,4004,3355,3229,2947,1732,768,326,18673,294,382,286,232,196,117,33,12,1555,150,233,321,485,482,394,174,60,2302,2753,4620,3960,3952,3632,2239,979,397,22529,133,265,202,152,132,129,89,32,1136,1429,1972,1458,1313,1122,1107,818,607,9818,10076,30766,23462,16798,13507,9968,4308,1654,110539
CED402,471,394,350,265,74,12,2077,34,258,362,396,423,349,83,13,1923,542,2604,2634,2139,1610,1387,575,117,11615,226,1146,1653,2224,2253,1828,642,135,10108,2850,5807,5525,5464,5228,3452,1219,282,29834,459,556,461,381,314,219,54,6,2444,171,242,374,551,522,420,188,47,2527,3478,6609,6361,6399,6062,4093,1458,335,34805,42,91,108,118,129,146,110,36,774,1454,1414,1430,1759,1999,2152,1721,848,12768,5814,12597,13015,13424,12831,10223,4667,1500,74067
CED403,3361,2288,1787,1288,483,105,12362,48,739,1053,1076,1024,803,270,47,5051,2283,8376,7770,5669,4029,3282,1440,427,33263,532,1764,2505,2853,2964,2464,1100,369,14553,1998,3604,3299,3459,3481,2485,1335,528,20201,321,281,251,219,165,155,61,15,1479,145,198,307,481,530,615,332,134,2747,2460,4088,3857,4158,4187,3254,1735,680,24425,65,117,124,143,145,164,162,53,978,739,976,895,855,936,1121,1070,772,7373,6287,18948,19564,17039,15076,12382,6252,2459,97997
CED404,450,332,321,227,81,5,1988,24,257,304,311,402,304,82,10,1700,618,2602,2337,1787,1464,1248,405,90,10559,218,1105,1497,1950,2263,1652,551,113,9346,2356,5612,5094,5497,5647,3677,1444,351,29684,396,625,505,363,325,180,41,10,2440,135,270,349,449,478,392,168,23,2263,2888,6506,5948,6305,6451,4254,1654,387,34387,40,74,110,100,125,126,72,32,674,1684,1767,1762,2114,2404,2371,1886,819,14817,5530,12834,12402,12897,13427,10181,4733,1462,73468
CED405,2167,1266,912,571,176,37,7427,56,582,773,700,626,448,105,15,3301,1790,7004,5855,3784,2764,1974,681,184,24032,564,2098,2593,2857,2771,1820,666,201,13578,2196,4819,4398,4529,4370,2794,1384,489,24969,362,392,285,264,209,160,48,5,1730,144,256,359,546,533,475,242,87,2640,2700,5464,5046,5335,5112,3430,1668,585,29338,70,129,141,150,147,151,88,52,928,832,1240,1040,1088,1209,1104,1037,621,8166,6121,18704,17611,15175,13539,9500,4425,1694,86771
CED406,1175,783,576,408,121,29,3982,47,422,570,570,513,372,125,9,2628,1060,4045,4051,2888,2081,1584,554,108,16368,329,1722,2701,2815,2570,1935,674,139,12885,2756,6424,6004,5669,5063,3677,1512,430,31530,561,564,474,307,264,186,55,18,2421,177,313,448,550,516,503,226,74,2808,3496,7303,6927,6526,5835,4364,1801,514,36766,58,93,111,115,143,150,111,43,815,801,995,1064,1013,1052,1134,1029,592,7687,5845,15420,16599,14703,12768,9950,4411,1428,81132
CED407,2044,967,537,334,112,16,6148,64,467,687,492,397,280,85,15,2488,1672,5403,5102,2930,1843,1274,508,125,18851,559,2108,2787,2859,2324,1672,602,106,13013,2545,5375,5219,5034,4405,3073,1623,432,27710,438,502,390,300,227,152,40,16,2069,178,251,409,543,497,401,223,80,2578,3160,6126,6013,5885,5127,3628,1889,522,32357,66,133,170,130,102,131,86,28,838,810,1028,1004,912,861,1029,1123,714,7486,6473,17246,17814,14182,11195,8344,4396,1531,81175
CED408,1339,1523,1283,1121,431,48,6555,35,367,687,897,888,884,249,32,4030,885,3438,4691,4497,3559,3395,1333,260,22056,262,1325,2216,3105,3335,3028,1272,238,14775,2271,4548,4976,5226,5216,3922,1746,388,28289,409,380,343,305,272,234,72,19,2035,158,235,359,559,641,740,339,93,3133,2839,5159,5683,6089,6126,4901,2156,499,33452,37,78,96,120,153,183,180,45,902,973,879,1047,1263,1521,1707,1403,762,9558,5064,12017,15765,17489,16868,15213,7024,1887,91331
CED409,729,372,261,125,35,9,2235,63,351,363,263,265,157,34,7,1506,994,3163,2517,1628,1049,713,246,59,10372,415,2090,2351,2123,1915,1043,339,69,10352,3409,7766,6211,5192,4309,2487,1045,268,30693,605,1021,607,355,297,149,39,4,3080,224,393,457,460,430,277,136,40,2412,4238,9175,7284,6008,5032,2914,1217,313,36185,55,138,112,98,112,85,52,12,661,1606,1923,1690,1524,1408,1389,1120,735,11389,7408,17514,15045,12010,10042,6426,3043,1209,72700
CED410,4828,3031,2090,1494,676,153,16629,67,753,1097,1085,1062,850,302,50,5272,2633,9107,8922,6770,4568,3572,1772,517,37862,654,1921,2531,2775,2605,2336,1227,396,14455,1826,2918,2815,3266,3040,2022,1210,452,17539,256,231,212,183,173,120,55,24,1245,143,210,300,458,526,476,303,115,2529,2223,3358,3328,3901,3730,2620,1564,592,21323,61,148,182,152,139,154,128,62,1035,767,1087,961,931,852,955,1199,929,7672,6626,20518,21853,18644,15046,11986,6874,2692,104245
CED494,17,13,4,3,0,0,76,0,4,6,3,9,9,0,0,29,12,78,44,30,42,21,3,0,234,5,23,28,26,42,22,4,0,154,50,101,79,84,85,69,9,0,472,19,22,6,0,5,5,0,0,60,0,6,10,8,8,8,0,0,45,69,127,95,94,103,83,9,0,577,3,0,4,8,4,0,0,0,12,77,172,183,149,143,75,13,8,820,173,443,376,325,345,212,26,9,1909
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,3,6,0,0,0,0,9
CED501,1108,654,404,197,72,6,3124,63,446,592,504,360,173,46,11,2186,824,3503,4133,2757,1499,901,335,66,14013,724,2481,3216,3054,2204,1124,408,111,13311,3655,7995,6975,6172,4867,2553,1174,275,33666,1291,717,384,298,243,116,40,6,3087,224,337,489,587,482,351,181,28,2695,5175,9049,7850,7056,5598,3011,1395,307,39444,82,139,185,175,176,149,92,33,1036,1558,2083,2025,1730,1408,1108,981,525,11422,8454,18332,19106,15936,11651,6670,3333,1059,84532
CED502,2515,974,451,214,76,11,5869,49,467,667,409,289,166,52,4,2106,1089,5324,6386,2985,1582,945,343,73,18715,849,2861,3500,2442,1740,1028,407,98,12921,3157,5974,5708,4508,3690,2485,1013,203,26737,1111,564,384,278,186,109,41,8,2691,200,332,453,489,396,316,158,39,2383,4471,6873,6540,5285,4267,2909,1211,253,31810,73,177,265,191,157,142,78,27,1108,1415,2049,2041,1614,1297,1116,910,561,10996,8019,19299,21914,13891,9780,6522,3077,1027,83524
CED503,633,546,458,323,115,16,2440,30,302,399,454,398,288,93,17,1981,545,2268,2662,2271,1757,1487,612,117,11720,492,1593,2177,2361,2395,1784,827,172,11809,2873,5751,5462,5266,5016,3596,1655,366,29990,966,417,322,229,240,181,63,10,2434,193,246,368,481,517,460,274,71,2611,4039,6414,6153,5970,5775,4239,1994,453,35042,57,89,139,135,184,206,168,46,1017,1104,1345,1546,1605,1498,1621,1494,853,11070,6296,12326,13716,13344,12466,9960,5297,1678,75077
CED504,1831,920,553,329,112,13,5880,66,660,687,541,392,242,94,4,2685,1655,6481,5713,3343,2202,1520,556,99,21575,947,2906,2898,2451,2128,1529,609,120,13593,2595,5168,4536,4165,3982,2609,1152,283,24494,853,419,338,292,234,135,45,3,2335,202,321,419,567,591,397,185,45,2731,3660,5911,5289,5031,4809,3154,1382,325,29566,83,194,216,202,191,199,111,40,1230,1271,1974,1829,1403,1307,1170,1037,496,10485,7820,20097,18464,13884,11581,8143,3909,1103,85011
