CED_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
CED111,9,198,0,200,..,405,110,512,3,510,..,577,152,730,0,733,..,698,203,901,7,910,..,2593,513,3106,56,3162,..,22492,4203,26689,216,26909,..,560,92,657,6634,7291,127483,23044,4297,27341,6855,161676
CED112,11,73,0,73,..,261,57,312,5,317,..,60,3,62,0,66,..,192,41,241,0,240,..,1702,209,1911,54,1970,..,9237,1267,10508,144,10654,..,496,46,537,8226,8758,143308,9733,1313,11045,8364,162722
CED113,0,110,0,114,..,257,45,299,0,299,..,59,5,68,0,68,..,144,38,182,0,182,..,1703,182,1880,42,1925,..,11436,1165,12596,143,12747,..,437,41,480,9622,10101,138683,11867,1207,13083,9772,161530
CED114,6,131,0,134,..,184,46,228,0,228,..,70,52,119,0,124,..,118,28,144,0,143,..,2022,371,2395,61,2460,..,12061,2645,14711,198,14907,..,487,83,571,12858,13428,144778,12546,2736,15282,13056,173116
CED115,41,344,7,344,..,652,372,1024,5,1033,..,637,173,810,9,821,..,21154,14179,35334,230,35565,..,14165,4855,19022,191,19211,..,80783,35762,116546,914,117459,..,1326,615,1944,10917,12858,43208,82112,36375,118486,11829,173523
CED116,0,47,0,46,..,188,44,230,0,230,..,29,7,38,0,38,..,142,38,182,3,186,..,1297,152,1451,31,1479,..,6749,786,7532,112,7647,..,406,30,440,10276,10715,145381,7156,818,7973,10387,163743
CED117,11,257,6,262,..,661,261,919,10,928,..,385,67,454,6,460,..,1728,788,2511,15,2532,..,2489,246,2735,82,2819,..,29527,5994,35522,369,35890,..,557,112,667,6114,6772,108065,30082,6102,36186,6482,150729
CED118,663,7488,76,7564,..,366,79,446,8,450,..,942,241,1184,17,1197,..,470,109,579,5,585,..,10366,1442,11804,260,12064,..,84680,9892,94571,911,95478,..,1059,249,1315,9098,10415,95650,85738,10143,95880,10013,201542
CED119,10,364,6,368,..,307,40,346,0,343,..,176,19,198,0,198,..,903,271,1175,13,1183,..,2048,242,2289,60,2353,..,23174,2896,26070,245,26315,..,437,40,478,4458,4942,119048,23612,2942,26548,4703,150300
CED120,5,49,0,49,..,206,44,247,3,250,..,146,9,156,0,157,..,227,54,280,4,282,..,2132,275,2403,33,2436,..,11732,1348,13082,120,13200,..,477,51,530,8199,8734,150163,12208,1401,13617,8318,172094
CED121,8,98,0,101,..,272,92,360,3,362,..,29,6,33,0,32,..,151,70,221,4,231,..,1214,196,1413,45,1458,..,6521,861,7381,109,7486,..,476,48,523,9554,10079,156851,6991,914,7906,9660,174420
CED122,15,368,5,370,..,861,207,1070,8,1077,..,785,187,969,9,974,..,1000,151,1150,11,1157,..,4862,759,5618,124,5738,..,54226,7530,61755,513,62272,..,911,185,1093,10013,11112,108550,55140,7717,62854,10525,181933
CED123,63,766,13,775,..,364,112,477,11,484,..,368,88,455,10,466,..,344,82,427,10,434,..,5396,692,6084,109,6189,..,31284,3938,35217,381,35601,..,704,135,840,11308,12152,140101,31993,4072,36062,11695,187851
CED124,0,23,0,24,..,141,23,170,0,168,..,15,0,15,0,15,..,71,25,102,0,103,..,842,107,951,24,978,..,3877,406,4282,63,4348,..,376,39,417,8982,9397,143609,4245,448,4696,9041,157347
CED125,36,802,7,807,..,580,179,756,9,765,..,322,64,391,4,392,..,1241,403,1646,18,1665,..,7850,1354,9203,173,9374,..,58755,7728,66478,707,67186,..,1366,232,1600,9795,11396,126911,60120,7961,68081,10504,205501
CED126,0,58,0,58,..,343,65,413,4,412,..,95,12,104,0,104,..,262,50,318,0,317,..,3503,482,3989,52,4036,..,20297,2393,22687,226,22912,..,527,72,598,4963,5558,126909,20823,2464,23283,5188,155387
CED127,0,47,0,47,..,217,32,254,3,254,..,50,5,54,0,54,..,185,41,227,3,229,..,2010,225,2240,52,2292,..,8805,905,9710,123,9827,..,408,38,442,5264,5707,129796,9210,947,10150,5385,145330
CED128,69,939,5,943,..,286,127,414,4,415,..,1893,450,2338,24,2359,..,5611,3089,8704,34,8734,..,16500,6982,23478,261,23743,..,71119,22526,93649,704,94350,..,1513,671,2185,10202,12385,68913,72635,23197,95830,10905,175649
CED129,97,2850,24,2878,..,325,65,386,3,391,..,519,76,593,3,595,..,636,107,736,8,750,..,5199,481,5675,162,5840,..,66103,9147,75252,699,75950,..,833,139,976,4193,5169,107097,66939,9290,76226,4887,188212
CED130,10,71,0,67,..,119,25,142,4,145,..,17,0,16,0,16,..,323,172,503,0,498,..,1820,425,2244,50,2296,..,7261,1327,8589,127,8717,..,486,64,556,12737,13292,136639,7752,1390,9144,12861,158649
CED131,7,255,3,259,..,230,61,293,0,293,..,66,8,78,0,78,..,492,162,656,10,666,..,2447,393,2843,67,2906,..,15170,2295,17467,202,17670,..,513,83,603,7188,7795,140700,15689,2383,18069,7396,166162
CED132,15,474,0,476,..,794,204,1004,4,1008,..,228,9,241,0,241,..,587,68,653,5,658,..,3378,351,3730,112,3834,..,43438,6220,49659,491,50150,..,546,75,623,6190,6808,110241,43985,6298,50281,6681,167209
CED133,0,20,0,20,..,189,34,225,6,222,..,18,0,18,0,18,..,99,31,125,3,131,..,1495,165,1655,30,1686,..,6736,922,7657,114,7771,..,438,40,482,12399,12876,148134,7176,963,8137,12510,168784
CED134,15,117,4,117,..,100,23,120,0,117,..,9,0,15,0,18,..,92,29,117,0,121,..,1251,111,1359,33,1392,..,6454,667,7124,98,7218,..,442,40,484,17696,18180,129567,6899,702,7607,17798,154967
CED135,621,7444,88,7533,..,471,154,626,0,626,..,1369,421,1787,13,1802,..,1352,369,1719,17,1737,..,12918,2008,14932,331,15262,..,103480,19771,123258,1204,124462,..,1292,402,1697,12336,14036,64772,104777,20178,124956,13544,203278
CED136,4,69,0,69,..,241,68,304,0,304,..,30,11,42,0,42,..,165,87,251,0,251,..,1393,217,1610,47,1652,..,7241,1070,8305,103,8412,..,449,31,479,7477,7954,159215,7687,1099,8781,7578,175578
CED137,191,3153,29,3184,..,812,317,1124,3,1129,..,1074,195,1262,9,1269,..,2874,486,3361,19,3378,..,5346,801,6145,191,6341,..,87913,20214,108126,913,109040,..,1025,272,1290,9849,11148,81637,88938,20484,109419,10758,201820
CED138,7,39,0,41,..,349,47,390,0,390,..,37,0,37,6,43,..,124,24,157,0,154,..,1523,160,1679,41,1716,..,9122,763,9891,137,10026,..,540,34,579,11797,12377,145033,9669,798,10465,11932,167436
CED139,6,131,0,132,..,107,31,139,0,139,..,12,0,14,0,14,..,142,38,179,0,183,..,2196,686,2884,43,2934,..,7727,1557,9283,125,9410,..,418,41,465,10862,11329,140614,8148,1597,9748,10991,161349
CED140,3,122,6,122,..,330,76,408,0,408,..,80,11,88,0,88,..,176,44,225,0,227,..,1769,197,1966,61,2034,..,11398,1487,12881,165,13046,..,491,68,557,6912,7470,131452,11886,1549,13437,7079,151973
CED141,3,69,0,69,..,197,43,244,4,244,..,32,5,36,0,38,..,116,38,151,5,157,..,1155,150,1306,50,1352,..,6324,788,7108,108,7216,..,443,28,476,5641,6110,138593,6765,811,7581,5747,151922
CED142,10,360,10,370,..,3974,1833,5810,27,5833,..,555,91,647,5,653,..,1980,482,2463,18,2478,..,4021,477,4495,108,4604,..,61265,10561,71829,555,72381,..,859,200,1060,13453,14520,117313,62127,10765,72895,14013,204215
CED143,4,83,0,83,..,383,83,462,0,462,..,153,24,177,0,179,..,272,54,329,0,332,..,3432,288,3722,88,3814,..,22924,2301,25229,304,25534,..,540,55,595,4528,5125,120160,23468,2354,25824,4835,150819
CED144,56,845,6,855,..,606,215,817,7,827,..,558,140,697,3,697,..,4484,2345,6830,41,6868,..,5087,1248,6333,163,6502,..,89208,24917,114121,974,115098,..,1265,411,1675,11398,13069,54984,90473,25329,115799,12368,183154
CED145,5,59,0,59,..,297,58,356,0,357,..,181,16,197,0,193,..,280,31,317,0,314,..,3699,201,3899,56,3953,..,24084,1944,26025,243,26271,..,492,37,525,7714,8240,111590,24581,1978,26559,7956,146102
CED146,48,800,9,808,..,439,155,592,3,596,..,1351,277,1628,9,1637,..,8375,4214,12593,90,12685,..,13938,3019,16958,200,17152,..,91436,19160,110596,887,111483,..,1759,453,2213,10544,12751,74934,93199,19613,112812,11425,199172
CED147,3,52,0,54,..,261,66,327,4,328,..,474,105,577,6,582,..,301,117,420,0,420,..,1873,293,2171,52,2217,..,14984,2315,17304,193,17493,..,551,64,618,7327,7941,143112,15540,2381,17922,7519,168545
CED194,0,13,0,14,..,10,3,14,0,16,..,12,4,11,0,11,..,25,16,39,0,39,..,171,32,203,4,205,..,966,159,1125,25,1150,..,35,6,40,3764,3803,6417,1003,162,1166,3781,11371
CED197,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
CED201,67,1452,6,1457,..,321,34,355,4,362,..,151,24,175,3,176,..,967,315,1282,10,1294,..,2945,518,3469,112,3575,..,38443,6803,45242,493,45732,..,586,107,690,4525,5217,108159,39023,6906,45930,5017,159103
CED202,0,153,3,153,..,151,27,172,4,176,..,32,3,34,0,34,..,187,24,216,0,215,..,1445,169,1611,47,1661,..,8420,859,9280,130,9407,..,405,39,443,7723,8167,134667,8824,895,9719,7854,152243
CED203,3,90,0,92,..,103,19,125,0,125,..,35,3,41,0,41,..,140,46,188,5,190,..,2060,942,3003,62,3062,..,7375,1576,8955,132,9085,..,385,63,450,9130,9575,133894,7763,1636,9401,9261,152555
CED204,466,3646,40,3691,..,238,67,304,6,310,..,891,235,1127,4,1128,..,2295,932,3228,25,3249,..,16874,4907,21778,245,22022,..,68439,14481,82925,742,83669,..,1489,492,1976,8885,10863,84612,69934,14977,84906,9622,179139
CED205,64,906,18,926,..,283,90,379,4,379,..,11221,3096,14318,97,14421,..,1278,636,1909,12,1915,..,16674,5756,22432,286,22713,..,90199,18501,108701,1130,109831,..,1872,634,2511,9804,12315,66341,92073,19137,111210,10933,188482
CED206,5,86,5,90,..,189,31,225,0,223,..,38,0,40,0,40,..,164,25,188,9,193,..,2702,821,3525,67,3586,..,10600,1747,12347,147,12500,..,484,74,559,5272,5831,139114,11084,1822,12911,5424,157444
CED207,100,2822,20,2839,..,428,74,503,0,500,..,205,33,242,0,242,..,2365,504,2865,14,2872,..,4329,423,4752,86,4840,..,75653,15767,91424,636,92059,..,636,158,787,6419,7211,84386,76288,15923,92211,7053,183655
CED208,30,463,9,470,..,269,41,307,0,307,..,385,79,460,3,467,..,2292,825,3113,23,3136,..,3517,472,3986,98,4084,..,40388,9037,49424,433,49861,..,580,111,691,6138,6826,99594,40963,9150,50110,6574,156279
CED209,3,105,0,105,..,130,17,148,3,146,..,80,6,85,0,85,..,216,43,257,8,260,..,1674,175,1844,53,1896,..,9615,899,10511,157,10675,..,352,27,380,6385,6765,135313,9968,924,10896,6546,152752
CED210,39,359,4,365,..,249,65,316,6,319,..,211,53,266,0,266,..,456,197,652,10,667,..,3742,1152,4902,91,4993,..,19076,3457,22534,258,22788,..,474,89,570,8406,8973,127478,19553,3545,23100,8664,159242
CED211,30,582,3,587,..,383,56,446,0,444,..,107,22,126,0,126,..,944,267,1211,10,1222,..,3913,1557,5463,146,5608,..,34311,7590,41898,486,42387,..,630,154,784,4939,5723,118998,34934,7746,42680,5430,167110
CED212,24,345,3,350,..,314,60,373,4,376,..,163,28,185,0,187,..,289,63,356,0,356,..,2475,390,2860,65,2929,..,14690,2029,16712,202,16921,..,544,44,587,7123,7707,133390,15231,2071,17305,7320,158012
CED213,0,20,0,20,..,174,25,198,0,198,..,62,13,71,0,71,..,86,23,101,0,101,..,1037,131,1169,27,1193,..,7138,763,7899,105,8011,..,386,25,408,8133,8538,133808,7521,782,8308,8242,150355
CED214,131,763,9,769,..,392,75,471,0,475,..,974,294,1269,6,1278,..,22856,12099,34958,278,35234,..,11366,2682,14050,198,14250,..,70273,22757,93035,860,93895,..,957,311,1269,10403,11673,70818,71235,23067,94299,11264,176388
CED215,82,1726,28,1748,..,386,78,463,7,467,..,273,32,304,4,311,..,2487,880,3373,39,3414,..,9911,1295,11209,269,11471,..,66729,9468,76193,980,77173,..,932,167,1097,9099,10198,102615,67658,9630,77293,10076,189984
CED216,14,129,0,132,..,134,62,196,0,200,..,28,3,33,0,33,..,201,99,304,10,312,..,1267,226,1493,50,1542,..,6763,1004,7767,115,7887,..,405,64,464,11631,12092,134378,7167,1061,8231,11743,154357
CED217,7,336,9,344,..,221,25,249,7,254,..,294,21,315,3,318,..,534,74,613,0,611,..,3756,279,4026,86,4112,..,27561,3729,31289,296,31584,..,537,58,598,4733,5330,117819,28092,3794,31883,5030,154736
CED218,109,1263,8,1273,..,303,58,368,3,366,..,1729,351,2083,11,2091,..,9310,4639,13952,112,14072,..,12778,2531,15310,194,15504,..,73978,14125,88106,737,88841,..,1186,315,1503,9383,10889,78373,75166,14438,89608,10124,178100
CED219,57,501,8,514,..,236,44,283,4,282,..,506,60,563,4,568,..,746,313,1059,17,1073,..,6479,1313,7790,141,7931,..,30464,4188,34653,446,35100,..,733,158,888,8218,9113,121179,31200,4343,35548,8666,165389
CED220,22,630,9,633,..,381,72,458,4,465,..,245,54,304,5,305,..,952,139,1091,9,1105,..,3217,281,3501,77,3581,..,33237,4598,37832,365,38194,..,446,54,500,5947,6453,110412,33681,4654,38339,6311,155062
CED221,253,3082,47,3132,..,345,88,433,3,437,..,700,135,829,10,844,..,1041,449,1491,4,1495,..,16205,4275,20481,297,20778,..,67022,10969,77993,884,78879,..,1476,448,1924,8266,10189,98187,68505,11411,79921,9148,187255
CED222,98,1857,14,1871,..,542,262,808,3,813,..,619,201,825,9,827,..,11406,6191,17603,108,17710,..,8694,1963,10656,192,10846,..,84968,24998,109965,982,110949,..,1198,463,1656,7528,9181,75459,86164,25457,111624,8511,195590
CED223,9,71,0,71,..,147,34,182,5,180,..,21,3,27,0,28,..,178,105,281,4,281,..,1275,270,1542,39,1583,..,6698,1002,7700,125,7822,..,390,57,449,9957,10407,138386,7089,1060,8146,10080,156620
CED224,47,834,7,842,..,315,64,375,0,372,..,1030,194,1224,11,1236,..,2017,614,2632,17,2654,..,6134,1261,7392,99,7497,..,36384,6587,42967,398,43368,..,757,161,925,4861,5787,111369,37142,6750,43892,5266,160526
CED225,30,585,5,588,..,286,37,321,3,322,..,216,28,245,3,249,..,828,151,979,4,987,..,2995,398,3391,106,3496,..,27107,3894,31000,335,31331,..,511,59,567,4309,4876,122659,27615,3953,31564,4643,158869
CED226,14,656,4,664,..,328,38,367,0,367,..,197,17,213,3,217,..,1755,276,2032,14,2041,..,1971,185,2156,64,2224,..,41013,6883,47901,345,48247,..,444,46,491,4476,4971,110140,41460,6935,48392,4821,163354
CED227,137,1667,12,1680,..,214,41,253,3,261,..,195,32,229,0,234,..,345,76,420,4,424,..,6150,1077,7227,150,7373,..,37649,4425,42070,500,42571,..,787,133,922,7118,8039,118865,38435,4556,42988,7614,169469
CED228,152,2690,41,2729,..,406,115,516,3,520,..,243,42,281,0,281,..,1391,460,1855,14,1872,..,17385,3779,21159,369,21530,..,82427,10947,93371,1203,94570,..,1346,347,1691,10718,12405,94342,83773,11292,95061,11916,201323
CED229,18,478,5,485,..,477,74,549,0,552,..,358,53,410,0,415,..,932,126,1059,9,1072,..,5615,477,6093,112,6210,..,38906,4150,43057,397,43454,..,593,77,668,9441,10114,114513,39503,4228,43728,9841,168080
CED230,17,144,0,146,..,188,164,355,8,368,..,300,161,458,4,462,..,406,453,855,26,881,..,2206,752,2964,62,3023,..,10245,3495,13745,210,13953,..,515,108,613,12433,13048,140635,10756,3605,14364,12640,167639
CED231,20,337,4,338,..,330,58,388,0,387,..,1111,186,1299,11,1311,..,2525,812,3338,26,3358,..,4555,737,5288,100,5390,..,37275,6249,43528,407,43935,..,621,93,712,5336,6048,103430,37898,6346,44241,5741,153408
CED232,33,541,7,553,..,211,31,242,3,245,..,449,65,514,0,518,..,264,59,326,4,333,..,2913,398,3308,101,3411,..,22647,2345,24993,353,25340,..,484,60,547,6449,6993,127556,23131,2400,25530,6800,159894
CED233,43,1010,9,1023,..,1515,388,1904,6,1912,..,504,112,617,5,624,..,3951,1517,5465,28,5500,..,5982,794,6774,135,6906,..,61687,9866,71556,467,72018,..,698,132,830,12929,13756,114188,62381,9996,72378,13398,199964
CED234,25,616,7,621,..,256,39,294,0,299,..,277,51,327,0,327,..,1185,285,1471,15,1483,..,2476,382,2857,115,2977,..,62208,13982,76191,684,76877,..,593,120,708,4864,5572,90405,62797,14101,76901,5544,172855
CED235,7,68,0,67,..,154,29,181,6,184,..,31,3,38,0,38,..,139,66,210,5,213,..,1360,171,1531,23,1555,..,6190,817,7011,87,7095,..,357,24,379,8887,9263,129986,6549,839,7391,8976,146349
CED236,13,192,0,195,..,228,88,315,0,318,..,371,130,503,0,501,..,118,60,174,8,179,..,2476,802,3276,65,3343,..,12929,3052,15976,232,16208,..,549,80,629,11128,11759,131544,13477,3131,16604,11362,159507
CED237,200,2067,17,2087,..,216,53,267,5,277,..,1239,331,1569,3,1570,..,3469,1553,5022,38,5058,..,6383,1037,7419,152,7571,..,72339,13636,85975,816,86788,..,1163,277,1444,6878,8324,75286,73504,13913,87421,7694,170399
CED238,6,53,0,53,..,149,37,188,0,188,..,28,3,31,4,37,..,151,71,225,6,228,..,965,139,1104,37,1148,..,5147,892,6047,115,6161,..,352,28,375,10549,10927,137470,5502,923,6423,10666,154555
CED239,34,413,5,418,..,273,51,326,0,327,..,2299,609,2907,28,2929,..,1171,308,1477,11,1485,..,3700,604,4306,123,4429,..,46902,8166,55068,570,55638,..,740,121,861,6286,7147,95531,47648,8289,55935,6856,158319
CED294,0,6,0,6,..,7,0,7,0,7,..,25,13,32,0,35,..,32,14,42,0,42,..,187,40,227,6,229,..,794,171,962,15,977,..,37,7,45,3575,3624,4485,834,179,1012,3592,9089
CED297,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,27,27,13,5,0,5,27,38
CED301,24,281,5,283,..,208,40,243,6,248,..,40,11,47,0,47,..,416,199,620,11,629,..,3838,605,4445,112,4558,..,15819,1981,17798,265,18069,..,696,75,767,11105,11874,160014,16515,2050,18569,11369,189948
CED302,22,538,0,541,..,302,46,354,6,357,..,94,21,117,0,117,..,808,227,1035,8,1041,..,3083,365,3449,84,3528,..,31070,4467,35537,363,35899,..,641,85,725,4988,5716,121271,31710,4552,36258,5355,162883
CED303,3,106,0,107,..,237,41,276,4,278,..,60,0,60,0,69,..,182,49,231,0,236,..,1983,297,2274,49,2324,..,10588,1100,11691,144,11835,..,475,32,505,5277,5775,141607,11060,1133,12187,5421,159222
CED304,18,356,3,361,..,696,183,878,3,884,..,137,15,154,0,154,..,815,102,917,6,921,..,3316,313,3633,79,3707,..,30210,3070,33275,318,33591,..,548,86,632,8709,9340,140323,30759,3153,33908,9021,183255
CED305,43,199,0,200,..,166,40,209,0,209,..,7,0,3,0,3,..,270,181,453,3,457,..,1372,226,1596,44,1642,..,7025,1003,8031,113,8144,..,450,74,525,16019,16541,135107,7473,1080,8549,16136,159792
