CED_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
CED101,1053,19,6,24,1077,260,4,1341,6554,975,797,43,8373,117,42,160,8530,812,10,9346,5841,1525,721,38,8124,96,20,119,8243,604,12,8863,1438,317,667,14,2429,22,3,25,2457,171,0,2632,62,27,11,129,226,0,0,0,226,29,19,269,13891,2842,2204,219,19149,239,61,303,19463,1609,44,21116,123,29,22,3,177,55,7,61,235,27,0,266,178,54,24,3,266,46,13,60,321,34,0,358,306,77,51,4,438,100,23,126,561,63,0,628,14198,2921,2251,223,19591,341,90,428,20019,1676,49,21742,3570,927,829,143,5477,169,44,210,5682,2405,41,8126,29,20,11,57,110,9,0,9,116,16,91,221,17791,3868,3090,425,25174,521,129,646,25821,4094,179,30088
CED102,813,28,11,36,842,263,9,1114,6050,1042,524,60,7672,179,46,221,7900,719,7,8626,4929,1573,535,74,7113,134,35,166,7283,657,15,7954,1256,383,559,31,2242,32,5,38,2280,183,3,2462,69,10,8,120,211,0,9,9,214,30,16,261,12305,3014,1630,293,17237,349,90,433,17678,1585,46,19307,153,32,12,8,200,45,3,46,249,27,0,280,205,55,20,10,296,51,31,84,376,41,0,415,362,89,35,16,500,93,34,129,624,66,3,695,12665,3100,1660,308,17738,438,123,567,18300,1650,45,20000,3241,1248,766,162,5423,181,72,248,5670,2515,35,8222,37,9,4,54,107,3,0,3,105,26,117,250,15941,4361,2432,524,23266,625,195,816,24078,4194,202,28474
CED103,1277,39,6,47,1325,260,6,1590,10023,1247,460,68,11790,269,32,301,12096,754,14,12868,7019,1836,430,30,9315,145,43,188,9507,533,20,10057,1553,375,567,17,2516,51,7,61,2567,113,8,2688,76,25,12,116,223,5,0,5,231,19,44,294,18667,3480,1461,232,23843,473,82,558,24404,1419,81,25906,439,49,23,0,518,62,0,61,578,35,0,614,390,65,11,9,477,59,8,66,545,40,0,588,836,117,35,10,994,117,10,126,1123,74,0,1201,19501,3596,1499,245,24840,595,96,690,25524,1497,81,27106,4959,1160,468,127,6714,180,39,214,6925,1655,30,8611,46,14,4,63,125,0,0,0,125,10,107,245,24500,4772,1973,438,31678,768,129,902,32577,3162,217,35959
CED104,1537,38,8,41,1577,207,4,1791,11188,1263,349,43,12849,173,21,195,13044,636,20,13694,9352,1750,328,39,11472,149,12,169,11632,446,14,12094,1610,207,312,19,2150,17,0,17,2172,68,0,2236,87,5,10,121,232,0,0,0,232,15,12,256,22247,3232,997,228,26704,339,32,380,27083,1155,49,28283,205,26,3,6,240,24,4,30,267,15,0,286,290,41,4,6,341,27,13,40,381,25,0,407,495,65,6,7,582,52,19,67,649,44,0,693,22745,3297,1011,235,27287,393,54,447,27736,1198,49,28972,4211,701,200,82,5188,93,27,116,5301,957,0,6264,27,0,6,49,71,0,0,0,71,5,86,165,26979,3992,1208,359,32546,485,73,563,33113,2158,132,35403
CED105,955,44,23,62,1017,517,21,1556,3488,588,521,33,4636,126,41,170,4803,871,15,5692,3110,1251,574,70,4999,109,21,129,5133,909,14,6053,846,300,842,16,2003,32,4,35,2040,293,11,2339,79,34,21,145,286,10,5,13,299,54,30,384,7527,2177,1954,270,11926,273,71,348,12272,2134,71,14478,180,63,36,4,282,92,13,107,386,77,0,461,205,113,63,9,390,91,39,128,523,131,8,660,386,182,92,17,680,184,51,239,911,204,3,1125,7910,2358,2049,289,12599,456,128,587,13187,2338,74,15602,5345,2661,1931,447,10387,897,247,1143,11529,9516,145,21191,45,24,21,105,203,7,0,7,207,73,410,694,13301,5043,4000,844,23185,1366,372,1740,24926,11926,635,37487
CED106,1601,52,13,63,1667,235,4,1903,12078,1283,269,58,13691,288,71,359,14049,815,10,14873,9138,1833,221,47,11246,180,28,210,11449,437,18,11896,1505,277,244,0,2038,40,0,42,2077,84,0,2158,65,22,4,120,208,0,0,7,217,18,27,262,22789,3419,741,231,27178,513,103,608,27792,1345,58,29194,358,25,6,0,390,55,10,60,456,21,0,468,390,33,17,9,441,37,5,39,485,25,0,509,747,59,27,9,833,84,14,104,938,44,0,980,23542,3475,767,241,28014,597,118,716,28722,1394,58,30171,5853,815,206,78,6953,128,29,156,7110,1256,15,8379,37,0,6,42,79,0,0,0,79,9,63,145,29428,4292,975,353,35044,722,149,869,35913,2647,136,38702
CED107,197,0,0,0,197,12,0,211,7503,743,130,50,8425,64,21,85,8513,302,14,8834,9094,996,229,78,10407,72,15,90,10491,323,20,10832,1211,121,149,19,1499,4,4,12,1507,54,0,1566,103,16,11,81,214,6,0,6,226,9,21,252,17917,1880,520,227,20544,151,36,192,20734,693,58,21488,87,21,5,0,107,30,0,27,140,10,0,147,179,31,3,9,217,21,9,31,246,11,0,257,263,54,6,9,329,47,10,56,386,22,0,406,18178,1929,527,231,20873,195,48,250,21119,714,55,21893,3149,582,122,114,3965,88,28,119,4085,698,11,4800,27,4,0,26,49,0,0,0,49,0,83,130,21347,2514,653,371,24888,292,75,370,25257,1418,155,26823
CED108,1037,34,11,45,1073,310,18,1396,9791,1304,770,72,11931,194,55,248,12182,1058,29,13266,5568,1501,681,98,7848,170,34,203,8049,814,22,8884,1632,335,657,27,2654,55,6,59,2717,165,5,2882,107,48,26,197,384,20,4,21,406,65,39,511,17100,3195,2134,392,22820,437,98,536,23352,2096,98,25546,412,78,39,9,550,102,15,119,666,55,0,723,448,131,41,11,633,48,33,80,711,74,9,789,860,207,80,21,1174,148,47,204,1377,130,13,1522,17961,3404,2214,414,23996,587,147,736,24723,2229,108,27065,6519,1967,1144,349,9978,483,112,588,10567,4093,49,14707,86,12,10,126,233,3,0,4,240,39,190,463,24567,5386,3367,884,34203,1067,260,1329,35533,6362,346,42233
CED109,849,14,9,21,871,144,4,1013,6890,998,421,30,8339,96,18,115,8454,469,11,8934,7580,1782,415,60,9834,99,29,129,9962,428,7,10400,1715,400,368,19,2502,19,4,23,2523,97,5,2627,88,19,11,105,214,0,0,0,214,18,17,244,16266,3201,1214,217,20895,209,54,263,21154,1005,39,22202,90,16,11,0,114,21,5,24,142,24,0,165,172,28,18,0,215,10,9,22,235,15,0,250,264,44,24,0,329,37,11,44,375,39,4,416,16526,3242,1239,217,21223,241,62,304,21525,1047,44,22622,3162,702,259,96,4217,85,24,112,4327,742,15,5083,28,12,3,29,62,0,0,0,62,4,52,120,19720,3951,1496,343,25507,325,91,415,25924,1793,109,27822
CED110,186,4,0,8,187,33,0,221,5278,1005,132,34,6445,64,41,102,6548,417,7,6973,6470,1674,178,41,8360,72,27,106,8458,534,16,9012,712,151,111,11,982,4,0,4,981,43,0,1028,80,22,0,99,202,0,0,0,202,11,21,239,12535,2849,421,186,15991,142,69,205,16195,1010,42,17251,55,22,3,0,78,27,0,30,111,17,0,134,139,36,0,6,176,22,8,26,206,42,0,250,193,63,3,5,259,47,9,56,319,58,0,379,12730,2910,424,189,16254,189,73,264,16515,1071,42,17634,2197,828,119,115,3255,129,54,173,3432,984,13,4431,18,8,0,18,46,0,0,0,46,7,70,123,14943,3748,546,323,19549,315,129,441,19989,2065,126,22181
