CED_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
CED326,2899,3244,1794,1145,1379,616,251,11333,928,886,499,313,428,112,25,3186,968,889,449,266,339,106,38,3048,4427,4279,2531,1631,1985,626,234,15713,44,47,18,14,9,0,0,139,9265,9351,5293,3369,4142,1454,548,33420,172,374,255,175,278,115,60,1424,245,367,237,170,222,64,15,1320,120,217,153,121,135,40,24,798,1137,1746,1172,836,947,231,89,6157,56,69,29,29,20,3,0,202,1736,2769,1846,1328,1598,447,181,9904,10998,12122,7142,4701,5738,1894,729,43326
CED327,5285,5806,3116,1880,2404,1114,596,20194,859,863,495,290,364,110,47,3026,898,879,469,241,312,100,46,2935,2911,3041,1942,1250,1494,407,159,11192,58,63,46,22,6,4,3,204,10007,10648,6063,3690,4580,1734,848,37563,580,853,618,453,658,251,165,3582,334,402,254,153,182,46,28,1401,173,239,220,125,156,47,7,960,1208,1603,1011,747,850,163,65,5634,111,106,52,43,20,5,0,330,2404,3198,2144,1520,1867,517,269,11914,12412,13843,8206,5205,6443,2251,1113,49482
CED328,1973,2860,1661,985,1231,678,275,9662,912,1128,707,489,575,272,100,4174,859,1114,682,414,508,245,115,3933,3474,4139,2717,1845,2494,1299,494,16458,27,25,15,10,13,4,0,93,7240,9269,5777,3744,4812,2499,986,34322,98,287,229,196,258,182,81,1327,88,189,155,111,139,74,35,791,49,131,132,71,107,67,34,594,251,507,480,386,590,256,144,2612,13,12,15,11,0,0,0,57,495,1128,1006,778,1094,578,301,5378,7730,10396,6781,4521,5910,3074,1282,39697
CED329,318,435,331,234,315,60,22,1706,328,474,310,215,265,52,10,1654,463,524,325,214,255,47,12,1836,3384,4232,2772,1988,2320,375,97,15172,40,33,18,16,10,3,0,112,4538,5698,3755,2663,3158,534,138,20478,31,65,53,46,72,17,5,287,90,139,104,87,127,19,0,563,56,109,104,77,91,10,8,454,987,1422,1040,810,854,114,32,5262,30,52,51,29,21,0,0,181,1188,1790,1357,1044,1166,158,39,6749,5727,7490,5101,3710,4326,694,182,27227
CED330,1050,1259,886,611,757,290,131,4984,802,948,618,433,500,139,41,3485,817,958,576,345,467,120,42,3317,6187,6698,4171,2794,3229,760,233,24077,48,54,32,17,17,0,0,163,8903,9914,6283,4194,4962,1310,452,36021,89,156,133,120,128,40,18,684,201,242,183,99,119,37,8,894,112,149,125,96,107,22,14,626,1217,1697,1155,845,853,147,46,5957,57,51,27,16,16,3,0,174,1681,2295,1618,1170,1222,252,91,8340,10587,12208,7902,5370,6192,1556,547,44361
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED401,3577,3575,1747,1040,1363,824,494,12621,591,530,317,213,276,167,89,2183,686,592,328,182,216,119,60,2195,3526,3200,1966,1308,1739,955,493,13186,22,29,13,4,7,0,0,83,8401,7935,4376,2752,3593,2068,1144,30274,258,433,312,251,314,232,157,1962,130,183,124,97,111,64,46,759,65,109,83,66,82,61,21,480,463,763,594,446,570,232,163,3231,41,31,20,20,5,6,0,127,953,1529,1132,878,1092,595,381,6556,9356,9462,5504,3631,4684,2666,1529,36831
CED402,550,558,329,208,299,65,29,2045,208,302,193,120,154,37,17,1023,376,346,199,119,135,44,12,1229,5479,6013,3774,2594,2978,537,151,21529,33,36,19,12,10,0,0,110,6658,7248,4517,3052,3579,686,203,25940,48,60,37,32,51,14,3,246,83,107,70,59,72,10,4,401,30,79,44,40,55,4,3,257,1141,1678,1192,865,974,164,34,6042,56,57,41,23,13,3,0,191,1350,1980,1384,1014,1158,203,49,7135,8002,9230,5901,4065,4735,889,248,33073
CED403,2001,2019,1001,587,787,528,332,7256,610,671,412,261,383,211,119,2663,717,675,363,261,330,143,93,2578,4155,4227,2588,1817,2308,1147,653,16881,14,19,13,3,5,0,0,59,7490,7611,4370,2935,3814,2024,1203,29444,89,205,166,129,173,103,86,939,75,163,101,88,143,68,32,679,57,118,97,63,89,41,32,496,410,785,604,465,674,304,171,3409,18,31,20,10,3,0,3,86,650,1298,994,757,1082,515,318,5612,8146,8905,5364,3694,4891,2544,1521,35055
CED404,338,375,193,122,159,30,9,1233,218,207,143,90,126,17,7,806,309,294,140,94,95,19,8,953,5836,6173,3841,2442,2635,394,94,21422,50,52,38,32,22,4,0,186,6753,7097,4363,2770,3029,462,118,24594,15,28,31,14,34,10,0,136,60,79,61,37,58,8,0,305,21,46,47,39,55,4,0,221,1469,1964,1258,937,962,136,31,6751,50,82,44,36,21,3,0,246,1609,2197,1450,1070,1132,163,32,7657,8363,9292,5813,3842,4163,622,159,32253
CED405,1862,1866,940,598,830,539,326,6972,592,493,274,184,281,146,78,2058,660,558,286,156,210,125,71,2069,4349,3981,2330,1565,2002,950,526,15708,32,27,9,7,0,0,0,77,7492,6926,3842,2516,3325,1761,1004,26881,131,229,159,126,218,119,98,1079,122,165,119,69,115,54,39,675,67,116,81,59,71,23,33,455,652,973,733,568,679,262,159,4026,48,31,23,24,11,4,3,142,1021,1515,1122,840,1091,457,332,6379,8511,8441,4968,3360,4418,2223,1336,33255
CED406,946,1191,749,529,819,423,270,4919,667,640,378,221,288,130,63,2386,715,633,310,221,284,128,59,2345,5032,4829,2766,1725,2065,706,367,17487,17,23,16,3,7,0,0,73,7375,7311,4212,2713,3460,1384,758,27206,63,114,107,79,115,72,50,595,125,246,182,125,146,50,39,910,87,147,113,84,111,43,23,608,984,1712,1157,808,907,273,129,5968,43,46,40,26,14,4,0,174,1306,2259,1587,1119,1292,447,239,8247,8681,9568,5802,3823,4750,1829,995,35451
CED407,2884,3062,1616,922,1292,820,519,11111,475,532,301,236,330,157,82,2115,563,532,321,202,246,150,76,2090,4194,4247,2551,1725,2097,799,379,15997,36,25,14,16,7,9,0,104,8154,8399,4805,3094,3964,1934,1065,31414,185,301,232,177,250,161,135,1431,116,185,122,79,122,58,28,708,50,113,91,69,82,37,23,471,803,1220,907,679,832,278,131,4858,42,39,32,21,12,5,3,148,1189,1867,1381,1029,1295,538,324,7620,9339,10268,6186,4123,5260,2469,1391,39036
CED408,401,551,445,299,471,208,107,2486,566,691,420,324,420,170,64,2650,632,664,385,248,351,137,74,2499,5546,6235,3789,2466,3040,1043,453,22576,28,28,21,19,8,9,0,108,7169,8159,5059,3368,4300,1567,704,30315,27,45,67,43,83,31,26,326,107,160,135,93,116,39,19,668,55,132,94,46,91,35,15,465,648,1157,883,652,785,255,92,4474,32,31,22,18,15,0,0,122,866,1527,1196,858,1085,365,153,6046,8027,9687,6257,4228,5389,1926,858,36370
CED409,2963,3018,1598,1001,1238,754,436,11004,417,445,274,201,251,95,60,1746,497,441,255,151,184,68,44,1638,5281,5250,2970,1838,2034,561,252,18179,46,34,26,18,13,5,0,143,9196,9188,5133,3209,3721,1477,787,32712,387,526,374,254,372,193,130,2227,194,246,138,97,146,39,25,887,87,132,120,86,106,34,19,580,2216,2855,1797,1187,1153,312,118,9640,93,104,52,50,36,6,0,345,2977,3862,2480,1677,1813,581,292,13684,12176,13056,7615,4881,5530,2057,1083,46398
CED410,3216,3810,1843,1126,1423,866,471,12747,488,616,431,288,381,260,147,2611,718,677,390,229,329,188,117,2646,3530,3861,2417,1774,2385,1446,797,16207,23,33,10,11,7,0,0,85,7967,9000,5087,3424,4522,2755,1528,34284,153,362,267,213,340,197,145,1682,90,150,112,83,139,71,57,697,60,103,82,59,86,55,35,479,396,686,545,446,604,325,187,3187,27,30,18,12,13,3,0,98,720,1333,1020,818,1189,646,423,6148,8688,10329,6111,4243,5706,3402,1953,40427
CED494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,2757,3118,1832,1238,1576,609,331,11462,1248,1122,566,342,414,78,42,3813,1320,1151,590,356,372,98,46,3933,4813,4498,2725,1720,1896,422,166,16235,36,50,30,17,10,0,0,140,10165,9946,5740,3675,4271,1216,585,35586,225,368,299,224,300,118,72,1604,339,390,271,169,186,39,26,1417,157,269,175,134,147,31,21,934,1282,1702,1083,817,792,131,74,5872,66,59,39,13,17,4,0,192,2062,2794,1872,1353,1431,317,192,10023,12234,12735,7612,5025,5700,1534,771,45606
CED502,6064,6209,3140,1801,2277,1157,713,21352,855,798,477,321,341,108,54,2942,892,854,369,245,283,89,38,2773,3390,3146,1747,1101,1224,295,142,11044,66,50,28,20,7,0,0,171,11260,11059,5761,3478,4136,1647,952,38289,356,519,351,251,376,190,129,2182,216,304,198,141,133,45,40,1076,144,214,145,107,96,32,22,759,1089,1338,871,632,621,117,65,4734,61,69,46,38,21,10,3,239,1876,2448,1607,1165,1245,395,261,8996,13132,13504,7363,4650,5375,2043,1209,47287
CED503,1274,1516,1012,663,934,348,173,5922,794,781,415,301,358,113,34,2803,923,871,468,336,350,98,36,3073,4356,4347,2669,1722,1863,416,176,15548,40,51,38,25,5,0,0,153,7389,7563,4608,3045,3514,973,416,27490,96,211,159,109,174,56,31,840,196,286,184,88,113,24,17,911,138,209,120,103,110,31,8,718,1022,1446,929,675,674,119,56,4928,39,45,30,22,8,0,0,140,1494,2195,1425,1000,1080,235,110,7544,8876,9757,6036,4036,4597,1204,530,35034
CED504,4458,4308,2174,1371,1891,1125,757,16087,874,754,398,265,354,177,72,2899,923,729,375,242,318,119,64,2760,2808,2513,1447,968,1224,441,227,9618,59,66,34,16,13,4,3,193,9124,8368,4427,2858,3794,1856,1123,31560,411,685,436,363,479,282,194,2848,170,279,165,141,160,53,34,1002,114,195,140,101,112,36,33,727,702,986,683,465,561,153,83,3635,61,83,45,16,17,10,4,228,1451,2222,1466,1083,1327,537,350,8436,10580,10591,5892,3943,5124,2397,1471,39998
CED505,2123,2603,1609,1073,1370,817,413,10019,1037,1042,670,458,629,374,177,4389,1030,1231,712,473,607,305,163,4534,3486,3555,2381,1545,2189,1258,543,14951,19,13,14,9,5,0,0,59,7699,8450,5380,3564,4801,2759,1301,33953,92,250,252,180,241,157,106,1283,79,174,143,139,189,99,42,868,55,154,114,84,145,78,48,683,207,450,381,320,446,231,142,2183,20,29,3,7,4,0,0,68,454,1063,900,725,1027,576,339,5084,8155,9515,6276,4289,5827,3336,1638,39036
CED506,1179,1177,686,410,508,59,36,4049,675,618,330,193,204,27,9,2049,981,886,437,266,241,28,9,2848,6505,6956,3886,2274,2135,207,56,22009,58,66,34,28,12,0,0,192,9392,9694,5372,3173,3094,320,106,31148,52,94,75,44,91,9,3,365,86,170,111,76,84,7,9,538,79,120,95,66,81,6,0,456,1493,2088,1402,916,841,62,13,6814,75,115,57,47,12,0,0,300,1784,2585,1749,1142,1113,84,24,8471,11178,12281,7116,4318,4204,401,129,39624
CED507,1033,1106,753,481,605,83,34,4104,659,743,447,292,359,31,17,2542,780,904,472,290,337,43,10,2836,4449,5109,3133,2142,2411,228,77,17554,25,51,28,16,5,0,0,127,6936,7919,4839,3220,3722,382,140,27155,71,113,92,71,103,16,3,474,117,212,157,117,112,16,0,729,84,172,128,99,132,12,0,626,878,1366,1011,763,823,61,17,4911,32,43,24,19,9,0,0,137,1179,1899,1415,1068,1176,109,22,6873,8122,9817,6252,4287,4894,486,167,34031
CED508,2685,2482,1272,812,1092,583,364,9285,1080,970,516,328,428,179,101,3608,1286,1068,544,337,405,178,92,3909,3978,3475,2053,1376,1636,623,301,13439,25,26,11,10,0,0,4,84,9048,8026,4399,2866,3567,1566,855,30322,139,275,209,171,228,82,81,1184,164,245,176,116,159,59,35,954,95,195,130,104,124,42,34,720,533,897,646,468,573,184,99,3396,43,43,28,11,6,3,0,142,977,1660,1193,868,1095,369,240,6396,10022,9684,5587,3733,4656,1934,1097,36725
CED509,3306,3326,1753,1093,1443,674,359,11957,1041,1015,602,407,465,153,83,3756,1080,1014,566,361,418,139,77,3643,4409,4256,2574,1715,2008,574,272,15808,50,40,36,13,13,6,0,165,9877,9653,5530,3581,4350,1548,798,35331,247,348,282,188,248,99,72,1494,164,281,167,109,149,38,21,930,107,172,127,93,132,36,21,684,830,1209,769,557,646,165,67,4250,44,42,37,11,6,0,0,150,1391,2055,1388,957,1184,347,178,7508,11271,11705,6920,4536,5536,1894,977,42837
CED510,2152,2664,1858,1323,1830,950,567,11343,1098,1272,721,441,630,270,146,4573,1101,1233,700,490,567,237,108,4432,3354,3846,2429,1586,1920,789,349,14268,25,23,18,16,4,0,0,93,7727,9037,5728,3847,4951,2248,1174,34708,98,260,206,185,303,141,100,1294,106,191,156,124,160,48,36,818,97,160,132,97,119,36,30,679,287,581,469,311,429,169,95,2325,31,18,7,10,3,0,0,72,609,1213,970,734,1013,395,260,5196,8336,10252,6701,4580,5964,2638,1433,39900
CED511,967,1072,604,410,492,66,28,3637,542,574,328,215,247,21,6,1921,794,777,419,251,252,24,0,2518,5333,5542,3242,2011,1975,148,27,18276,49,52,23,28,11,0,0,162,7687,8011,4616,2906,2972,262,62,26511,76,106,85,57,88,12,4,424,97,173,99,74,98,6,0,553,71,124,92,71,91,10,0,464,991,1436,972,728,736,61,18,4932,65,85,39,36,18,0,0,244,1305,1922,1280,968,1031,90,23,6623,8990,9935,5892,3874,4001,354,78,33138
CED512,4053,4495,2778,1934,2583,1169,692,17705,1443,1295,647,383,478,145,74,4455,1342,1301,629,366,418,132,49,4236,3810,3739,2034,1294,1411,352,201,12842,47,60,19,10,6,3,0,148,10694,10888,6100,3987,4896,1799,1013,39382,350,562,442,303,477,196,139,2460,236,341,224,148,175,43,22,1191,209,307,175,138,169,38,34,1072,743,1149,740,549,570,126,66,3948,48,49,29,25,16,6,0,172,1587,2405,1618,1166,1403,410,260,8853,12280,13292,7719,5159,6302,2207,1276,48235
CED513,2964,2290,1102,618,839,534,313,8668,1020,826,455,301,352,177,84,3223,1135,895,423,243,318,149,89,3245,3202,2510,1531,960,1190,588,265,10244,24,17,19,13,6,0,0,78,8355,6534,3534,2132,2701,1450,741,25452,201,327,222,185,227,144,121,1438,137,216,133,129,129,68,27,836,87,144,101,94,78,60,21,593,317,569,382,283,382,123,94,2150,29,41,12,8,3,0,0,94,769,1296,851,701,827,400,268,5111,9124,7825,4390,2828,3527,1855,1008,30560
CED514,4555,3811,1776,1015,1269,783,452,13668,843,661,361,261,343,133,68,2666,967,790,394,281,315,141,76,2976,3134,2698,1582,1034,1247,506,204,10398,50,34,16,10,10,3,0,118,9544,7997,4125,2606,3189,1565,799,29822,227,404,268,198,305,182,131,1712,159,195,123,103,105,50,35,775,109,146,109,62,97,39,35,596,493,803,570,446,483,135,91,3025,57,60,37,6,20,8,0,192,1044,1605,1117,822,1015,405,291,6290,10585,9602,5244,3430,4195,1969,1087,36114
CED515,3684,5240,3164,1998,2715,1796,1070,19661,790,873,560,390,521,275,135,3539,937,993,638,394,489,244,151,3841,2601,3018,2041,1457,1874,901,483,12378,19,33,21,19,3,4,0,93,8028,10153,6422,4251,5601,3224,1841,39519,166,402,361,290,441,269,185,2118,90,147,159,114,138,70,26,733,57,136,104,94,151,62,33,635,268,499,411,346,460,169,92,2253,16,25,13,11,11,0,0,80,595,1207,1053,859,1200,568,336,5826,8622,11355,7470,5117,6803,3793,2179,45342
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,617,562,280,151,210,89,33,1938,205,253,171,104,137,40,17,929,233,253,185,89,127,30,3,926,3168,3236,2069,1398,1702,473,122,12165,16,15,10,3,3,5,0,53,4236,4323,2714,1752,2178,642,175,16020,42,55,50,43,65,24,13,291,50,88,49,41,72,25,3,321,30,50,50,40,45,21,13,245,867,1243,850,611,657,160,50,4449,36,34,21,19,14,3,0,134,1019,1473,1022,758,854,236,75,5439,5263,5794,3739,2509,3034,879,250,21460
CED602,229,231,116,75,108,20,14,794,164,198,124,86,103,23,12,713,212,218,103,89,78,18,4,727,3475,3597,2255,1502,1782,407,101,13117,21,28,26,18,9,3,0,97,4108,4272,2616,1773,2083,469,126,15446,14,17,11,18,19,6,0,85,45,55,56,43,47,10,7,263,22,50,37,30,37,10,6,187,938,1287,905,661,737,138,30,4696,46,49,42,20,9,0,0,170,1063,1459,1051,769,848,158,45,5398,5169,5726,3675,2543,2937,630,173,20844
CED603,1258,893,417,236,332,143,80,3350,291,336,214,147,199,78,33,1304,319,355,221,130,143,69,35,1266,2263,2517,1645,1122,1432,543,206,9730,21,21,14,5,5,0,0,64,4144,4112,2513,1635,2115,828,357,15717,83,113,97,68,85,42,35,514,56,84,67,53,93,26,19,397,27,56,45,25,56,22,16,247,534,823,644,479,612,184,79,3350,22,27,17,10,3,0,0,85,717,1101,865,631,851,270,146,4596,4865,5220,3383,2271,2965,1102,502,20304
CED604,651,501,279,145,219,67,49,1907,324,383,237,160,187,75,40,1397,365,370,205,127,157,52,14,1292,3554,3712,2283,1496,1731,560,223,13563,7,11,15,12,9,0,0,55,4900,4987,3013,1932,2303,758,321,18218,30,52,27,26,37,15,13,203,69,111,89,63,75,25,7,431,17,63,43,31,43,18,11,241,628,1032,740,535,626,186,80,3837,45,42,30,7,11,8,0,145,788,1301,938,674,798,251,109,4850,5683,6288,3949,2600,3100,1011,429,23067
CED605,207,162,80,50,76,21,14,611,173,202,96,83,108,19,8,696,218,238,154,76,99,29,4,818,3690,3808,2412,1616,1684,396,125,13739,14,26,20,9,4,0,0,71,4309,4431,2762,1838,1972,475,156,15940,10,14,15,12,19,8,8,74,51,77,62,54,56,15,3,314,18,38,29,22,26,6,5,143,1022,1492,913,682,665,134,53,4963,39,42,38,29,15,4,0,171,1136,1670,1059,797,785,163,66,5665,5447,6102,3816,2630,2752,638,223,21604
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,978,893,407,209,301,72,28,2893,299,267,147,77,81,13,5,874,469,357,187,109,114,7,7,1243,4606,4780,2877,1657,1407,161,42,15520,58,53,32,22,10,0,0,168,6408,6346,3650,2070,1902,250,80,20706,51,83,65,44,45,14,9,318,35,68,43,30,33,10,0,222,38,56,38,28,31,0,0,194,1295,1781,1189,771,501,51,10,5599,63,43,31,25,12,0,0,184,1488,2038,1370,896,624,77,18,6510,7894,8381,5017,2971,2528,327,95,27217
CED702,1956,1734,892,549,729,281,126,6256,360,417,236,139,167,25,15,1354,667,601,306,170,210,38,10,2001,2887,2601,1446,948,952,161,78,9074,21,26,12,8,10,3,0,74,5886,5376,2886,1814,2067,509,225,18769,120,190,127,111,126,52,33,754,93,123,75,49,58,15,5,415,69,131,99,63,78,9,10,467,592,1004,598,452,435,50,25,3151,66,58,26,16,10,0,0,177,950,1507,919,690,701,126,68,4962,6839,6882,3807,2503,2771,636,300,23732
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED801,2035,2080,1067,637,769,435,218,7243,588,703,391,248,338,148,76,2493,709,740,434,275,331,131,80,2693,4542,4545,2642,1631,2072,736,368,16535,17,18,20,5,4,4,3,62,7892,8079,4554,2798,3517,1457,739,29031,83,189,133,92,143,105,46,795,107,183,100,102,119,29,20,656,49,103,82,71,94,34,20,454,651,1078,726,499,690,201,106,3959,34,31,9,6,13,0,0,93,925,1592,1051,772,1055,374,202,5962,8816,9666,5603,3565,4566,1830,937,34990
CED802,1344,1491,818,512,597,289,142,5191,575,599,385,247,357,135,81,2381,670,661,454,256,320,153,77,2597,2749,3025,1818,1217,1558,640,314,11327,9,10,7,7,9,4,0,42,5353,5775,3482,2245,2840,1224,611,21535,103,200,117,103,159,81,44,805,84,102,94,64,102,43,8,500,34,90,64,36,68,39,17,350,272,480,356,289,352,130,77,1965,30,22,11,4,0,0,0,76,525,898,643,498,693,291,155,3695,5880,6675,4126,2738,3531,1515,764,25227
CED803,3973,3904,1871,971,1197,693,320,12938,660,645,380,264,292,137,49,2429,846,820,420,248,308,115,49,2805,4333,4574,2524,1486,1909,642,255,15710,35,33,17,0,0,0,0,87,9852,9975,5208,2965,3709,1582,680,33969,245,371,244,135,238,108,71,1413,129,195,110,74,114,42,18,668,53,100,81,60,71,25,18,410,539,934,657,424,581,182,63,3372,41,24,15,10,6,4,0,95,1012,1616,1104,703,1004,347,176,5965,10867,11595,6316,3665,4715,1934,853,39934
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
