CED_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
CED101,591,341,210,125,449,383,122,169,26,2414,401,358,301,133,727,659,94,199,635,3514,10394,9150,7878,4453,15849,14636,3223,6198,1294,73074
CED102,636,416,295,145,513,412,97,140,41,2694,385,472,455,228,849,714,110,226,890,4322,10138,10791,10052,5337,19022,17524,3682,6816,1763,85136
CED103,550,473,288,142,510,479,99,209,31,2783,313,419,383,170,870,1017,155,288,754,4377,9089,12223,9144,5028,21364,23076,4692,8820,1420,94855
CED104,485,439,238,142,374,419,126,256,13,2496,205,378,246,163,512,692,138,326,381,3030,6283,11071,7692,4707,13506,17527,4193,9201,801,74975
CED105,673,319,238,94,332,307,65,78,40,2154,664,500,507,232,856,624,90,171,1215,4852,9833,8502,7310,3709,13532,10515,1935,3384,2160,60874
CED106,360,381,236,140,307,329,84,165,15,2024,174,413,309,157,545,743,158,429,466,3406,6186,11862,8191,4655,13714,19128,4641,11315,896,80589
CED107,123,423,330,191,579,575,199,477,39,2931,129,334,208,134,452,465,126,354,572,2760,3673,10473,8652,5566,15161,14419,4975,11996,1347,76265
CED108,457,310,203,109,548,432,107,140,32,2345,441,477,386,252,1291,847,144,203,1079,5125,9677,8976,8190,4964,22823,16960,3247,5065,2122,82020
CED109,610,425,271,149,388,483,87,218,32,2660,249,409,295,151,507,673,128,306,423,3151,7770,10588,7797,4631,12858,16070,4081,8941,1002,73740
CED110,100,428,303,225,588,476,143,255,34,2550,139,436,241,150,436,400,68,206,574,2650,3399,12013,9226,6671,13784,11557,3272,6822,1348,68093
CED111,651,425,277,110,448,464,95,216,31,2712,217,307,256,128,424,485,94,231,426,2568,7902,11861,8798,5036,14889,14254,4129,7471,935,75267
CED112,666,411,256,133,544,426,123,188,41,2795,251,335,254,161,551,510,88,239,517,2899,7858,10959,8103,5298,14541,12695,3411,6459,1198,70527
CED113,121,385,288,191,562,577,172,382,19,2697,132,353,228,148,463,586,138,333,553,2944,3803,10663,8811,5904,16061,16761,5050,10944,1361,79354
CED114,95,422,321,194,521,621,207,404,33,2826,156,375,279,192,662,625,177,354,661,3479,3346,10918,8863,6258,15850,15593,4936,12033,1546,79341
CED115,721,242,226,70,367,276,66,94,46,2102,531,422,352,207,1056,580,102,171,766,4183,9167,7185,5786,3343,14095,9904,2041,3652,1555,56720
CED116,147,418,326,195,489,469,103,229,33,2409,155,353,196,174,382,396,87,182,502,2434,4059,11477,8541,5532,12449,11657,3154,6574,1199,64638
CED117,430,388,298,153,484,429,127,226,18,2561,198,323,281,152,512,782,183,388,400,3220,6943,9389,7930,4968,16166,20381,5943,12710,866,85290
CED118,618,359,279,109,616,496,127,184,26,2821,427,426,389,204,1171,1088,173,288,822,4976,10850,10446,8945,5379,24235,22857,4212,7158,1707,95788
CED119,609,388,246,158,466,537,136,244,20,2809,227,309,202,147,511,621,122,277,341,2768,8118,10037,7749,4797,14716,16929,4485,8490,840,76164
CED120,526,490,297,191,640,669,185,391,47,3447,291,433,278,155,646,724,161,392,606,3684,7833,11540,8691,5542,16250,16617,4509,10839,1505,83323
CED121,252,507,401,230,732,748,219,353,39,3484,192,325,229,168,552,556,137,313,604,3070,5153,10954,8920,5826,15343,14904,4746,9959,1363,77165
CED122,531,447,350,165,495,491,106,224,30,2848,251,461,377,195,674,944,184,443,714,4239,8321,11929,9680,5276,18102,21832,5295,11734,1527,93684
CED123,682,395,269,132,616,570,153,303,23,3148,346,397,320,206,956,821,163,315,745,4270,9599,10583,8525,5479,20589,18228,4489,8536,1612,87639
CED124,108,382,320,225,499,498,143,275,31,2484,166,330,216,153,393,360,80,221,534,2448,3277,9854,8003,5672,11294,10447,3066,7092,1353,60066
CED125,677,393,243,142,622,535,174,241,41,3057,465,492,348,247,1078,915,157,287,846,4841,11654,10969,8614,5592,21982,17698,4210,7302,1839,89856
CED126,624,511,301,171,407,494,124,284,18,2933,221,455,365,235,562,819,186,414,420,3674,7104,12410,9003,5304,12083,16868,4369,10075,884,78113
CED127,551,446,268,153,441,548,147,323,26,2900,283,365,232,120,430,504,124,264,399,2728,7545,10812,7782,4712,12672,13350,3712,8133,938,69656
CED128,558,314,204,90,418,415,102,146,26,2275,421,416,312,179,828,631,119,195,795,3891,8906,7729,6198,3696,14300,11698,2626,4501,1600,61251
CED129,607,492,263,142,480,472,111,240,29,2826,269,418,267,179,809,946,174,381,562,4008,8814,12008,8674,5103,19672,23191,4933,10187,1204,93781
CED130,93,365,303,182,623,518,160,315,20,2573,143,316,197,144,411,419,96,292,574,2597,2966,9531,7606,5402,14226,12883,4094,10796,1400,68894
CED131,164,503,389,241,547,504,130,280,11,2772,122,368,231,161,539,539,131,218,463,2771,5023,13670,10564,7131,17378,16958,4831,8777,1012,85350
CED132,430,418,244,118,383,363,105,191,20,2277,181,366,288,168,601,939,218,544,391,3691,6208,10360,8068,4672,15757,23077,6263,15330,855,90576
CED133,109,395,333,245,641,553,115,270,33,2699,163,395,268,198,508,432,81,286,574,2906,3327,10873,9566,7046,14293,11726,3246,7876,1413,69368
CED134,73,328,223,155,553,539,163,418,35,2489,134,305,184,127,442,431,107,387,642,2753,2866,7858,6516,4753,12905,12711,4174,13922,1570,67270
CED135,453,354,242,115,491,395,90,154,26,2320,423,522,488,236,1115,953,111,204,1058,5109,9512,10735,9692,4857,22223,21932,3441,5771,2094,90249
CED136,226,510,404,262,692,701,187,321,43,3342,170,339,241,177,589,579,146,341,566,3142,5015,11556,9119,6118,16548,14968,4652,8580,1211,77758
CED137,605,385,274,148,495,444,93,218,18,2691,483,595,604,233,1000,1064,149,365,1112,5605,9927,13199,11371,5766,21664,23505,5006,10421,2005,102861
CED138,197,534,386,256,464,444,111,248,38,2674,195,620,418,226,520,537,92,276,641,3517,4222,13903,10702,7332,12423,11975,3125,7384,1472,72542
CED139,88,351,341,211,631,672,190,374,33,2902,116,297,213,184,511,528,113,333,617,2921,2985,9648,7969,5586,14789,14119,4645,11658,1508,72911
CED140,526,426,237,132,447,385,101,191,31,2468,203,359,278,147,426,494,103,238,432,2679,6953,11049,8100,5031,12586,13289,3256,6590,986,67844
CED141,273,464,320,183,566,487,156,222,27,2702,146,280,202,136,419,481,111,209,374,2355,4764,10326,8664,5813,13960,13562,3700,6657,846,68288
CED142,708,491,289,140,555,488,134,244,34,3081,320,584,532,249,945,1349,258,651,872,5750,10538,13721,11103,5710,24034,30094,7818,17720,1691,122423
CED143,444,398,270,134,290,367,109,193,28,2231,177,413,370,178,569,886,193,520,404,3711,5982,10472,8067,4807,12213,19038,5517,13652,893,80638
CED144,715,388,252,133,417,337,93,127,29,2483,582,462,385,190,663,583,88,174,908,4039,10744,9322,7622,4034,13895,12100,2554,4536,1837,66647
CED145,419,404,255,139,268,291,72,181,25,2050,189,469,384,197,475,966,273,702,552,4207,5530,9616,7520,4265,11162,19486,5706,15926,1174,80383
CED146,650,280,219,112,492,421,84,128,30,2420,532,455,355,203,995,730,112,192,876,4452,10973,9270,7410,4545,18817,14821,2858,5070,1845,75612
CED147,561,399,260,163,542,574,132,275,31,2929,255,367,234,142,498,514,119,263,487,2876,7098,11281,8727,5610,15086,14247,4072,7462,1198,74778
CED194,4,7,14,5,12,11,0,15,3,68,14,29,16,8,19,17,9,11,47,166,284,414,316,184,406,405,111,314,87,2511
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,233,508,424,234,686,652,179,297,21,3233,127,392,344,250,979,853,177,311,503,3942,3778,11736,9432,6321,18700,18400,4585,7495,1081,81521
CED202,160,423,328,201,503,467,124,272,30,2504,139,311,195,133,433,430,122,261,452,2480,4083,11188,8835,6247,13680,13764,4086,8016,1083,70971
CED203,158,469,333,194,498,511,130,263,18,2581,124,337,216,147,410,437,92,262,448,2478,4006,11204,8785,6527,13725,13123,3757,7758,1097,69986
CED204,228,530,435,224,732,643,144,250,39,3222,149,489,417,271,1327,1047,203,349,874,5127,3365,11399,9642,6386,20166,17431,4164,6550,1751,80845
CED205,209,413,426,175,649,535,108,177,44,2730,159,495,436,254,1063,866,151,239,1058,4720,3422,10544,9550,5871,19054,15909,3437,5800,2155,75741
CED206,303,632,483,267,645,770,197,406,41,3744,160,400,280,191,773,819,185,362,520,3685,4775,12359,9498,6572,15464,17160,4796,8789,1204,80620
CED207,210,504,423,225,527,462,111,205,25,2692,128,488,462,238,838,842,137,250,704,4092,3793,14153,11073,6418,18626,19626,4317,7923,1278,87202
CED208,239,439,385,220,564,483,114,191,39,2673,129,369,326,213,662,692,143,292,586,3409,4350,11363,10021,7066,17546,18165,4993,8575,1188,83259
CED209,232,528,409,195,442,460,120,256,33,2676,120,322,218,158,346,501,114,259,406,2439,4542,12580,9325,6318,13355,14841,4124,7863,1047,73999
CED210,173,465,348,172,507,486,95,213,22,2472,130,358,255,194,544,588,118,293,521,2994,4060,12109,9327,6236,15192,15671,4255,7996,1142,75988
CED211,212,486,433,247,660,605,178,296,13,3130,121,385,298,195,842,740,178,299,503,3566,4023,12477,9787,6697,17628,18622,4967,8568,1007,83785
CED212,311,441,378,203,558,612,150,270,27,2940,147,380,267,188,764,815,190,350,540,3649,4302,10931,8912,6438,15744,17068,4609,8365,1116,77486
CED213,281,469,378,200,416,417,118,212,25,2519,167,421,254,156,452,518,124,291,511,2897,4544,11276,8475,5808,11107,13203,3737,7520,1223,66888
CED214,267,523,565,261,663,495,127,186,38,3119,168,519,529,280,1147,819,161,300,1025,4954,4105,11001,10421,6501,19860,17695,4308,7229,1847,82979
CED215,218,425,385,235,573,521,145,245,32,2779,141,374,395,215,837,884,162,359,854,4232,4414,11081,9850,6642,20499,22936,5274,10102,1671,92478
CED216,149,396,304,195,470,508,128,254,32,2431,170,294,208,145,401,411,92,285,569,2571,3824,9981,7960,5678,11924,11792,3661,7936,1384,64133
CED217,184,435,301,219,307,364,135,220,23,2191,127,468,315,172,465,749,182,484,406,3368,3803,12754,8727,5909,11905,17546,5103,12261,868,78879
CED218,221,473,439,229,680,557,134,243,41,3025,137,436,380,249,1045,889,165,282,973,4559,3999,10989,9405,6198,20283,18476,4080,6967,1897,82283
CED219,218,433,364,176,652,589,162,291,35,2917,146,328,248,195,766,730,131,295,671,3525,4104,10025,8274,5805,17464,16841,4414,8151,1524,76596
CED220,182,395,368,162,420,344,113,206,9,2193,129,409,320,188,622,824,196,517,463,3667,3964,11851,9160,5958,16375,21066,6013,13621,991,88994
CED221,254,432,431,209,849,654,184,253,26,3289,147,455,433,298,1512,1113,200,364,961,5479,3875,10680,10345,7077,23563,19044,4588,7148,1887,88199
CED222,261,668,634,281,823,592,149,215,53,3676,175,677,606,362,1743,1107,170,301,1098,6244,3945,13568,11877,7100,23344,19644,4368,7091,1992,92931
CED223,167,422,307,171,457,550,137,326,47,2584,151,343,247,159,470,463,113,276,579,2801,4296,10816,8624,6546,13383,14254,4052,9368,1539,72871
CED224,222,450,423,229,588,506,155,259,26,2865,125,412,313,211,897,912,157,353,493,3864,3864,11263,9113,6418,17308,19019,5038,9163,1050,82227
CED225,200,454,360,229,501,497,115,278,25,2654,114,354,286,187,506,624,135,302,375,2883,4334,12194,9319,6527,14971,18242,4997,9674,831,81095
CED226,162,432,316,180,376,333,101,172,11,2078,145,425,290,176,497,705,130,413,461,3242,3827,14069,9526,6060,13643,18664,5250,12623,908,84572
CED227,285,476,423,211,715,651,166,340,34,3310,156,388,310,206,1007,951,186,382,676,4275,4129,11153,9402,6629,19441,18455,4837,8903,1490,84432
CED228,201,437,403,214,703,537,143,202,37,2877,162,431,495,295,1139,1008,150,297,1099,5070,4169,11437,10972,7145,23632,21592,4378,7285,2185,92800
CED229,270,528,466,225,518,480,130,245,31,2907,157,425,371,238,762,1018,231,532,635,4367,4655,12150,10764,6673,19460,24475,6530,14124,1241,100070
CED230,138,361,278,203,519,536,142,294,41,2516,182,374,256,179,566,506,113,272,823,3284,3606,10330,8238,6304,13890,14145,3929,10442,1824,72700
CED231,214,419,352,196,449,446,123,266,23,2492,123,337,293,158,700,606,132,321,527,3202,4161,10568,8830,5854,16488,18145,4987,9963,1068,80068
CED232,258,478,433,211,561,637,170,349,35,3140,139,350,256,187,668,723,166,357,496,3337,4318,11315,8948,6276,15855,17734,4898,9375,1343,80063
CED233,274,580,597,265,605,509,144,247,25,3247,206,564,529,262,783,1002,182,473,803,4804,6239,17121,14084,7851,24430,28997,7469,14391,1579,122175
CED234,211,551,452,242,504,545,110,239,19,2872,138,501,381,216,706,722,122,338,607,3741,3903,13645,10305,6368,16235,18296,4242,8915,1116,83013
CED235,174,459,320,208,495,530,125,308,49,2667,181,345,220,133,377,433,121,252,547,2613,3932,10587,8068,5507,10883,11539,3247,8034,1425,63234
CED236,166,453,328,201,581,609,166,315,46,2869,158,353,236,144,449,555,126,286,706,3010,3744,10087,7930,5938,13252,14147,4269,9406,1660,70437
CED237,205,476,423,197,687,524,145,194,34,2885,148,432,365,238,1094,820,121,230,805,4258,3545,10693,9631,6263,19992,16725,3636,5855,1658,78009
CED238,141,402,299,181,442,476,107,251,33,2320,156,393,209,135,374,445,112,266,630,2723,4212,11579,8531,6111,11829,13620,4048,10575,1611,72115
CED239,218,392,378,251,651,486,114,180,26,2700,130,333,325,192,709,680,140,291,604,3415,4433,11405,10166,7066,18515,19064,4884,8661,1254,85448
CED294,7,4,5,3,11,15,0,0,4,56,20,10,10,8,17,19,0,7,36,126,164,300,218,132,329,340,91,164,69,1797
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
CED301,508,433,316,217,735,571,177,348,36,3334,204,365,240,188,935,766,215,439,831,4178,6591,10269,8422,6357,20440,16299,5031,9795,1739,84937
CED302,465,393,277,171,605,598,138,318,20,2986,162,390,274,183,717,711,157,343,497,3436,5913,11106,8695,6034,18001,17746,4899,10032,1021,83448
CED303,544,429,335,251,660,589,165,376,38,3400,162,338,268,209,692,708,175,396,456,3407,6035,10412,8199,5938,15807,15194,4530,9647,1040,76809
CED304,570,478,373,190,651,508,183,312,25,3296,234,448,412,225,713,895,220,526,583,4254,8817,13536,11739,6898,22586,24365,7058,15624,1226,111844
CED305,105,424,312,204,687,643,231,532,34,3184,96,302,174,132,443,448,125,384,585,2703,3796,8765,7360,5231,14065,12548,4784,15842,1549,73943
CED306,116,425,358,236,813,698,297,558,25,3525,105,306,252,166,575,545,170,452,696,3270,3457,9446,7964,5970,15488,14271,5495,15169,1540,78793
CED307,538,405,314,214,687,648,205,399,30,3456,144,299,290,153,674,677,150,372,460,3213,6453,10588,8671,6056,17416,16811,5010,9587,1028,81628
