CED_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
CED217,8,15,6,9,0,0,0,0,36,18,17,22,11,9,0,0,0,83,12,48,128,225,230,515,444,358,1964,36,79,158,247,240,515,444,358,2074,9411,6871,8669,10728,9220,6616,3580,1169,56263,288,340,334,353,236,220,216,157,2144,9731,7287,9156,11328,9700,7352,4238,1690,60488,0,3,0,5,0,0,0,0,7,3,0,0,7,3,0,0,0,13,5,10,10,43,67,37,25,62,256,8,10,12,43,70,37,25,62,277,8606,7354,10019,12385,10141,8151,5002,2705,64366,234,313,342,355,271,318,317,366,2505,8841,7680,10378,12790,10487,8502,5344,3131,67140,8,11,8,8,0,0,0,0,40,20,17,28,19,15,0,0,0,98,22,55,142,266,299,545,471,424,2218,42,87,170,293,315,545,471,424,2359,18015,14227,18688,23117,19366,14764,8580,3877,120630,515,650,674,708,505,542,530,520,4643,18578,14967,19531,24118,20184,15854,9578,4822,127627
CED218,8,5,11,9,5,0,0,0,46,9,20,19,11,9,0,0,0,60,17,51,97,133,172,244,162,73,940,28,84,122,149,182,244,162,73,1041,11068,11608,12717,10693,8445,5899,2606,591,63625,911,1492,1235,728,426,272,167,52,5279,12009,13183,14070,11571,9051,6413,2937,717,69945,0,5,3,5,0,0,0,0,14,0,4,0,0,3,0,0,0,15,4,9,11,24,36,15,7,8,118,11,13,21,28,33,15,7,8,143,10527,12068,13360,11503,9158,6552,2851,1026,67049,520,876,741,521,366,259,155,97,3531,11059,12960,14122,12050,9556,6828,3013,1133,70721,5,12,17,10,7,0,0,0,54,9,24,20,12,9,0,0,0,71,23,61,107,155,201,263,169,84,1055,34,96,143,182,216,263,169,84,1184,21601,23678,26078,22187,17603,12446,5457,1621,130671,1437,2369,1971,1249,793,535,321,152,8820,23066,26143,28195,23619,18609,13241,5950,1848,140670
CED219,13,8,7,10,6,0,0,0,53,0,20,32,23,21,0,0,0,94,16,143,199,332,464,641,312,159,2255,33,173,236,354,488,641,312,159,2402,9529,11098,11115,9221,7350,5513,2354,489,56668,598,772,700,518,405,301,187,55,3526,10159,12042,12052,10093,8247,6456,2845,701,62598,0,3,3,3,0,0,0,0,18,5,0,0,4,0,0,0,0,15,3,29,30,73,92,70,19,18,335,8,36,39,85,98,70,19,18,364,9104,12133,11672,9933,8482,6699,2890,1093,62008,555,735,661,514,370,313,221,95,3474,9665,12908,12369,10535,8961,7077,3130,1205,65850,17,19,13,8,7,0,0,0,68,9,24,32,25,26,0,0,0,109,21,172,228,406,555,708,326,171,2590,42,209,274,441,587,708,326,171,2766,18629,23231,22787,19154,15838,12210,5238,1582,118678,1154,1511,1360,1033,777,615,406,153,7007,19828,24951,24424,20627,17203,13532,5974,1909,128449
CED220,9,15,16,15,3,0,0,0,47,13,31,19,16,12,0,0,0,90,7,74,106,167,220,355,366,250,1549,28,116,144,198,237,355,366,250,1691,8690,14439,10475,8781,7363,5413,3256,1048,59471,344,770,476,380,299,251,216,146,2885,9061,15321,11103,9355,7898,6009,3842,1441,64042,6,0,5,3,0,0,0,0,14,0,10,3,4,8,0,0,0,29,5,15,15,34,47,30,17,38,201,8,20,23,38,55,30,17,38,241,9543,15521,10775,9757,8270,6848,4459,2036,67219,399,767,455,363,291,295,291,349,3213,9954,16309,11258,10165,8617,7177,4763,2428,70670,8,18,18,14,3,0,0,0,62,14,41,27,20,20,0,0,0,119,6,87,131,202,267,386,380,290,1752,36,142,170,238,294,386,380,290,1926,18239,29955,21256,18540,15637,12256,7715,3082,126686,741,1534,934,742,594,547,508,497,6096,19016,31632,22358,19519,16521,13192,8606,3870,134712
CED221,9,23,22,9,6,0,0,0,71,10,22,20,6,8,0,0,0,68,15,94,145,186,267,344,214,107,1371,37,143,188,202,286,344,214,107,1504,11532,13663,14904,10295,7595,4422,1949,444,64801,636,903,785,521,387,231,137,60,3665,12201,14710,15878,11009,8268,4991,2302,609,69971,3,15,5,5,0,0,0,0,25,0,6,0,0,0,0,0,0,16,7,14,15,42,47,33,3,5,168,11,32,25,48,46,33,3,5,203,11306,15055,14731,10475,7903,5135,2405,928,67942,578,872,672,487,343,261,181,97,3490,11892,15965,15419,11011,8289,5434,2591,1031,71631,9,39,31,10,3,0,0,0,92,12,25,21,12,12,0,0,0,81,24,111,159,229,314,375,217,106,1537,43,175,209,252,333,375,217,106,1710,22835,28721,29634,20768,15499,9556,4356,1365,132740,1216,1780,1449,1004,729,490,312,164,7146,24097,30666,31300,22019,16563,10430,4887,1644,141598
CED222,10,15,11,7,8,0,0,0,43,14,19,9,9,5,0,0,0,57,9,75,84,142,184,304,269,172,1234,29,115,108,155,202,304,269,172,1341,12750,17074,13259,11062,9455,6981,4255,1620,76452,711,1274,628,484,393,299,280,183,4254,13490,18457,13998,11700,10047,7583,4806,1972,82051,0,6,5,0,0,0,0,0,13,0,6,0,0,0,0,0,0,0,0,14,12,32,35,18,14,15,135,3,18,16,35,40,18,14,15,149,11526,15088,13298,11680,10001,8312,5337,2591,77836,605,868,589,437,383,340,356,339,3912,12134,15973,13903,12155,10420,8668,5704,2941,81903,6,20,14,4,3,0,0,0,60,14,21,9,7,5,0,0,0,60,10,87,91,172,226,316,284,181,1371,34,130,124,187,235,316,284,181,1489,24275,32168,26558,22744,19449,15294,9586,4214,154291,1317,2137,1220,925,778,642,643,518,8174,25624,34431,27900,23858,20465,16254,10506,4915,163955
CED223,331,221,133,77,36,0,0,0,802,9,31,20,50,48,0,0,0,152,29,162,269,503,735,1347,781,428,4254,369,415,423,628,816,1347,781,428,5207,7260,7035,7292,8293,9557,8698,4394,1066,53588,675,586,628,642,737,719,415,177,4581,8302,8032,8342,9564,11115,10761,5591,1673,63375,158,72,30,17,4,0,0,0,286,0,9,7,13,10,0,0,0,43,14,26,66,143,163,132,49,23,623,174,109,100,176,177,132,49,23,953,6863,7596,8465,9515,11052,9877,5344,2198,60910,624,538,566,631,677,633,538,348,4560,7664,8246,9130,10324,11910,10640,5933,2575,66422,492,298,166,93,40,0,0,0,1088,11,39,29,57,60,0,0,0,197,47,191,328,647,892,1480,832,451,4867,548,526,525,803,998,1480,832,451,6157,14122,14630,15757,17804,20610,18572,9740,3264,114500,1302,1130,1189,1278,1415,1351,953,526,9140,15969,16281,17472,19886,23021,21401,11529,4247,129805
CED224,11,17,14,11,13,0,0,0,63,10,18,25,16,16,0,0,0,82,13,89,152,241,267,463,392,312,1932,35,120,191,269,290,463,392,312,2071,8665,9154,10869,10664,8625,6015,3293,1067,58360,304,449,413,317,291,261,237,123,2391,8997,9724,11466,11255,9203,6737,3925,1507,62821,4,4,0,0,3,0,0,0,16,6,3,0,5,0,0,0,0,12,5,8,30,50,49,39,24,40,254,14,21,37,58,51,39,24,40,283,8343,9601,11930,11784,9483,7488,4570,2318,65514,232,400,411,302,258,309,318,263,2501,8591,10021,12380,12143,9793,7836,4912,2620,68297,18,19,13,15,16,0,0,0,81,17,18,30,18,16,0,0,0,94,15,99,180,293,315,502,418,355,2182,50,134,226,327,340,502,418,355,2354,17008,18758,22804,22450,18107,13504,7863,3381,123877,535,852,821,618,552,571,560,386,4891,17588,19743,23851,23399,19002,14574,8841,4126,131118
CED225,155,138,85,65,17,0,0,0,472,12,21,30,29,27,0,0,0,112,11,96,176,274,329,651,533,313,2389,182,255,292,369,376,651,533,313,2977,8926,8736,10117,9984,8647,6787,3548,1039,57771,317,349,372,306,258,235,170,111,2118,9426,9331,10785,10654,9282,7668,4249,1467,62867,26,27,13,11,4,0,0,0,83,4,5,7,8,4,0,0,0,30,0,13,27,56,80,60,32,29,298,26,53,52,81,91,60,32,29,417,8299,9250,11106,10979,9972,8357,4781,2199,64936,232,318,328,273,250,293,207,176,2075,8558,9618,11482,11333,10305,8707,5018,2403,67424,182,170,101,79,26,0,0,0,555,13,22,41,35,28,0,0,0,141,10,109,206,333,415,705,562,344,2693,209,302,349,450,468,705,562,344,3395,17223,17985,21223,20956,18616,15140,8328,3236,122709,553,671,696,582,503,525,375,289,4191,17984,18952,22268,21990,19590,16381,9268,3870,130296
CED226,5,6,11,12,4,0,0,0,43,23,40,27,13,17,0,0,0,116,21,77,94,200,223,435,441,377,1854,46,117,131,224,244,435,441,377,2009,11583,9796,8761,9988,9062,6645,3635,1305,60775,325,413,300,344,280,221,179,132,2202,11960,10321,9190,10554,9586,7299,4256,1821,64987,3,0,0,0,0,0,0,0,10,0,3,4,3,4,0,0,0,18,5,12,11,42,40,33,14,31,189,9,19,18,47,42,33,14,31,214,11293,10163,10362,11991,10224,8182,5067,2858,70132,337,361,306,325,250,252,266,281,2375,11635,10543,10684,12363,10519,8461,5347,3168,72722,8,6,13,10,4,0,0,0,48,23,43,26,20,23,0,0,0,130,23,88,102,247,261,463,458,406,2042,59,138,146,272,284,463,458,406,2222,22876,19951,19124,21978,19285,14825,8705,4169,130908,666,774,604,664,529,471,450,414,4576,23595,20867,19873,22915,20099,15755,9605,4987,137707
CED227,0,19,15,3,4,0,0,0,43,11,23,13,12,7,0,0,0,65,23,117,184,265,320,428,334,194,1853,34,161,211,277,331,428,334,194,1963,10073,11598,12414,9535,6926,4603,2477,551,58167,546,652,605,461,302,247,172,70,3056,10654,12406,13221,10272,7559,5278,2977,809,63186,0,3,0,3,0,0,0,0,10,3,4,3,5,0,0,0,0,18,3,16,32,49,70,47,22,16,268,10,27,40,51,71,47,22,16,288,9540,12982,12891,10125,7623,5822,3121,1071,63177,474,655,549,435,337,290,263,176,3184,10019,13663,13482,10612,8044,6162,3402,1271,66650,6,20,11,7,4,0,0,0,46,9,34,19,15,7,0,0,0,83,27,136,216,317,387,476,352,208,2114,47,190,251,332,403,476,352,208,2253,19608,24582,25304,19659,14548,10426,5591,1621,121342,1020,1300,1160,894,642,540,435,246,6244,20678,26068,26702,20885,15597,11444,6381,2079,129832
CED228,11,20,17,13,11,0,0,0,70,10,13,25,10,28,0,0,0,93,21,108,151,217,447,526,247,78,1796,47,143,197,243,484,526,247,78,1957,12002,15758,17504,9896,7230,4564,1883,401,69241,867,1301,1094,574,387,240,134,87,4689,12911,17204,18796,10709,8100,5335,2270,566,75889,5,11,6,5,5,0,0,0,36,9,5,4,3,0,0,0,0,17,9,13,26,65,109,71,25,9,329,24,24,39,74,117,71,25,9,377,10750,17456,16625,9969,8232,5377,2340,867,71619,736,1268,961,530,344,276,188,162,4472,11514,18757,17623,10575,8693,5721,2555,1038,76468,16,25,27,18,20,0,0,0,104,15,23,22,15,30,0,0,0,112,34,117,179,284,556,596,273,84,2121,65,170,230,320,604,596,273,84,2341,22750,33215,34128,19869,15461,9943,4225,1273,140858,1607,2573,2060,1100,727,516,323,249,9162,24424,35954,36421,21287,16791,11050,4825,1603,152359
CED229,10,45,19,31,12,0,0,0,111,11,25,26,11,16,0,0,0,85,7,108,138,231,221,366,262,159,1492,23,180,180,275,243,366,262,159,1690,7780,18115,13168,9564,7767,5728,2761,775,65655,456,1345,893,694,532,424,286,172,4807,8267,19644,14237,10536,8543,6516,3311,1101,72154,9,13,10,9,5,0,0,0,41,3,6,10,0,0,0,0,0,19,3,23,39,55,50,31,14,18,234,17,46,50,68,55,31,14,18,297,8467,19644,13372,10302,8295,6493,3300,1436,71302,497,1274,861,563,460,385,334,307,4684,8981,20964,14287,10935,8802,6911,3650,1757,76283,16,60,33,41,13,0,0,0,161,9,34,33,16,15,0,0,0,106,15,132,173,292,266,394,278,178,1729,47,228,232,344,296,394,278,178,1993,16251,37763,26536,19865,16059,12224,6064,2205,136955,953,2615,1757,1258,988,813,621,479,9481,17243,40606,28521,21470,17343,13427,6958,2862,148433
CED230,8,8,3,0,10,0,0,0,29,7,23,15,10,16,0,0,0,70,18,90,135,327,568,1136,637,518,3423,28,120,153,341,593,1136,637,518,3523,8181,8744,7785,8731,10637,8972,4888,1313,59244,818,824,775,839,907,863,575,291,5907,9030,9688,8713,9910,12130,10974,6099,2129,68674,0,0,0,0,5,0,0,0,7,0,0,4,0,3,0,0,0,15,5,17,41,74,143,103,28,41,448,9,28,42,74,150,103,28,41,467,7483,9126,8305,9603,11179,9773,5864,2777,64121,701,724,740,738,771,766,701,518,5659,8189,9873,9092,10412,12097,10641,6596,3339,70245,4,9,10,0,14,0,0,0,36,6,25,14,17,17,0,0,0,82,24,103,173,393,709,1238,665,560,3861,34,144,197,409,737,1238,665,560,3986,15662,17873,16095,18333,21815,18745,10756,4087,123364,1522,1551,1514,1573,1679,1630,1275,813,11558,17222,19562,17807,20319,24230,21612,12696,5466,138916
CED231,11,15,18,14,10,0,0,0,63,11,33,26,8,11,0,0,0,86,11,107,133,190,230,367,312,199,1543,33,156,172,212,242,367,312,199,1696,8587,11061,10331,9501,7753,5873,3459,1220,57782,355,596,438,397,321,206,196,107,2624,8975,11811,10951,10114,8317,6444,3965,1526,62097,0,4,8,3,0,0,0,0,17,0,8,4,0,9,0,0,0,16,3,11,20,35,57,24,8,17,179,7,27,28,39,59,24,8,17,211,8151,11553,11096,10288,8718,7238,4612,2150,63805,319,581,453,359,277,251,269,164,2669,8481,12153,11574,10688,9057,7522,4889,2332,66690,13,20,22,11,9,0,0,0,76,17,38,24,15,14,0,0,0,106,15,118,153,228,280,389,323,217,1723,41,178,202,251,307,389,323,217,1908,16741,22607,21426,19790,16472,13116,8069,3364,121586,674,1174,889,760,592,457,466,271,5296,17458,23961,22522,20803,17371,13963,8855,3856,128786
CED232,26,47,42,29,16,0,0,0,155,16,24,48,33,27,0,0,0,141,12,125,233,350,413,585,397,178,2306,53,193,325,408,463,585,397,178,2608,9267,9176,10911,9605,7739,5476,2545,433,55151,479,427,470,436,394,302,194,68,2766,9798,9796,11704,10448,8598,6364,3138,679,60522,3,7,3,5,3,0,0,0,18,4,0,4,4,7,0,0,0,17,7,11,48,76,85,48,15,19,310,10,15,55,89,90,48,15,19,347,8568,10252,11795,10624,8550,6615,2866,932,60210,414,471,488,426,364,286,183,115,2746,8992,10739,12340,11141,9004,6954,3069,1076,63308,25,51,43,28,26,0,0,0,177,12,27,47,37,35,0,0,0,161,22,137,279,427,499,639,412,204,2615,60,212,373,499,557,639,412,204,2952,17836,19421,22713,20229,16292,12088,5413,1367,115361,891,901,958,860,759,591,378,181,5515,18784,20536,24045,21585,17607,13314,6201,1750,123834
CED233,12,41,11,28,0,0,0,0,90,15,56,20,11,11,0,0,0,113,25,157,152,174,202,253,175,105,1246,53,253,182,213,217,253,175,105,1445,15107,30664,14960,8130,6373,4258,1986,575,82057,1209,2429,1256,725,556,324,193,73,6765,16371,33351,16397,9062,7144,4835,2358,751,90270,9,11,5,5,0,0,0,0,37,3,16,0,3,4,0,0,0,29,10,22,17,39,46,21,13,9,180,25,45,24,56,50,21,13,9,245,18033,31640,13776,8289,6654,5007,2533,1144,87068,1322,2292,980,567,452,353,187,107,6258,19380,33977,14783,8916,7154,5380,2731,1255,93572,19,58,14,30,0,0,0,0,127,25,72,24,19,8,0,0,0,142,36,181,166,217,249,280,184,109,1424,79,306,207,262,264,280,184,109,1694,33140,62302,28737,16422,13030,9264,4516,1718,169127,2533,4721,2239,1288,1005,671,389,179,13021,35751,67326,31175,17975,14302,10215,5089,2004,183844
CED234,3,6,9,12,5,0,0,0,40,17,23,20,13,13,0,0,0,81,12,46,102,178,234,397,521,391,1881,29,78,130,204,254,397,521,391,2004,10673,9715,10550,10641,9528,7076,4913,1818,64917,323,426,364,353,267,220,226,183,2369,11033,10218,11052,11196,10045,7694,5658,2391,69291,0,9,3,6,0,0,0,0,17,0,7,0,0,0,0,0,0,8,4,5,14,29,35,27,10,25,155,5,20,20,35,43,27,10,25,183,9609,9943,11784,11853,10821,8808,6555,3055,72423,290,425,393,333,277,265,328,302,2607,9905,10392,12194,12220,11134,9097,6895,3383,75208,4,20,18,16,3,0,0,0,61,17,24,24,13,15,0,0,0,92,14,58,110,205,271,426,527,412,2037,40,96,150,240,292,426,527,412,2189,20285,19659,22336,22491,20346,15883,11472,4872,137340,612,850,759,685,544,485,551,488,4976,20932,20607,23247,23420,21181,16789,12559,5775,144504
CED235,6,9,6,4,6,0,0,0,28,0,8,16,8,22,0,0,0,47,11,111,155,286,422,1062,703,397,3154,18,124,173,299,448,1062,703,397,3228,6636,6831,6865,7630,9178,8821,4446,995,51403,487,458,547,559,618,623,416,220,3932,7146,7410,7582,8496,10239,10509,5567,1618,58569,4,4,0,3,0,0,0,0,11,0,3,3,5,0,0,0,0,10,5,25,45,65,126,79,29,31,412,11,26,47,77,126,79,29,31,436,6418,7533,7577,8648,10516,10160,5231,2045,58138,447,521,546,510,618,659,541,296,4144,6884,8088,8175,9232,11269,10893,5811,2375,62717,12,9,6,9,9,0,0,0,41,9,8,20,10,18,0,0,0,60,13,130,202,355,546,1140,735,429,3563,32,151,224,372,579,1140,735,429,3664,13059,14364,14440,16280,19693,18978,9681,3046,109540,939,979,1095,1069,1235,1285,962,522,8076,14025,15497,15754,17726,21510,21404,11374,3987,121284
CED236,191,178,128,79,23,0,0,0,603,15,18,16,7,23,0,0,0,79,34,96,152,327,485,1042,685,428,3241,234,288,292,418,538,1042,685,428,3922,8201,7936,7487,8686,9480,8146,4523,1129,55591,795,821,717,772,755,685,502,221,5261,9228,9049,8498,9868,10768,9871,5707,1784,64777,38,16,13,10,4,0,0,0,85,0,4,3,5,7,0,0,0,26,17,22,37,87,126,102,51,31,475,53,46,46,110,136,102,51,31,579,7590,8559,8316,9351,10268,9155,5251,2254,60743,634,702,654,616,673,644,589,410,4914,8270,9310,9023,10082,11072,9904,5888,2694,66241,226,195,138,94,33,0,0,0,682,11,19,23,18,34,0,0,0,105,49,122,184,414,614,1142,733,456,3714,287,338,340,521,675,1142,733,456,4501,15791,16499,15804,18045,19744,17302,9771,3384,116338,1426,1529,1370,1389,1420,1327,1088,637,10182,17500,18361,17517,19953,21840,19778,11593,4479,131014
CED237,7,24,23,8,13,0,0,0,68,12,25,19,12,11,0,0,0,81,18,55,107,137,173,283,167,81,1015,33,98,148,155,195,283,167,81,1163,10338,12427,12535,9707,8223,5902,3031,926,63089,586,754,616,445,321,247,226,152,3342,10953,13284,13294,10304,8739,6427,3422,1160,67589,0,9,10,4,0,0,0,0,20,3,3,0,4,0,0,0,0,14,5,13,15,36,42,22,10,6,146,9,21,26,42,46,22,10,6,184,9499,12495,12562,10175,9139,6880,3684,1430,65858,466,639,543,383,316,302,332,329,3316,9970,13158,13132,10603,9501,7206,4030,1762,69353,7,27,30,13,13,0,0,0,90,20,25,24,13,16,0,0,0,91,20,68,122,171,218,304,176,85,1166,45,118,176,197,239,304,176,85,1344,19831,24923,25091,19880,17365,12781,6714,2355,128944,1049,1398,1155,832,634,548,562,484,6656,20923,26442,26426,20910,18236,13637,7448,2925,136944
CED238,4,7,3,4,0,0,0,0,22,9,16,12,10,14,0,0,0,52,15,99,157,276,455,987,560,426,2974,23,125,168,290,469,987,560,426,3054,7504,7561,7237,8532,9958,8891,4382,1051,55112,670,790,812,861,773,772,469,235,5372,8199,8478,8215,9679,11192,10653,5409,1708,63535,5,4,0,0,4,0,0,0,9,0,4,0,0,3,0,0,0,9,7,27,22,85,114,73,34,32,384,8,33,25,83,121,73,34,32,406,6927,7755,7981,9361,10990,9787,5341,2372,60509,542,501,544,577,606,632,552,445,4391,7483,8280,8556,10016,11711,10494,5927,2849,65309,9,13,6,5,6,0,0,0,31,9,21,12,14,16,0,0,0,56,19,130,183,361,568,1063,588,459,3363,38,151,197,376,586,1063,588,459,3457,14432,15314,15222,17889,20943,18676,9720,3423,115622,1213,1291,1356,1437,1374,1405,1019,674,9765,15679,16759,16776,19697,22905,21143,11334,4556,128845
CED239,9,44,4,5,0,0,0,0,69,15,29,26,10,8,0,0,0,79,12,120,121,127,146,206,140,135,1003,37,189,151,143,151,206,140,135,1149,8686,15746,12391,8842,6657,4099,2620,1419,60468,456,888,593,387,284,214,198,152,3178,9182,16831,13140,9371,7099,4524,2957,1711,64803,6,0,0,3,0,0,0,0,11,0,3,7,0,0,0,0,0,16,4,20,18,35,33,17,4,15,154,12,30,28,40,40,17,4,15,175,8643,16592,12595,9251,7280,5086,3865,2466,65791,386,820,491,341,243,227,255,294,3061,9042,17440,13111,9634,7560,5333,4127,2776,69028,10,43,7,11,0,0,0,0,75,14,34,26,10,7,0,0,0,92,19,137,143,160,180,227,144,155,1155,46,217,180,177,187,227,144,155,1332,17332,32341,24987,18095,13943,9186,6488,3886,126261,846,1711,1079,731,531,441,454,444,6239,18223,34271,26247,19003,14656,9855,7085,4486,133834
CED294,20,15,5,3,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,7,10,22,18,34,6,8,113,21,18,18,24,18,34,6,8,150,348,566,515,464,353,228,53,3,2531,204,350,478,430,267,130,26,7,1896,575,939,1008,912,644,392,90,15,4576,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,16,13,4,0,7,0,0,0,0,26,376,588,400,308,323,158,49,11,2209,170,285,330,169,111,59,11,7,1140,556,878,730,479,429,224,58,19,3373,32,15,5,3,0,0,0,0,45,0,0,3,0,0,0,0,0,4,0,10,11,29,23,37,13,8,129,26,22,19,33,23,37,13,8,178,727,1152,909,768,671,386,104,11,4737,376,645,807,600,380,186,39,11,3041,1131,1819,1736,1393,1074,613,152,29,7946
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,0,0,9,3,7,0,0,0,24,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,11,0,0,9,3,9,0,0,0,27,0,6,16,3,14,4,0,0,38
