CED_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
CED101,2211,699,3430,1107,210,9608,8526,8824,3262,154,6039,4220,882,1262,6994,658,8773,105554,4085,145536,140,88,57,120,95,72,24,26,117,27,112,796,6467,7750,11650,9858,4325,1295,8022,6053,1396,2015,9329,1387,12317,107459,10761,162893,10,14,5,0,7,6,0,0,21,0,13,215,5,261,386,103,187,34,204,316,54,110,162,76,188,589,51,1612,395,109,196,32,206,319,54,111,186,73,200,801,54,1877,11031,8197,4023,1035,7657,5581,1295,1839,8621,1271,11027,82700,3557,126675,200,82,79,226,123,116,27,42,204,35,215,518,5382,6555,11627,8389,4302,1291,7993,6017,1374,1994,9014,1385,11441,84019,8992,135106
CED102,2181,711,3467,1228,145,10179,7172,8470,2762,175,6107,3675,807,945,7498,575,9139,121525,4103,160858,89,61,40,58,60,74,11,17,90,15,111,903,9295,10605,10361,9416,3805,1416,8314,5694,1426,1625,9770,1296,12723,123660,13544,181643,8,12,6,0,0,6,0,3,14,0,8,239,8,292,169,67,73,39,129,162,34,41,112,34,133,433,33,1012,181,80,73,39,130,166,38,44,129,34,143,675,43,1306,10036,8040,3650,1230,8037,5377,1334,1534,9277,1233,11654,98885,3561,143631,135,59,55,148,111,113,34,31,130,27,141,710,8029,9217,10350,8184,3780,1416,8275,5663,1408,1614,9540,1291,11939,100272,11634,154148
CED103,1834,577,2981,1060,231,8571,7576,9726,3363,162,6188,4176,830,1040,8468,562,10714,131597,3585,174841,92,58,37,18,61,52,23,20,101,9,107,834,6612,7809,10003,10510,4232,1175,7755,5773,1310,1606,10395,1152,13798,133498,10429,191219,37,23,9,3,6,11,7,6,38,4,34,393,12,530,329,106,152,59,179,313,50,86,155,62,201,669,47,1624,365,128,158,59,186,320,61,91,188,62,240,1062,60,2154,9528,8777,4026,1095,7494,5350,1207,1479,9742,1070,12449,103670,3136,149961,96,43,27,24,42,53,20,20,81,14,86,557,5625,6475,9992,8957,4214,1175,7726,5725,1290,1588,10011,1145,12765,105292,8823,158584
CED104,1445,427,2433,792,142,6765,9421,10041,3990,164,5585,4719,803,1229,7933,626,9688,97424,3973,141208,151,82,55,116,57,116,29,32,134,35,191,604,3562,4603,11422,10731,4754,1259,6599,5929,1137,1704,9515,1085,12314,98815,7675,152571,12,7,3,0,0,0,0,0,16,0,15,153,3,203,436,141,213,60,233,381,59,92,178,75,271,827,68,2105,455,153,218,60,230,382,59,97,189,76,287,978,73,2308,10759,8724,4438,1001,6253,5362,1027,1544,8628,959,10672,73361,3281,117689,204,68,79,203,77,147,37,41,178,48,257,295,2980,3815,11408,8942,4732,1259,6560,5891,1119,1679,8995,1079,11213,74637,6330,123813
CED105,2947,748,4462,1545,203,12542,6589,8093,1990,124,7213,3045,791,948,5022,506,7556,123378,4920,159528,109,87,27,23,82,45,14,16,64,11,77,1195,14980,16530,10372,9498,2980,1197,10181,5069,1496,1745,8032,1270,12100,126116,20102,188607,0,5,0,0,4,0,0,0,4,0,5,104,4,116,199,53,71,30,160,139,33,58,94,32,104,270,16,791,197,58,71,30,162,139,33,58,90,32,109,370,25,912,10012,7452,2834,1097,9859,4789,1400,1649,7552,1216,10904,93611,3944,135875,134,66,38,70,108,90,25,22,108,17,111,1021,11776,13210,10344,7577,2945,1192,10137,5012,1453,1728,7748,1263,11123,95004,15746,150001
CED106,1394,517,2470,822,152,7116,8171,9808,4177,175,4683,4903,790,1075,7517,580,10143,114539,3502,157016,85,49,37,61,42,47,9,14,51,7,102,671,4056,5046,10081,10457,5025,1539,5681,6318,1080,1502,8965,1113,12712,116027,7713,169182,21,15,11,0,5,3,6,0,15,0,22,214,7,297,421,130,258,59,194,450,58,94,146,73,264,879,53,2130,441,145,267,59,198,456,64,97,168,73,281,1097,60,2432,9534,8538,4696,1387,5411,5759,984,1373,8307,1010,11185,86718,2937,130388,80,36,34,85,46,66,13,14,63,21,129,308,3388,3998,10060,8715,4996,1536,5659,6286,1060,1483,8535,1103,11599,88126,6372,136812
CED107,3258,811,4109,918,266,10627,14362,14984,4320,231,7078,5727,1158,2781,14390,971,9585,88831,5613,145251,206,154,61,14,110,96,26,58,129,30,100,738,12048,13354,18127,16868,5431,1380,8926,7708,1704,4108,17772,1811,13799,90490,17921,169232,12,13,4,0,0,6,0,0,19,0,14,125,5,170,876,319,365,81,515,601,107,295,565,123,440,1393,89,3682,885,337,373,82,511,599,108,295,576,126,451,1518,92,3852,16931,13571,4952,1247,8198,6921,1520,3691,16089,1632,11735,63741,4412,121204,275,149,78,51,150,137,41,70,144,49,100,546,10023,11247,18089,14055,5403,1376,8862,7657,1680,4055,16808,1808,12284,65805,14525,136304
CED108,3388,859,4748,1344,236,12425,9411,13662,2469,136,10698,4389,1123,1683,8883,716,9543,125787,5447,175329,139,137,28,10,135,56,21,32,106,15,79,1080,12746,14315,13305,15730,3501,1243,13803,6639,1946,2900,12375,1593,14370,128208,18428,202063,15,11,5,6,10,4,4,4,18,6,10,147,10,192,351,122,127,21,256,250,59,123,206,56,193,452,42,1354,368,136,133,30,267,257,67,123,225,58,205,590,51,1549,12734,12352,3283,1094,13305,6228,1781,2688,11267,1479,12386,89910,4319,143137,162,125,45,111,159,84,42,44,174,35,183,740,9366,10676,13266,12614,3462,1232,13735,6571,1888,2862,11670,1583,12780,91246,13731,155365
CED109,1729,614,2804,690,123,7336,9947,9015,4033,216,4622,4738,824,1327,7458,726,7964,94315,4402,135338,127,69,36,27,59,66,12,23,84,24,80,660,5762,6774,12600,9766,4914,1404,5845,6324,1247,1951,9265,1363,10847,95666,10282,149450,37,29,10,0,6,0,0,0,37,4,28,500,17,634,468,109,261,64,232,425,57,112,214,80,242,850,49,2157,504,142,266,73,238,431,57,115,256,79,277,1353,68,2794,11915,8315,4560,1225,5510,5770,1145,1773,8589,1246,9638,72330,3685,115480,156,43,49,100,67,84,15,41,93,32,146,328,4826,5541,12579,8500,4878,1401,5823,6288,1223,1928,8932,1353,10064,74007,8578,123810
CED110,4380,1161,5164,1079,343,14003,17203,13389,5564,351,6790,7200,1450,3840,14689,1252,10329,84992,5598,144160,309,151,85,176,133,153,32,73,263,49,274,799,10344,12040,22533,15717,7286,2191,9092,10001,2414,5742,19334,2465,15761,86864,16282,170205,16,7,6,0,4,4,0,6,12,0,14,112,5,160,1374,348,611,138,675,940,227,444,809,221,681,1625,131,4968,1389,359,612,137,678,945,227,450,821,225,694,1732,136,5124,20658,12971,6496,1729,8154,8744,2083,5138,17263,2147,13347,63425,4613,126509,452,183,143,319,214,265,78,122,336,82,344,647,8533,10434,22499,13512,7251,2183,9049,9951,2388,5706,18426,2456,14379,65805,13282,142073
