CED_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
CED511,13078,6763,7096,6947,7126,6705,4255,1449,371,53782,1459,1311,1435,1662,2170,3037,3085,1644,481,16289,65,161,200,294,565,1024,1369,961,273,4926,0,9,38,73,193,547,866,650,240,2618,1533,1483,1674,2031,2931,4611,5321,3254,993,23831,2113,1387,1825,1766,1879,1741,1197,603,167,12683,16715,9627,10591,10745,11935,13055,10776,5315,1533,90288,12745,5522,6263,6555,6474,6123,3789,1484,396,49345,1001,1542,1946,2022,2455,3027,2881,1698,623,17198,75,301,426,540,888,1199,1401,924,443,6198,4,32,75,144,361,731,833,643,362,3180,1082,1873,2438,2705,3701,4953,5117,3265,1434,26572,1931,1086,1181,1238,1319,1312,979,569,246,9856,15755,8485,9885,10498,11496,12389,9886,5319,2071,85785,25819,12286,13352,13498,13595,12825,8045,2932,768,103126,2465,2849,3378,3687,4623,6068,5964,3344,1105,33489,140,460,624,829,1457,2230,2771,1887,719,11124,5,46,107,216,555,1272,1698,1293,601,5793,2615,3359,4118,4736,6633,9564,10440,6519,2427,50405,4036,2477,3002,3003,3204,3052,2175,1177,412,22540
CED512,17133,9198,8800,9438,8111,4895,2327,825,166,60888,1896,1512,1677,1950,2178,2188,1693,860,248,14211,103,163,234,319,518,653,758,586,178,3512,9,12,36,43,145,312,467,428,173,1617,2003,1680,1945,2312,2843,3150,2913,1880,603,19333,1433,920,1012,1086,1100,736,331,160,70,6849,20566,11798,11763,12835,12053,8778,5571,2861,834,87063,16752,8120,9077,9614,8086,4873,2537,939,239,60233,1360,2046,2567,2620,2650,2449,1917,1147,379,17137,85,328,536,630,785,826,871,652,286,5002,5,38,77,128,288,404,550,493,272,2250,1450,2414,3171,3380,3718,3674,3336,2291,944,24384,1290,783,841,846,794,579,377,222,100,5829,19498,11320,13089,13837,12601,9127,6246,3456,1277,90442,33883,17317,17879,19048,16193,9764,4862,1762,401,121120,3255,3553,4239,4570,4830,4639,3609,2009,630,31343,183,493,765,951,1295,1473,1629,1244,468,8513,11,44,110,169,432,714,1014,918,447,3862,3456,4094,5117,5697,6561,6830,6252,4173,1541,43718,2727,1703,1858,1925,1899,1313,704,382,161,12676
CED513,11369,7184,13778,11229,7746,5735,3053,1173,369,61645,833,1266,2558,2382,2071,2287,2160,1122,470,15149,43,130,360,409,449,683,866,642,269,3847,3,16,37,65,165,298,454,484,277,1793,883,1416,2951,2857,2686,3267,3480,2244,1012,20794,863,846,1784,1346,1082,829,515,300,143,7718,13115,9455,18503,15428,11513,9842,7045,3719,1526,90157,11023,6819,13358,10428,7300,5540,3413,1308,530,59723,630,1979,3347,2545,2279,2432,2312,1519,910,17961,29,326,637,523,597,809,1001,821,577,5313,0,31,58,103,187,368,494,569,500,2320,666,2332,4043,3178,3066,3607,3810,2909,1991,25588,771,792,1403,959,821,633,502,335,235,6455,12461,9950,18806,14561,11189,9785,7724,4545,2749,91775,22395,14003,27137,21655,15045,11280,6464,2484,901,121371,1470,3247,5903,4932,4353,4712,4473,2638,1383,33111,71,454,994,936,1049,1497,1859,1460,843,9154,5,51,91,170,354,669,948,1055,778,4116,1542,3750,6988,6037,5755,6873,7282,5147,3002,46385,1639,1641,3183,2301,1902,1463,1018,636,384,14173
CED514,13633,9882,14166,10891,7540,5489,3140,1107,294,66148,1001,1484,2165,2069,2065,2372,2294,1192,415,15047,61,154,302,359,451,725,954,641,257,3907,5,10,24,61,140,330,562,507,271,1914,1061,1653,2496,2491,2660,3425,3810,2337,941,20874,1140,1107,1662,1248,1054,888,503,310,244,8158,15841,12644,18319,14632,11255,9801,7455,3751,1479,95172,13021,8433,12808,10081,7042,5569,3537,1238,429,62155,724,2165,2747,2254,2205,2450,2450,1477,741,17222,38,366,522,517,639,838,1063,857,500,5345,0,15,64,108,227,456,643,628,462,2597,769,2551,3342,2882,3068,3747,4150,2958,1695,25159,1082,901,1395,1031,811,719,541,449,460,7383,14872,11882,17544,13997,10918,10034,8226,4645,2585,94696,26654,18314,26976,20973,14582,11057,6681,2340,721,128300,1726,3657,4914,4325,4271,4828,4738,2666,1156,32271,100,523,827,876,1092,1565,2017,1494,749,9255,6,29,96,169,368,783,1199,1136,734,4508,1829,4202,5830,5369,5728,7173,7958,5293,2639,46034,2224,2006,3061,2286,1865,1607,1039,753,701,15541
CED515,15072,9961,7501,9235,8646,6520,4281,1582,436,63233,1182,1387,1240,1608,2072,2510,2833,1589,567,14976,65,115,129,226,362,653,1051,818,355,3788,5,15,16,38,83,244,462,552,299,1707,1246,1518,1383,1876,2513,3410,4347,2960,1217,20476,792,807,1000,1054,913,712,459,279,169,6183,17112,12280,9888,12166,12073,10644,9085,4819,1824,89890,14794,8858,7227,10294,9048,7232,4977,1773,614,64810,846,1877,1529,1956,2417,2750,2907,1889,977,17137,37,246,271,361,525,814,1111,978,577,4921,4,19,33,67,130,278,524,552,494,2096,884,2138,1826,2380,3069,3841,4542,3421,2052,24161,763,656,610,652,703,614,492,360,247,5092,16440,11648,9668,13329,12813,11682,10011,5554,2912,94068,29864,18820,14728,19532,17697,13744,9252,3355,1049,128042,2025,3260,2763,3560,4480,5261,5742,3478,1537,32117,105,366,398,596,884,1469,2165,1800,934,8707,10,28,50,106,214,525,985,1103,799,3808,2134,3656,3209,4262,5581,7253,8892,6380,3270,44639,1558,1463,1613,1713,1613,1323,953,636,419,11279
CED594,265,174,316,288,197,188,143,14,4,1594,28,59,92,78,84,89,86,27,0,534,0,10,17,22,23,30,39,12,4,152,0,3,0,8,15,22,26,11,0,79,27,64,105,107,126,139,148,44,4,768,101,176,396,530,514,334,158,50,10,2281,389,414,822,926,842,667,444,118,14,4639,267,153,322,211,144,182,97,11,0,1386,15,68,82,84,61,80,74,7,5,488,0,11,17,26,23,35,37,4,5,163,0,0,0,9,15,16,20,0,0,67,15,81,108,118,102,133,130,12,5,713,93,172,267,281,223,162,87,14,12,1315,380,410,692,613,468,477,316,38,16,3416,538,328,636,499,341,374,233,27,4,2976,45,125,176,162,148,166,159,30,4,1018,0,19,36,45,48,66,72,18,6,318,0,3,4,17,32,39,41,10,0,147,44,145,211,229,224,271,282,63,13,1482,190,352,661,811,748,503,245,69,15,3591
CED597,0,15,54,74,46,23,0,0,0,216,0,0,5,11,8,7,4,0,0,32,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,5,12,7,13,4,0,0,43,0,14,44,70,43,20,4,0,0,204,0,30,99,157,103,55,14,0,0,455,0,0,5,4,5,5,3,0,0,33,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,8,3,3,8,0,0,0,0,20,0,13,14,11,9,3,4,0,0,58,0,21,60,80,54,24,5,0,0,247,0,3,3,14,8,7,3,0,0,41,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,3,17,7,13,4,0,0,43,0,22,46,76,51,27,3,0,0,226
CED601,7382,4646,5511,4162,3968,3439,2312,906,205,32524,1152,1080,1236,1120,1428,1850,1901,1076,327,11177,111,176,236,251,419,735,946,648,226,3756,7,8,33,78,176,403,615,546,188,2045,1262,1262,1506,1452,2027,2989,3469,2270,741,16981,819,663,616,501,522,537,413,256,108,4448,9466,6569,7633,6115,6517,6967,6197,3437,1053,53949,7296,4055,4731,3922,3940,3651,2447,965,300,31308,840,1318,1593,1573,1736,1983,2033,1331,542,12949,60,279,441,475,640,846,1027,775,378,4918,0,32,70,139,352,523,689,568,315,2678,902,1625,2099,2187,2719,3360,3750,2671,1233,20540,773,528,498,478,471,491,456,302,182,4174,8977,6200,7329,6593,7136,7501,6654,3935,1718,56024,14682,8695,10236,8086,7912,7089,4762,1869,500,63836,1989,2392,2832,2698,3162,3831,3938,2413,871,24126,167,455,679,727,1060,1584,1977,1422,600,8674,3,32,101,215,527,926,1305,1108,507,4726,2167,2883,3609,3637,4745,6344,7215,4939,1978,37521,1589,1187,1113,987,997,1030,867,557,294,8621
CED602,7315,4168,4492,3635,3930,3884,2581,1031,215,31246,1140,998,1013,1103,1480,1951,2124,1164,315,11297,89,142,191,261,478,757,1011,742,222,3900,4,14,26,77,217,418,719,614,212,2300,1234,1165,1232,1443,2175,3128,3851,2521,744,17495,876,539,506,547,617,611,546,317,131,4683,9421,5868,6226,5618,6723,7618,6985,3872,1092,53421,7222,3673,4058,3599,3907,3800,2572,1113,341,30288,896,1269,1457,1502,1675,2246,2219,1394,522,13179,67,272,425,424,723,995,1188,772,364,5233,6,19,78,157,373,602,824,619,303,2972,971,1554,1960,2084,2768,3849,4231,2782,1190,21390,845,465,484,455,565,569,547,368,152,4455,9031,5696,6500,6138,7236,8221,7347,4264,1689,56132,14535,7844,8545,7234,7834,7691,5152,2147,560,61535,2034,2270,2466,2608,3156,4195,4341,2561,841,24471,154,417,618,688,1204,1760,2199,1513,583,9132,14,34,103,236,589,1022,1539,1228,513,5276,2198,2720,3190,3523,4943,6981,8084,5303,1934,38881,1723,1006,986,999,1185,1177,1094,690,284,9140
CED603,7120,4959,8477,4946,3972,3219,2070,799,209,35773,783,1124,1317,1296,1387,1673,1633,879,310,10405,56,161,209,243,359,583,757,535,194,3104,0,14,30,57,140,294,424,374,195,1531,841,1300,1553,1598,1884,2554,2819,1791,691,15033,622,488,723,474,529,434,324,191,82,3876,8586,6747,10761,7020,6387,6211,5213,2786,984,54689,6845,4272,7536,4763,3947,3381,2221,920,298,34186,605,1621,1690,1535,1696,1833,1881,1152,530,12555,57,312,404,417,519,731,872,672,382,4369,4,24,37,102,213,390,546,527,342,2193,671,1956,2134,2054,2425,2955,3292,2351,1265,19109,615,475,625,438,442,426,349,250,150,3766,8136,6707,10293,7252,6815,6760,5870,3519,1705,57059,13969,9229,16013,9711,7920,6604,4293,1722,505,69960,1390,2746,3008,2833,3085,3508,3517,2029,840,22957,116,471,613,660,879,1315,1631,1204,582,7467,6,42,65,158,351,687,967,905,539,3722,1516,3260,3692,3651,4309,5507,6114,4139,1954,34144,1241,966,1349,913,971,864,679,442,227,7645
CED604,8226,4427,5318,4699,4132,3601,2481,943,193,34017,964,937,1098,1272,1431,1897,1958,1137,308,11006,76,126,191,263,394,609,915,610,219,3410,3,15,22,48,129,284,599,493,196,1792,1040,1080,1316,1592,1953,2791,3474,2244,722,16206,770,528,622,607,540,531,420,251,107,4381,10041,6029,7253,6899,6626,6920,6376,3437,1023,54604,8064,3566,4970,4640,4111,3816,2632,995,282,33077,743,1233,1522,1755,1782,2128,2222,1388,538,13306,48,245,414,429,590,856,1045,754,362,4741,0,24,53,124,252,467,660,534,314,2426,790,1503,1993,2307,2615,3447,3924,2669,1212,20471,664,416,430,463,436,454,396,286,137,3688,9514,5486,7396,7409,7173,7720,6962,3953,1633,57234,16288,7986,10290,9340,8241,7414,5119,1934,478,67093,1700,2168,2625,3031,3210,4027,4183,2521,846,24314,123,378,603,697,986,1463,1957,1365,579,8148,5,37,78,174,382,747,1255,1027,514,4213,1834,2584,3306,3898,4575,6243,7396,4913,1935,36673,1433,944,1055,1073,985,984,820,542,241,8067
CED605,7786,4350,4572,4021,4045,4218,2767,966,191,32910,1138,895,1035,1207,1579,2280,2382,1111,262,11892,66,144,173,251,454,842,1178,759,201,4071,3,6,20,72,190,485,803,573,172,2327,1216,1051,1222,1523,2230,3605,4369,2431,638,18292,936,607,560,590,681,725,665,291,86,5131,9930,6004,6361,6137,6950,8544,7797,3690,912,56331,7590,3515,4119,3829,3939,3935,2625,969,216,30730,866,1246,1529,1549,1826,2365,2276,1207,369,13230,86,250,425,507,707,1089,1172,699,279,5200,5,22,85,139,387,655,831,535,225,2878,943,1517,2042,2192,2915,4105,4282,2439,872,21311,867,539,521,552,575,693,531,324,99,4686,9405,5569,6685,6575,7429,8725,7440,3725,1182,56733,15376,7862,8693,7844,7982,8146,5393,1939,404,63641,2004,2146,2561,2759,3405,4643,4659,2317,634,25125,154,396,600,755,1161,1931,2353,1452,474,9275,6,26,104,205,582,1137,1642,1103,403,5204,2158,2568,3270,3720,5143,7709,8656,4873,1505,39605,1797,1139,1085,1143,1253,1417,1196,608,183,9817
CED694,56,54,54,40,56,32,16,3,0,316,5,22,22,22,28,13,9,7,0,137,0,5,12,6,6,9,13,3,0,58,0,0,0,4,4,10,10,0,0,28,5,31,35,31,43,34,29,9,0,221,12,28,43,28,29,38,46,4,0,221,74,108,135,99,130,104,90,18,0,758,55,42,50,39,23,29,21,4,0,258,8,30,14,24,22,16,10,3,0,133,0,15,11,14,9,9,6,3,0,59,0,0,5,4,9,9,6,0,0,33,5,44,31,43,36,39,16,6,4,221,5,19,11,24,18,31,28,4,0,136,61,108,92,97,78,98,72,13,4,616,108,94,105,71,79,62,39,7,0,571,11,55,39,46,51,35,20,9,0,267,0,16,24,21,16,15,16,7,0,123,0,4,5,5,16,24,13,0,3,65,11,77,67,76,81,70,45,18,3,445,18,41,49,54,42,68,75,6,0,357
CED697,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,4,7,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
CED701,11356,6853,7534,6070,4686,3291,1513,360,53,41722,863,756,967,1189,1372,1474,1060,360,51,8094,40,46,112,165,321,460,413,175,33,1757,0,5,19,33,98,224,242,138,40,797,903,802,1093,1394,1790,2157,1707,672,122,10648,1559,1279,2012,1619,1312,981,542,178,27,9492,13818,8933,10633,9081,7786,6430,3763,1210,198,61863,10832,6093,7774,6070,4521,3039,1300,314,47,39983,587,947,1414,1569,1647,1625,969,314,84,9160,29,98,231,287,468,544,382,153,59,2260,4,7,25,86,161,264,234,132,59,987,622,1055,1672,1946,2282,2441,1582,606,204,12403,1442,855,1227,1004,899,750,424,119,29,6753,12900,8001,10676,9022,7699,6227,3300,1038,274,59140,22192,12939,15315,12144,9206,6321,2811,677,103,81707,1447,1706,2380,2760,3022,3097,2028,676,131,17249,65,141,344,450,788,1009,787,331,94,4018,9,17,42,120,255,487,475,275,99,1783,1522,1867,2767,3341,4070,4600,3290,1280,324,23053,3001,2128,3236,2623,2211,1735,959,293,53,16243
CED702,9390,5188,7906,6202,4587,3093,1570,460,70,38452,755,643,969,1067,1277,1395,1095,440,96,7736,40,59,118,160,291,383,453,246,54,1806,0,6,14,44,96,214,286,164,33,866,797,705,1106,1274,1657,1990,1830,852,186,10403,1193,787,1224,973,865,632,359,127,50,6206,11379,6677,10236,8447,7111,5712,3760,1434,303,55064,9106,4557,8164,6376,4527,2948,1552,430,69,37734,506,877,1468,1435,1373,1366,1022,466,114,8632,22,125,306,268,373,519,427,259,67,2363,0,11,33,58,133,213,293,178,77,1001,531,1019,1803,1765,1877,2098,1739,902,262,12001,1126,672,1081,890,671,531,308,154,58,5492,10767,6247,11046,9025,7079,5579,3594,1488,389,55222,18498,9742,16068,12578,9114,6042,3115,895,141,76184,1262,1520,2437,2510,2647,2758,2115,907,218,16370,61,184,422,428,664,901,878,505,121,4165,4,19,45,103,226,432,582,346,111,1865,1329,1721,2911,3037,3535,4091,3574,1755,446,22404,2319,1458,2303,1856,1534,1164,665,281,111,11699
CED794,207,59,184,154,120,104,67,13,4,899,10,15,18,39,60,67,58,3,0,277,0,0,4,8,18,25,21,6,0,76,0,0,0,5,4,16,15,0,0,44,10,15,24,47,86,104,89,14,0,390,42,41,88,101,109,93,46,13,0,531,260,113,292,305,311,300,205,33,6,1826,155,98,195,136,95,78,37,4,0,802,3,13,56,45,63,54,29,6,0,260,3,6,8,10,21,36,14,0,0,89,0,0,6,5,7,17,10,0,0,38,6,13,59,60,84,102,49,9,0,388,32,48,105,71,105,98,33,0,0,482,190,162,364,268,280,279,114,17,4,1675,359,152,374,295,213,182,102,18,3,1705,9,29,74,86,124,121,83,11,0,535,4,6,7,11,41,56,33,10,0,162,0,0,4,9,9,33,21,7,0,83,18,29,89,108,170,211,138,23,0,777,74,97,193,168,213,186,79,12,0,1017
CED797,0,9,14,15,10,9,0,0,0,52,0,0,4,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,14,0,0,4,4,5,3,0,0,0,23,0,12,16,22,18,17,0,0,0,83,0,0,3,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,15,0,9,20,15,15,8,0,0,0,56,0,4,4,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,6,0,0,0,14,0,0,6,4,5,3,0,0,0,24
CED801,12526,6660,8103,7660,6232,4722,2650,1020,213,49784,1460,1428,1797,2033,2099,2329,2040,1128,319,14627,90,199,276,380,506,745,1021,652,229,4113,3,14,31,72,152,313,593,453,212,1837,1554,1638,2102,2488,2758,3387,3653,2233,762,20580,880,656,809,631,596,475,351,220,96,4718,14955,8955,11016,10782,9592,8586,6654,3475,1071,75080,12013,5532,7574,7403,5982,4826,3040,1192,270,47841,1110,1858,2433,2387,2453,2685,2326,1394,492,17141,65,343,607,636,824,1044,1130,745,356,5748,4,40,96,160,314,485,619,574,287,2583,1180,2244,3133,3181,3597,4215,4077,2708,1136,25473,813,478,589,566,507,440,395,271,141,4207,14008,8262,11299,11153,10085,9486,7512,4174,1547,77528,24547,12197,15676,15062,12218,9550,5690,2208,482,97631,2564,3291,4228,4423,4550,5016,4366,2525,810,31772,155,541,883,1019,1331,1788,2148,1396,584,9855,7,52,123,226,467,795,1211,1027,502,4426,2735,3887,5240,5667,6354,7605,7732,4948,1896,46047,1689,1136,1401,1202,1104,919,747,489,238,8929
CED802,8920,8666,10196,7225,5746,4110,2469,956,248,48540,969,1779,2085,1690,1621,1747,1660,1052,406,13016,37,212,301,321,396,528,711,545,277,3322,0,16,29,52,94,208,356,373,202,1325,1010,2009,2409,2060,2106,2484,2721,1968,894,17659,604,1158,1035,686,588,534,361,199,82,5252,10534,11837,13639,9981,8437,7127,5548,3122,1223,71449,8653,7892,9170,6996,5533,4050,2658,1127,401,46467,730,2872,2752,2104,1909,1939,1905,1286,642,16142,29,482,598,471,500,661,837,739,466,4783,3,32,62,75,169,301,393,488,332,1858,765,3386,3411,2649,2579,2900,3139,2511,1432,22781,584,1133,868,573,491,435,386,191,142,4812,10007,12414,13449,10210,8603,7392,6187,3827,1970,74059,17575,16555,19364,14216,11273,8160,5129,2083,645,95007,1702,4658,4831,3793,3527,3688,3568,2334,1046,29156,66,694,905,788,896,1190,1540,1281,738,8105,7,46,90,123,268,505,748,861,537,3176,1775,5399,5823,4713,4689,5386,5860,4477,2326,40443,1193,2292,1907,1264,1075,965,749,390,228,10061
CED803,14615,7389,10861,10181,6563,3448,1844,652,132,55677,1719,1514,1996,2262,2120,1706,1472,722,176,13697,129,201,335,419,536,617,689,414,124,3450,3,10,38,78,160,280,375,388,141,1461,1850,1729,2367,2753,2814,2598,2532,1522,440,18608,1023,634,843,713,549,322,199,99,27,4407,17487,9753,14066,13647,9924,6370,4581,2268,593,78697,14023,6524,10219,9480,5897,3426,2135,693,131,52533,1249,1951,2629,2743,2391,1893,1754,864,262,15733,77,412,668,723,749,779,859,542,197,5022,0,27,107,187,296,398,488,424,195,2125,1331,2398,3405,3656,3437,3075,3105,1833,652,22884,957,563,729,661,501,318,266,134,41,4155,16313,9481,14345,13794,9833,6818,5508,2661,821,79572,28637,13909,21077,19664,12460,6878,3982,1344,263,108212,2965,3469,4625,5007,4512,3601,3229,1587,434,29432,206,614,998,1139,1287,1399,1554,953,322,8471,7,41,145,261,452,676,861,812,337,3590,3180,4128,5772,6409,6248,5680,5639,3355,1089,41486,1986,1196,1570,1373,1048,635,462,229,63,8567
CED894,19,31,33,18,18,6,8,0,0,137,4,20,13,13,10,14,0,0,0,73,0,0,0,6,3,5,0,0,0,19,0,0,0,0,4,0,0,3,0,6,4,21,12,20,17,14,6,3,0,98,3,15,11,30,19,15,10,0,0,105,23,66,60,62,53,38,21,6,0,336,15,45,29,19,15,8,0,0,0,138,0,24,10,3,9,15,0,3,0,64,0,8,5,3,0,9,0,0,0,24,0,0,0,0,0,5,4,0,0,13,0,28,11,12,10,22,8,4,0,97,0,3,7,7,4,6,4,0,0,40,21,74,53,33,30,35,10,8,0,273,33,78,67,41,36,17,8,0,0,272,4,40,22,18,18,23,0,3,0,134,0,7,7,11,6,11,3,0,0,39,0,0,0,0,4,0,4,0,4,20,6,47,25,26,22,38,14,12,4,194,7,21,17,35,22,22,11,0,0,138
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
