region_id,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED101,117,267,532,545,587,334,80,3,0,2465,87,218,452,377,354,201,59,26,7,1781,2627,6540,16074,15271,15781,9006,1727,178,30,67234
CED102,110,248,561,615,553,335,83,12,0,2517,91,242,508,441,350,232,70,18,6,1958,2156,5895,17070,16285,13854,8452,1747,170,27,65656
CED103,98,252,547,597,645,402,104,8,0,2653,62,179,405,366,372,231,60,13,8,1696,2672,6682,16987,16627,16505,10089,2129,247,30,71968
CED104,155,312,330,548,673,406,123,6,0,2553,93,131,212,306,312,219,84,25,6,1388,3885,6421,9279,14928,18165,11988,2872,313,28,67879
CED105,125,291,614,612,499,264,53,3,3,2464,125,346,563,501,464,194,48,16,7,2264,2439,6323,13848,12409,12025,6974,1096,106,19,55239
CED106,84,209,282,386,429,287,94,17,4,1792,80,131,229,308,340,233,109,30,9,1469,3017,5845,10644,15299,17367,10738,3282,539,66,66797
CED107,223,371,523,513,495,320,82,9,0,2536,120,135,205,258,254,221,104,30,11,1338,4234,6015,11265,13909,15105,10508,2638,467,50,64191
CED108,207,351,549,623,516,356,84,10,0,2696,121,124,238,269,281,172,52,7,0,1264,4214,5697,11098,13348,13831,8894,1383,131,14,58610
CED109,168,309,555,533,549,330,55,6,0,2505,186,305,538,495,436,239,62,13,4,2278,3825,7323,15899,15804,15093,8457,1120,67,7,67595
CED110,141,321,563,556,518,336,100,13,0,2548,103,138,320,323,313,209,75,39,6,1526,3624,6723,15327,16583,15467,10362,2454,307,39,70886
CED111,150,189,304,449,461,317,64,11,0,1945,93,65,159,244,251,187,59,34,8,1100,3544,3438,7300,10877,13728,9642,1631,258,25,50443
CED112,155,343,520,560,516,303,93,12,0,2502,103,165,242,253,286,172,40,18,3,1282,3906,6990,13348,15139,15428,9041,1432,154,19,65457
CED113,142,271,511,616,519,302,52,8,0,2421,106,119,249,271,251,194,60,16,7,1273,4217,5355,10745,13633,13906,8637,1433,140,13,58079
CED114,175,271,366,497,496,358,62,8,0,2233,121,102,195,254,268,210,73,22,4,1249,3948,4538,10005,13859,15814,10671,2188,315,31,61369
CED115,167,262,384,446,433,300,85,9,0,2086,132,116,224,256,295,259,117,42,12,1453,3924,4975,9968,12467,14730,10597,2582,432,56,59731
CED116,111,297,594,650,491,214,48,3,0,2408,130,322,601,575,513,270,38,12,5,2466,2567,6267,12571,12550,13155,6425,782,70,5,54392
CED117,133,252,329,412,421,302,52,6,0,1907,86,100,146,181,226,137,61,26,19,982,3543,4311,8133,11541,13699,8901,1605,196,23,51952
CED118,79,266,741,678,540,312,64,11,3,2694,79,222,490,387,314,178,54,21,6,1751,1779,7060,22903,21297,15302,8406,1412,142,19,78320
CED119,133,338,749,715,544,322,63,3,0,2867,112,214,515,457,371,210,54,8,0,1941,3381,6783,19781,19512,15215,9041,1341,78,3,75135
CED120,174,347,515,593,661,405,85,3,0,2783,108,191,328,343,330,228,50,15,0,1593,4187,7256,14030,16574,16713,10581,1730,85,19,71175
CED121,234,260,428,587,446,366,91,11,0,2423,107,138,210,287,297,260,103,47,15,1464,4019,4922,9583,14481,15680,11106,2731,509,65,63096
CED122,291,513,714,669,538,278,52,3,0,3058,128,160,274,337,280,205,75,35,3,1497,4476,6286,12776,14249,13916,8631,1578,244,23,62179
CED123,80,268,650,534,503,331,99,5,4,2474,79,219,504,389,345,212,90,22,9,1869,2440,7629,21491,18437,14667,8779,2066,245,28,75782
CED124,233,407,707,637,524,345,65,5,0,2923,146,246,406,439,371,229,59,10,3,1909,4457,7657,16638,16353,14866,9834,1489,86,15,71395
CED125,124,164,314,467,458,309,72,6,0,1914,73,56,102,172,209,173,66,37,0,888,3259,3141,6657,10433,12888,8836,1805,275,29,47323
CED126,222,366,595,604,505,363,60,3,0,2718,145,204,369,366,328,197,53,12,0,1674,4217,6885,14417,15786,14591,9468,1449,108,6,66927
CED127,161,321,572,654,672,425,125,12,0,2942,104,134,256,401,392,258,124,27,5,1701,3532,5522,12076,17432,16997,11305,3124,349,41,70378
CED128,196,332,496,617,610,385,89,12,0,2737,100,130,199,305,289,231,76,33,9,1372,4138,6002,10892,15102,16661,11434,2269,234,21,66753
CED129,169,394,551,588,558,367,60,3,0,2690,132,284,477,429,408,267,54,11,6,2068,3483,7157,13689,13269,14157,8696,1210,87,12,61760
CED130,158,272,461,619,604,387,132,3,0,2636,85,120,299,392,353,237,67,11,3,1567,3734,6425,12406,18113,16544,10854,2360,166,9,70611
CED131,213,282,470,486,519,386,112,22,0,2490,120,102,190,253,264,243,109,47,9,1337,4186,5195,10198,12804,14913,11045,2924,582,66,61913
CED132,147,313,528,457,430,264,60,14,3,2216,73,133,223,260,224,117,42,16,7,1095,3677,7949,15129,13330,12984,7785,1300,169,13,62336
CED133,74,199,500,484,423,308,82,10,0,2080,60,159,423,394,336,229,93,40,11,1745,1889,6120,22404,19603,15142,10568,3011,380,57,79174
CED134,128,210,353,457,455,318,68,12,4,2005,88,63,161,178,208,167,66,41,14,986,3518,4039,7746,10770,13437,9847,1899,329,45,51630
CED135,213,304,484,499,503,369,121,18,0,2511,121,119,212,295,307,271,154,47,9,1535,3978,5239,11357,13984,15522,10945,3495,713,72,65305
CED136,75,280,681,632,483,286,83,8,0,2528,91,257,742,436,370,208,61,18,9,2192,2337,7431,24174,16662,13479,7666,1506,134,14,73403
CED137,184,262,402,502,499,335,83,7,3,2277,69,101,162,256,241,190,82,28,4,1133,3713,4249,8220,11461,12912,8463,1688,218,35,50959
CED138,79,224,658,548,572,340,86,15,3,2525,104,314,717,497,406,227,58,18,5,2346,2196,7771,23635,17718,15120,8828,1787,199,26,77280
CED139,97,160,327,461,463,318,38,4,0,1868,88,113,200,278,310,222,66,33,6,1316,3336,3577,8053,12649,14925,9880,1680,265,24,54389
CED140,227,346,491,452,471,343,88,16,0,2434,130,171,251,278,293,248,125,43,18,1557,4788,6472,12205,14046,15465,10424,2582,508,75,66565
CED141,141,277,411,517,549,387,79,6,0,2367,95,120,239,295,308,206,66,28,12,1369,3600,5353,9999,13159,14680,9538,1894,194,29,58446
CED142,209,276,422,439,442,297,60,5,0,2150,104,115,192,252,230,165,46,17,9,1130,4103,5055,9542,12330,13261,8146,1312,142,22,53913
CED143,52,283,981,633,388,257,52,12,0,2658,60,291,863,398,260,152,75,13,3,2115,1661,10188,38385,22622,13352,8266,1883,202,27,96586
CED144,172,339,506,547,518,263,60,4,0,2409,101,106,211,240,249,168,57,22,7,1161,3555,5115,10035,12465,13609,8184,1628,205,26,54822
CED145,124,250,601,541,487,297,92,11,3,2406,75,131,439,421,317,233,93,37,10,1756,2414,5633,19411,20249,16046,10020,3020,452,62,77307
CED146,91,274,711,666,561,311,72,9,0,2695,107,325,670,495,457,254,59,14,0,2381,2348,6971,16683,14312,13670,7448,1440,147,17,63036
CED147,57,221,732,526,404,285,102,18,3,2348,46,200,643,489,319,244,134,44,21,2140,1369,6610,28243,20685,14153,9985,3385,606,115,85151
CED148,164,322,543,560,503,304,41,3,0,2440,133,241,460,410,410,212,50,15,3,1934,3389,6713,14403,15132,14965,8337,1078,91,9,64117
CED194,3,22,40,22,23,6,3,0,0,119,7,22,57,28,30,15,6,0,0,165,181,561,1184,709,587,372,55,0,3,3652
CED197,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,6,3,6,9,12,0,0,0,36
CED201,152,319,494,705,687,452,78,12,0,2899,105,168,279,334,323,251,67,9,0,1536,4013,6979,12136,14858,16687,10868,1811,125,6,67483
CED202,131,282,388,508,531,342,70,12,0,2264,116,129,203,249,221,211,78,49,12,1268,4272,6578,11889,14382,15178,10090,1741,232,31,64393
CED203,52,223,601,562,457,217,50,7,0,2169,74,187,490,356,254,164,45,17,3,1590,2008,6255,18830,17043,12443,6169,934,112,11,63805
CED204,170,258,415,454,503,379,92,14,3,2288,114,119,178,235,227,188,82,30,8,1181,4476,5908,10720,13272,15158,10364,1935,279,37,62149
CED205,60,222,496,517,459,326,105,8,0,2193,83,245,492,418,362,258,85,23,6,1972,2263,6150,14205,12882,12362,8759,1931,178,16,58746
CED206,137,334,673,686,566,297,51,8,0,2752,161,325,506,465,394,217,51,10,6,2135,3982,8150,16341,16838,15993,8360,1170,88,6,70928
CED207,174,412,621,710,752,450,87,12,0,3218,108,157,295,333,317,229,64,13,11,1527,4462,6949,12787,15125,16002,10568,1942,165,24,68024
CED208,64,265,431,537,464,343,92,13,0,2209,73,234,348,313,272,187,72,20,16,1535,2734,7610,14933,14496,13926,8093,1897,254,49,63992
CED209,125,227,406,508,510,352,95,10,0,2233,110,81,175,232,250,173,74,27,8,1130,4076,5636,11513,15234,15954,11112,2262,277,32,66096
CED210,122,283,479,484,447,300,79,8,0,2202,96,147,251,244,265,165,58,17,12,1255,3534,6047,12054,13396,13600,8450,1324,146,15,58566
CED211,79,262,529,537,522,354,117,20,0,2420,45,131,312,281,251,149,66,29,3,1267,2730,5458,14066,15308,13096,8355,1975,222,18,61228
CED212,122,336,475,599,591,403,89,12,0,2627,133,183,293,375,304,230,65,24,3,1610,3876,6278,12007,14948,15090,10391,2156,192,20,64958
CED213,145,273,402,558,586,396,114,10,0,2484,133,136,252,326,343,247,91,35,5,1568,4250,5463,9714,13975,15196,10917,2646,316,31,62508
CED214,70,238,621,585,506,247,49,13,0,2329,85,230,512,428,335,208,45,21,8,1872,2325,6701,19424,18876,14967,7547,1084,112,11,71047
CED215,175,256,368,426,450,333,88,5,0,2101,113,118,215,257,249,203,87,25,13,1280,3929,5036,9977,11945,14425,10635,2165,346,54,58512
CED216,69,175,319,434,505,307,88,13,0,1910,102,134,220,329,292,199,95,24,12,1407,2913,5503,10465,16046,16782,10640,2711,334,44,65438
CED217,138,354,793,776,626,326,36,0,0,3049,139,372,702,645,574,282,62,4,3,2783,4003,8991,22018,21885,17489,9283,1106,64,20,84859
CED218,72,229,543,378,345,223,82,8,3,1883,62,183,435,259,252,209,93,39,11,1543,2070,7352,20462,15196,13126,9166,2749,405,70,70596
CED219,200,440,876,900,736,391,76,3,0,3622,180,321,671,611,543,319,59,22,0,2726,4734,9010,21377,22211,19575,10025,1291,110,17,88350
CED220,68,278,550,640,524,319,69,6,0,2454,75,228,473,358,325,216,63,19,12,1769,2477,6115,14829,15673,13470,8186,1535,169,23,62477
CED221,157,237,326,424,427,348,64,5,0,1988,106,101,173,204,217,196,106,47,11,1161,4169,4623,9155,12391,15142,11223,2626,456,73,59858
CED222,129,299,604,731,611,376,70,3,0,2823,125,243,468,503,447,280,71,17,10,2164,3554,6783,16590,18670,16719,9981,1844,168,26,74335
CED223,104,244,426,488,467,357,89,12,5,2192,85,133,240,259,272,183,54,19,7,1252,3208,6324,12763,15107,15153,10497,2057,206,25,65340
CED224,66,212,362,299,363,262,69,11,0,1644,73,173,247,220,293,200,85,28,15,1334,2860,7226,13989,13044,15085,10026,2745,432,45,65452
CED225,162,371,583,758,735,468,80,16,0,3173,116,169,312,390,348,251,77,20,4,1687,4442,6889,14066,18351,17615,10948,1829,182,29,74351
CED226,203,501,961,840,654,397,60,3,0,3619,160,310,701,563,521,323,54,19,7,2658,5183,10425,27862,25819,20404,11176,1403,104,13,102389
CED227,163,260,386,402,430,314,72,9,0,2036,107,125,207,235,249,217,113,47,12,1312,3685,4483,9019,11550,13950,9770,2529,523,66,55575
CED228,70,221,517,438,425,312,71,11,0,2065,80,210,442,366,311,159,59,15,3,1645,2404,6075,14449,13595,12306,7521,1328,116,14,57808
CED229,222,436,746,850,816,426,107,11,0,3614,153,209,369,503,472,283,104,26,6,2125,5202,7885,17016,22093,21554,13241,2695,288,44,90018
CED230,207,338,476,510,562,345,94,9,4,2545,123,133,224,286,308,205,85,33,11,1408,4103,5719,11558,13439,14300,9938,2272,395,47,61771
CED231,54,296,978,541,391,265,61,8,0,2594,68,285,698,408,251,155,69,20,3,1957,2166,12401,38448,19489,12581,8050,1824,181,27,95167
CED232,64,262,777,583,428,298,69,15,0,2496,44,174,638,384,265,223,87,17,8,1840,1438,7929,31189,20537,14021,9699,2471,359,56,87699
CED233,90,240,388,482,562,396,141,17,0,2316,67,115,235,278,318,226,125,28,7,1399,2939,5819,9876,12886,14658,9671,2854,294,23,59020
CED234,153,241,413,470,454,334,84,7,0,2156,138,122,231,270,286,206,93,43,9,1398,3783,4386,9242,12361,13886,9794,2250,371,55,56128
CED235,91,273,521,534,477,273,46,6,3,2224,124,230,427,377,313,212,35,6,3,1727,3191,6803,13567,13654,13467,7925,1035,75,12,59729
CED236,136,214,308,395,343,278,63,11,3,1751,152,100,160,215,260,233,116,58,9,1303,4166,4467,9129,12237,14454,10660,2594,527,73,58307
