region_id,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED101,31,45,149,268,674,1475,1675,1496,881,6694,17,36,106,141,305,355,395,407,110,1872,432,600,1240,1088,1279,1131,1083,1148,756,8757,4169,10529,21620,20240,20924,16188,10766,7910,3745,116091
CED102,29,27,131,255,680,1866,2645,2226,953,8812,0,33,95,134,223,490,587,582,199,2343,440,721,1800,1482,1289,1293,1176,1168,686,10055,3539,9146,22885,21514,18384,15197,10843,7852,3560,112920
CED103,20,63,62,155,372,816,1007,1148,635,4278,8,25,86,115,163,189,228,286,91,1191,329,756,1172,928,964,961,839,996,797,7742,4005,12376,22325,21405,20855,16206,10176,7691,3454,118493
CED104,17,30,40,88,178,369,564,547,348,2181,6,7,24,53,47,80,103,132,50,502,199,222,332,472,701,608,589,527,450,4100,3973,8367,11424,18253,21442,17557,10517,5215,2231,98979
CED105,63,127,639,1137,1773,2153,2036,1876,1002,10806,26,75,320,527,915,901,793,682,224,4463,722,1013,2073,1955,1821,1613,1321,1162,612,12292,5561,11500,23509,20801,20105,15796,9633,7004,3045,116954
CED106,27,18,41,73,138,255,345,385,345,1627,0,13,43,44,73,48,73,96,53,443,362,337,678,802,864,697,581,798,853,5972,3665,8292,13629,19862,21775,16299,11220,7975,4477,107194
CED107,75,85,213,386,872,1703,1696,1653,887,7570,9,12,42,63,75,87,106,68,32,494,570,763,1290,1397,1354,1450,1489,1294,554,10161,4850,9101,15886,18341,19708,17972,12630,7739,2829,109056
CED108,86,67,160,244,669,1270,1201,1341,929,5967,6,10,28,51,69,78,70,45,35,392,334,288,551,734,887,972,1109,1182,784,6841,4526,7871,14577,17046,17987,16964,11709,7352,3315,101347
CED109,127,141,416,685,1355,2263,1815,1209,602,8613,15,31,142,186,281,309,309,224,92,1589,743,791,1464,1603,1575,1605,1294,874,364,10313,6774,11864,23794,23146,21754,16621,9258,4611,1669,119491
CED110,15,23,68,109,249,576,739,894,685,3358,4,7,29,36,51,65,86,73,39,390,249,373,981,925,925,872,853,1119,733,7030,3490,8370,18371,20207,18699,15941,11100,8261,3629,108068
CED111,89,95,226,369,836,1623,1811,1717,1003,7769,9,15,34,58,71,72,78,84,32,453,434,444,823,1041,1253,1298,1517,1555,1022,9387,3933,5973,11621,15693,19909,20255,14497,8589,3576,104046
CED112,44,94,168,250,535,1168,1564,1655,939,6417,3,21,45,60,81,103,157,189,53,712,376,658,951,913,1076,1034,1078,1406,795,8287,4811,11621,18372,19611,19897,16431,11263,7902,3443,113351
CED113,59,76,177,292,613,1148,1238,1313,838,5754,4,8,20,35,42,89,86,62,47,393,477,396,778,1073,1162,1238,1414,1608,1075,9221,4642,7674,14934,18258,18504,16274,11886,8232,3812,104216
CED114,61,77,156,302,681,1451,1620,1409,714,6471,7,16,27,23,37,67,105,96,26,404,474,453,974,1193,1411,1489,1425,1276,678,9373,3707,6166,13293,17773,20482,19884,13678,7521,2875,105379
CED115,126,126,295,362,922,1953,2287,1949,949,8969,0,13,36,66,83,91,98,68,24,479,493,496,863,1008,1300,1467,1636,1774,1027,10064,4353,7233,13749,16332,19051,18511,13449,8495,3164,104337
CED116,66,102,594,1431,2452,2626,2053,1538,434,11296,16,109,419,964,1862,1473,964,927,334,7068,700,757,1433,1680,1829,1491,1197,926,438,10451,5763,10612,19970,20579,21934,15516,8713,5353,1619,110059
CED117,68,65,151,251,656,1504,1695,1639,801,6830,7,9,26,43,42,57,80,92,24,380,456,473,880,1012,1308,1280,1565,1629,773,9376,3918,6309,11713,15744,18799,18949,15405,9557,3338,103732
CED118,23,31,120,254,582,1350,2155,1980,706,7201,8,21,71,101,209,350,547,621,176,2104,379,867,2287,1931,1523,1346,1165,1176,776,11450,2866,10503,29191,27035,19938,14316,8680,6182,2621,121332
CED119,42,65,201,350,647,1269,1281,1059,437,5351,7,25,103,111,177,200,227,229,79,1158,446,589,1475,1251,1193,1015,899,799,387,8054,4390,9798,26042,24873,19572,15008,8120,4586,1519,113908
CED120,27,47,117,224,458,995,1055,935,488,4346,9,18,57,71,141,168,161,150,51,826,372,436,1041,986,1102,1057,845,796,389,7024,4655,9590,18076,20535,20594,16753,9247,4971,1830,106251
CED121,91,95,183,327,729,1695,1848,1538,741,7247,7,10,29,34,63,76,74,80,26,399,450,458,901,1243,1259,1359,1472,1325,621,9088,4324,6832,13068,18709,20145,19141,13252,7159,2562,105192
CED122,90,99,236,368,894,1719,1553,1441,807,7207,0,13,24,27,55,77,78,73,65,412,533,517,1188,1350,1342,1378,1187,1153,479,9127,4833,8561,17608,19011,18718,16496,10048,5966,2265,103506
CED123,29,56,107,217,441,1066,1500,1558,745,5719,3,35,68,66,123,194,294,353,112,1248,670,1497,2778,2205,1773,1659,1563,1297,623,14065,4994,15245,28878,24162,19448,15405,10703,7325,2999,129159
CED124,69,90,225,393,849,1746,1340,1007,469,6188,7,10,49,57,85,135,154,116,39,652,546,853,1433,1338,1445,1350,1160,880,443,9448,5323,10793,22212,21290,19442,16913,9136,4490,1715,111314
CED125,67,78,170,311,743,1432,1906,1751,984,7442,14,12,17,21,30,49,44,42,22,251,336,291,502,744,1061,1290,1547,1808,1088,8667,3341,5021,9849,14521,18015,18943,16105,10126,3882,99803
CED126,74,72,171,367,779,1399,1043,816,463,5184,10,16,47,78,108,164,148,119,39,729,548,519,988,1116,1211,1180,911,678,254,7405,5373,9587,19092,20376,18681,15901,8252,3995,1515,102772
CED127,24,16,68,121,196,472,623,662,435,2617,3,17,28,54,49,62,80,92,40,425,258,338,746,987,971,961,915,1010,1155,7341,3229,7038,14597,21209,20248,16887,12255,7414,4074,106951
CED128,48,58,105,210,480,859,840,747,474,3821,6,9,36,36,47,54,70,52,22,332,459,431,684,1066,1291,1276,1090,865,550,7712,4592,8155,14324,19304,20817,18570,11067,5634,2420,104883
CED129,60,132,499,877,1383,2382,2297,1638,503,9771,8,61,239,405,735,812,765,697,199,3921,454,499,980,1108,1280,1211,1136,886,307,7861,5230,10545,19659,19341,20399,16946,9618,5146,1463,108347
CED130,24,22,40,108,200,513,672,567,420,2566,5,12,37,43,70,79,87,106,46,485,248,285,546,743,716,693,641,615,587,5074,3932,8362,15262,22056,19614,16097,9757,4590,2284,101954
CED131,113,138,252,398,910,1805,2027,1861,907,8411,8,10,34,50,70,100,90,65,35,462,541,556,987,1180,1313,1414,1612,1496,776,9875,4990,8534,14750,17318,19974,19057,14086,8238,3088,110035
CED132,67,69,174,266,547,1016,1134,1360,865,5498,0,11,33,111,261,138,119,122,38,833,402,684,1176,1042,1233,1108,1119,1318,906,8988,4254,11883,19982,17590,17614,14760,9909,7220,3355,106567
CED133,11,16,51,80,150,323,460,577,411,2079,3,20,48,65,60,77,92,125,47,537,339,654,1879,1430,1063,1002,841,764,659,8631,2646,8920,27492,24789,19324,16084,9968,6162,3407,118792
CED134,87,103,209,361,751,1542,1841,2142,1252,8288,5,9,26,32,57,63,64,61,36,353,417,400,716,940,1150,1195,1342,1461,878,8499,3859,6675,11986,15406,19086,19342,13659,9219,3836,103068
CED135,137,137,309,564,1219,2387,2381,1786,863,9783,8,12,11,44,79,157,138,95,41,585,743,678,1274,1575,1647,1692,1804,1463,650,11526,5100,8091,16402,19168,20936,18847,13890,7913,2767,113114
CED136,67,105,348,490,774,1292,1288,1170,633,6167,17,65,279,345,453,494,439,396,121,2609,674,1296,3074,1929,1678,1326,1144,1107,706,12934,4353,12640,34817,24185,19850,14723,9361,6214,2644,128787
CED137,73,71,148,292,604,1289,1541,1451,727,6196,8,8,20,21,50,51,55,57,20,290,394,354,649,904,1084,1191,1568,1533,872,8549,3943,6092,11646,15423,17515,17912,15138,8696,3204,99569
CED138,36,78,310,546,823,1331,1712,1644,670,7150,13,90,369,352,462,554,526,461,155,2982,665,1576,3682,2296,1910,1304,1087,986,625,14131,4204,14075,33806,24955,21189,15746,9499,6356,2790,132620
CED139,57,67,154,241,533,1028,1476,1531,972,6059,7,8,22,46,30,55,37,60,23,288,407,375,735,1005,1278,1308,1306,1538,850,8802,3437,5522,11952,17543,20871,19441,12965,9014,3665,104410
CED140,94,100,292,404,852,1735,1858,1998,1063,8396,7,12,52,49,67,87,119,138,51,582,509,697,1248,1272,1375,1303,1408,1267,609,9688,5230,9528,16732,18269,19609,16964,11722,7612,2980,108646
CED141,59,46,105,214,522,956,962,1191,810,4865,10,8,11,30,47,45,40,54,24,269,419,401,789,1049,1358,1258,1541,1799,1405,10019,3926,7410,13549,17384,19265,17217,13187,9308,4279,105525
CED142,73,66,156,284,638,1228,1421,1487,790,6143,6,3,18,37,40,47,55,51,26,283,384,305,534,822,995,1069,1367,1620,726,7822,4225,6904,12665,16295,17535,16460,13400,8871,2973,99328
CED143,12,68,157,188,403,687,774,680,256,3225,10,62,201,91,113,153,179,254,90,1153,871,3143,6577,3243,2315,1887,1401,913,394,20744,4378,20177,51732,29783,19019,14791,8044,4082,1297,153303
CED144,89,69,198,328,844,1771,2048,1832,774,7953,7,4,20,52,86,158,238,270,81,916,382,352,660,906,1132,1272,1466,1502,650,8322,4236,7332,13930,16875,18628,16570,13312,8442,2868,102193
CED145,16,9,67,74,162,293,397,478,352,1848,6,19,38,48,48,44,64,80,36,383,318,561,1858,1609,1251,1105,935,839,723,9199,2604,7494,23519,25575,20246,15294,10574,6502,3456,115264
CED146,36,81,324,655,1317,2147,2518,1893,660,9631,16,57,219,308,621,841,879,827,219,3987,693,1036,2232,1807,1834,1511,1313,1294,815,12535,5070,12069,26119,22110,21138,15612,10494,7196,2746,122554
CED147,19,22,60,80,117,262,436,527,411,1934,3,19,36,27,35,46,65,88,39,358,560,1389,4822,3154,2249,1844,1558,1194,983,17753,2535,9820,36173,27429,19325,15892,10469,6394,3786,131823
CED148,66,89,279,496,1044,1768,1483,1001,410,6636,9,34,113,189,348,397,335,248,83,1756,684,678,1415,1421,1524,1416,1070,818,472,9498,5719,10431,21116,21404,20801,15348,7619,3932,1399,107769
CED194,35,31,55,75,95,110,98,47,16,562,5,6,10,20,22,17,6,7,0,93,120,222,567,597,597,392,239,87,66,2887,584,1312,2652,2102,1890,1675,969,244,121,11549
CED197,0,0,0,0,0,0,6,7,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,6,0,20,0,6,4,11,10,26,27,23,3,110
CED201,56,49,121,211,419,915,1366,1065,553,4755,10,19,49,96,163,142,147,129,49,804,219,280,462,645,720,761,801,727,518,5133,4010,9014,14886,18568,20061,16633,9629,5081,2171,100053
CED202,116,107,235,341,570,1371,1943,1792,950,7425,11,25,56,61,64,73,56,49,18,413,475,554,797,982,1265,1352,1367,1407,785,8984,4695,9497,16032,18934,19771,17870,11375,6885,2767,107826
CED203,42,71,194,368,658,1932,3629,3422,1358,11674,17,40,119,119,220,364,652,723,170,2424,339,879,1944,1426,1288,1177,1240,1306,711,10310,3167,10689,25289,22709,16937,12017,9194,7711,3075,110788
CED204,145,163,312,390,654,1564,2382,2146,1247,9003,7,19,60,91,83,60,44,24,14,402,421,485,892,1080,1213,1316,1463,1668,982,9520,4577,8619,14870,17682,19707,19008,13080,8064,3378,108985
CED205,89,136,417,528,829,1638,2346,1840,734,8557,42,84,334,295,351,391,407,398,128,2430,458,655,1370,1055,1087,1175,1219,1168,607,8794,3736,10198,20188,18203,17202,16146,12126,7212,2564,107575
CED206,181,219,841,1237,1576,2597,2662,1509,390,11212,20,70,244,317,542,634,613,439,88,2967,794,845,1585,1633,1630,1389,1155,878,310,10219,6239,12554,24280,24699,23009,16356,9365,4732,1161,122395
CED207,74,77,212,262,349,874,1360,1118,571,4897,3,19,56,96,65,62,70,70,42,483,280,295,581,684,809,779,783,977,768,5956,4045,8676,16007,18847,19147,16132,9686,5410,2299,100249
CED208,47,64,123,195,318,893,1733,1868,876,6117,8,52,90,95,168,169,217,279,80,1158,363,1032,1250,837,867,725,862,1206,1009,8151,4310,15570,20488,18839,17756,13436,10146,8749,3754,113048
CED209,76,77,156,207,369,917,1704,1824,1162,6492,5,19,36,58,96,71,57,47,20,409,311,334,613,854,1070,1116,1102,1363,786,7549,3721,7740,14810,19218,19768,18948,12754,8107,3645,108711
CED210,112,137,307,419,735,1542,2297,2150,1029,8728,16,18,60,91,112,111,176,158,77,819,474,554,1081,1194,1301,1229,1354,1459,762,9408,4024,8624,16505,18102,18063,15759,10788,7327,2919,102111
CED211,55,69,187,240,367,772,1413,1447,795,5345,11,39,87,118,170,157,177,168,62,989,222,322,708,746,766,689,894,1313,1014,6674,2852,7791,17791,19272,16268,13408,10761,8007,3432,99582
CED212,107,123,227,308,439,913,1470,1339,656,5582,16,18,50,57,53,49,74,62,19,398,474,453,849,1110,1214,1188,1338,1348,926,8900,4126,8464,15906,19682,19437,17283,12445,7563,3159,108065
CED213,115,122,198,278,449,1190,1992,1838,936,7118,7,19,33,57,57,60,77,74,20,404,433,407,674,1067,1257,1345,1667,1781,1098,9729,4077,7095,12974,18524,19292,19347,15710,9602,3720,110341
CED214,59,81,274,485,894,1773,2551,2347,966,9430,12,34,130,201,304,400,441,526,171,2219,538,1087,2241,1754,1555,1344,1226,1189,632,11566,3640,10885,26101,25019,20228,14341,8854,6658,2700,118426
CED215,132,151,295,392,736,1590,2588,2194,1140,9218,15,22,32,62,82,75,94,81,21,484,497,582,1224,1232,1312,1505,1583,1391,602,9928,4187,7551,14735,16579,19421,19798,13879,7871,2892,106913
CED216,45,25,82,95,171,404,870,1064,779,3535,3,14,52,67,42,66,99,105,44,492,284,367,766,909,977,879,855,1120,1079,7236,3036,7816,13321,20367,20520,16297,10305,7392,4568,103622
CED217,102,137,435,975,1751,3505,3253,1797,539,12494,9,49,227,368,633,641,586,513,168,3194,775,1220,2540,2290,2045,1818,1388,859,388,13323,5917,13624,30869,30405,24603,18833,9815,4771,1485,140322
CED218,17,34,60,89,157,378,970,1003,476,3184,8,25,56,35,55,62,135,175,54,605,292,815,1901,1124,1018,931,882,844,614,8421,2734,11504,25414,19314,16717,14088,9477,6101,3027,108376
CED219,176,203,558,809,1184,1909,1902,1328,480,8549,38,76,314,416,384,321,287,182,60,2078,649,732,1499,1659,1530,1395,1106,971,462,10003,6531,13017,29164,29813,25757,17591,9018,4821,1618,137330
CED220,44,35,188,399,770,1613,2475,2346,1139,9009,7,51,137,225,365,448,508,468,142,2351,320,648,1210,955,1007,887,975,1128,656,7786,3237,9388,19700,20128,17459,14255,10181,8085,3497,105930
CED221,97,78,184,287,473,1366,2115,1969,1053,7622,6,15,20,54,64,72,77,62,36,406,313,314,628,788,1028,1160,1216,1298,697,7442,3749,6204,12345,15999,18838,18473,12579,7450,3012,98649
