CED_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED116,103,184,403,443,487,352,108,13,0,2093,138,178,331,364,490,432,146,51,19,2156,3542,4468,9217,10953,13277,11682,2683,323,54,56202
CED117,58,224,751,608,485,317,78,3,0,2522,84,301,918,800,632,345,103,22,4,3211,1732,6973,24083,21422,16149,9407,2449,214,26,82447
CED118,136,243,783,722,639,351,77,3,0,2960,150,393,1123,1160,849,454,107,13,4,4262,3879,7080,20258,22881,16244,9701,1865,111,18,82035
CED119,161,356,592,668,653,446,117,15,0,3016,136,288,554,691,629,438,129,25,9,2900,4250,7039,14495,17686,17086,11677,2607,205,23,75075
CED120,193,331,692,620,620,397,100,6,7,2972,213,318,624,663,749,511,184,46,13,3322,4728,6566,14103,15774,16451,11539,3028,430,81,72696
CED121,185,401,713,644,625,384,83,15,0,3049,160,280,460,530,616,392,117,39,6,2586,4137,6076,13437,14016,14600,10425,2244,258,47,65233
CED122,86,242,781,666,510,360,128,14,3,2801,99,351,1093,791,689,387,140,31,4,3587,2711,8459,24726,20382,16207,9822,2691,312,49,85361
CED123,185,387,817,664,561,384,102,13,0,3103,247,514,1028,947,849,533,134,24,3,4290,4803,8417,19379,18009,15460,10869,2281,172,16,79401
CED124,111,236,370,447,504,397,124,9,0,2203,126,175,240,361,495,403,163,66,21,2041,3174,3603,7428,9905,13335,11341,2965,451,77,52277
CED125,151,366,665,546,489,394,110,6,0,2732,229,465,1014,888,800,583,150,21,6,4153,4098,7876,17936,16259,14563,10806,2061,137,24,73759
CED126,166,323,582,643,686,465,155,13,3,3030,161,266,612,888,995,551,216,49,17,3756,3915,5887,12342,17330,18449,12270,3963,512,48,74712
CED127,159,318,492,587,600,431,120,14,0,2722,186,289,528,582,705,459,174,46,5,2973,4079,6044,11625,14177,16324,12385,3170,331,32,68160
CED128,108,327,669,625,574,375,87,0,0,2769,207,546,1096,962,897,600,119,24,10,4456,3370,7466,16328,14809,13495,9487,1804,130,20,66912
CED129,122,271,520,661,650,441,143,12,0,2821,143,294,595,879,806,481,182,24,3,3404,4071,6807,13730,19964,17964,11459,3217,280,16,77513
CED130,153,261,487,463,460,386,121,28,0,2367,177,204,438,457,484,417,210,87,21,2490,3880,5269,11762,12371,14305,12105,3809,786,131,64424
CED131,139,366,682,538,462,343,89,26,4,2648,110,273,540,484,458,293,82,36,8,2289,3770,8673,17901,15412,14550,10070,1900,248,29,72551
CED132,86,168,584,492,478,329,113,23,0,2265,82,243,926,825,698,434,210,44,15,3474,2093,6138,24017,21792,16611,10986,4145,567,84,86432
CED133,120,256,436,422,581,407,125,6,0,2366,148,178,365,442,520,452,173,76,20,2385,3799,4412,9286,12052,14774,13136,3179,512,94,61233
CED134,162,315,561,486,491,421,139,24,6,2610,178,244,451,422,498,458,227,78,26,2584,3279,5276,12867,12310,14081,12000,3731,809,146,64497
CED135,51,253,762,592,558,334,69,8,3,2624,139,497,1589,1085,791,503,124,30,11,4765,2416,7580,28030,20698,13928,8823,1916,183,32,83605
CED136,156,370,711,627,601,376,91,12,3,2940,168,263,496,532,548,415,125,40,16,2589,4072,6127,13643,14034,14382,9987,1975,220,39,64477
CED137,74,253,753,567,596,384,126,13,0,2763,104,521,1660,938,831,564,152,37,17,4831,2471,8379,28698,19948,16219,10819,2845,361,60,89789
CED138,79,191,416,501,557,369,112,6,4,2227,169,208,525,629,634,542,180,58,27,2972,3478,4241,10006,13172,14904,12580,2996,372,67,61819
CED139,156,354,546,492,506,371,141,15,0,2578,170,280,468,428,522,416,168,73,28,2545,4266,6396,12713,13005,14484,11880,3557,744,116,67164
CED140,110,256,519,521,566,456,127,15,0,2565,119,256,420,543,580,426,155,39,11,2540,3626,5334,11334,13411,14896,11256,2689,295,40,62881
CED141,168,295,526,539,572,351,77,9,0,2532,111,245,445,410,505,369,110,26,3,2225,4010,5710,12013,13207,14728,10336,1871,179,20,62084
CED142,65,293,1256,730,421,272,65,10,0,3102,88,638,2281,1058,619,318,121,28,7,5162,1905,12450,48684,24532,13995,8134,2358,298,42,112396
CED143,115,220,590,549,481,285,103,19,0,2366,104,250,768,872,779,422,181,48,10,3435,2678,5319,17827,19755,17182,10461,3617,555,78,77468
CED144,92,277,732,676,665,393,76,13,0,2930,162,522,1289,1035,975,575,117,14,9,4696,2708,7528,19212,16062,14293,8838,1731,178,18,70559
CED145,54,180,710,483,384,241,108,21,4,2181,78,221,1196,860,657,406,231,61,10,3725,1393,5413,24809,19102,13927,9113,4166,743,132,78789
CED146,111,289,658,683,578,312,58,0,0,2693,244,549,1077,1070,1070,607,125,14,5,4759,3548,7816,15839,16302,15603,9288,1572,101,15,70082
CED147,174,341,680,599,555,381,101,8,0,2840,160,302,477,538,617,434,134,41,16,2715,4126,6051,12488,13928,14806,10364,2281,303,48,64394
CED194,0,21,33,25,9,11,3,0,0,109,7,32,62,52,49,24,3,5,5,248,112,528,1094,630,507,376,89,7,4,3331
CED197,0,0,0,0,5,0,0,0,0,5,0,0,0,4,6,6,0,0,0,13,6,3,23,27,30,25,10,0,0,130
CED201,90,287,597,608,644,466,111,7,0,2823,109,303,675,708,840,610,132,32,6,3418,3527,6723,14263,14354,15619,11509,2385,187,29,68598
CED202,99,284,479,465,530,420,113,12,0,2392,167,296,413,486,593,402,165,42,14,2569,4039,6664,13248,14405,15545,11523,2652,314,61,68436
CED203,71,262,722,617,523,319,86,9,0,2598,102,371,1010,780,685,400,102,25,6,3481,2404,7367,23065,19099,15442,8786,1699,183,39,78078
CED204,108,281,508,441,514,405,116,15,3,2396,144,230,375,502,546,448,165,50,8,2471,3790,6187,12207,13329,15055,11963,2826,375,76,65812
CED205,53,250,635,502,528,340,112,15,0,2427,102,430,1184,946,864,553,157,42,9,4273,2319,6530,16419,14490,13474,9225,2364,280,43,65151
CED206,71,289,616,498,628,399,75,5,3,2594,154,476,933,829,976,548,119,22,0,4057,3393,7800,15096,13609,15326,9616,1710,117,15,66675
CED207,148,351,738,683,745,535,131,11,3,3339,176,351,681,710,881,607,207,40,10,3651,3973,6524,14301,14754,16004,11745,2923,297,38,70554
CED208,65,277,558,504,557,372,124,25,0,2474,97,342,904,631,703,409,125,45,17,3277,3086,7903,18326,15490,15408,9527,2373,314,53,72477
CED209,104,269,504,492,491,386,127,7,0,2385,156,234,433,519,538,460,171,41,20,2573,4086,6305,13511,15791,15911,12154,3188,397,66,71401
CED210,94,289,561,493,476,366,90,18,3,2381,153,299,556,536,588,436,136,39,14,2763,3538,6390,13723,13382,14240,10530,2194,250,46,64284
CED211,65,254,592,607,604,433,136,17,0,2703,90,243,662,682,658,401,180,41,6,2958,3184,5898,15683,16923,15289,10017,2735,308,29,70071
CED212,105,270,550,522,620,387,108,4,0,2564,152,317,638,756,788,559,191,34,17,3456,3619,5951,13065,14532,15485,11264,2885,292,49,67140
CED213,124,253,532,522,633,488,147,11,3,2699,162,260,483,593,776,603,257,52,17,3200,4034,5663,11042,13450,15935,12791,3816,485,78,67294
CED214,57,275,761,638,494,353,76,9,0,2671,91,415,1131,884,795,477,122,14,8,3934,2424,6904,22334,20086,15770,9244,1697,153,30,78644
CED215,107,268,438,402,422,354,97,15,3,2113,130,195,408,374,473,474,177,58,12,2298,3274,4776,10642,10940,13047,11432,3011,478,81,57676
CED216,71,168,387,399,584,310,113,21,0,2056,98,206,482,662,903,544,259,49,18,3219,2917,5522,11807,15532,18713,12204,3978,459,57,71187
CED217,102,348,861,793,617,355,75,3,4,3162,196,523,1170,1213,987,545,96,13,4,4760,4082,7895,21040,22822,16987,9877,1544,97,17,84360
CED218,51,234,674,395,384,261,87,14,3,2098,77,287,966,652,663,374,207,57,20,3308,2192,7948,25905,16887,14711,9777,3623,535,104,81684
CED219,111,416,986,838,733,426,100,5,0,3615,223,621,1501,1323,1209,735,162,21,8,5807,3945,8961,23153,21836,17835,11048,1861,150,26,88803
CED220,73,274,628,660,645,421,111,21,0,2826,99,347,954,849,886,553,154,20,15,3881,2802,6438,16056,16386,15257,9692,2255,230,48,69157
CED221,149,274,447,400,495,368,122,16,3,2271,161,211,370,494,592,461,206,73,19,2579,3785,4879,10370,12085,14755,12666,3569,577,137,62829
CED222,95,297,689,674,630,410,112,6,0,2906,128,368,876,990,1008,616,178,31,14,4209,3340,6666,16673,18411,17246,10724,2421,217,35,75735
CED223,80,209,490,494,515,412,99,16,0,2319,100,218,513,562,599,398,154,34,11,2586,3078,5962,13633,16011,15839,11822,2993,306,33,69680
CED224,78,221,424,282,353,280,101,13,0,1758,95,286,551,521,689,431,184,60,18,2833,2909,7660,15862,13793,15989,10767,3769,524,75,71365
CED225,136,322,657,730,869,472,121,12,4,3317,168,340,658,859,1027,642,161,32,15,3906,4728,7245,14252,18641,19298,11949,2412,228,49,78807
CED226,129,337,985,866,616,371,80,0,0,3389,168,543,1629,1373,933,557,125,15,5,5354,4196,9026,30338,28635,20045,10859,1817,106,32,105043
CED227,122,264,465,362,421,338,110,14,4,2103,157,217,434,405,519,497,174,74,19,2491,3433,4903,10496,10692,13344,11829,3268,627,119,58717
CED228,59,314,772,573,580,373,96,14,0,2773,127,494,1075,889,928,556,152,31,8,4262,2890,8101,19882,16388,15461,9966,2107,210,27,75035
CED229,164,438,1018,959,808,482,118,15,0,4010,234,444,1056,1021,1001,591,178,38,3,4572,5039,8846,23614,24305,21646,13154,2775,264,59,99701
CED230,153,323,739,566,641,471,107,22,0,3031,195,322,612,639,740,576,197,57,19,3368,4027,6215,14985,14615,15916,12036,3179,515,87,71572
CED231,43,338,1164,503,400,267,79,11,4,2809,102,593,1718,781,536,313,117,23,5,4187,2448,13206,46272,20611,12777,8044,2497,277,67,106199
CED232,70,253,927,527,419,273,102,11,3,2578,75,294,1257,818,639,439,184,40,17,3775,1450,7279,32078,20265,14426,9598,3417,438,87,89039
CED233,74,188,424,454,640,445,144,23,0,2393,82,249,578,569,705,507,207,44,11,2943,3156,5969,11589,12871,15957,11043,3246,476,46,64351
CED234,134,251,498,432,509,418,112,18,0,2377,206,246,417,477,606,470,190,75,27,2713,3843,4759,10613,11617,14101,12015,3239,598,119,60900
CED235,79,345,730,699,636,401,98,4,0,2991,158,407,1082,897,925,586,143,25,5,4227,3608,7725,18801,16887,16029,10607,1902,140,21,75723
CED236,99,243,351,377,426,337,100,11,0,1937,170,191,308,360,502,450,201,96,17,2297,3691,4609,9227,10779,13768,11687,3345,640,112,57866
CED237,60,282,924,663,565,326,82,6,0,2902,73,350,1174,821,573,387,121,29,10,3533,2274,8513,27787,20464,14867,8261,1629,184,36,84018
CED294,0,6,30,16,16,6,3,0,0,89,4,16,46,24,38,12,0,0,0,148,64,289,726,386,300,215,42,7,0,2033
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,8,3,0,0,0,23
CED301,161,326,651,546,478,340,77,6,0,2580,175,330,680,608,626,381,121,26,6,2949,3993,6801,15485,14071,13959,9204,1846,201,31,65595
CED302,135,237,641,609,591,423,110,11,0,2764,143,260,636,712,634,387,124,23,14,2929,4307,6813,15293,17554,16763,10374,2248,233,32,73626
CED303,144,334,633,578,703,499,123,15,0,3019,172,257,532,690,730,539,143,33,5,3110,4798,6212,12359,14820,17051,12136,2530,220,33,70168
CED304,107,389,856,514,434,304,82,6,0,2694,106,407,994,653,522,278,116,27,9,3104,3602,11977,29702,19012,15862,9292,2433,296,31,92200
CED305,208,376,680,562,516,403,93,13,0,2855,144,219,494,434,501,378,99,41,5,2308,4331,6070,14111,14261,14937,10541,2127,334,33,66737
CED306,220,394,705,642,642,443,112,8,0,3165,166,272,551,584,679,451,168,44,16,2933,4492,6630,14960,15235,16606,11692,2487,334,55,72482
CED307,168,338,673,685,683,452,103,8,0,3119,164,281,517,688,733,414,106,18,6,2935,4627,6567,13799,17495,17315,10701,2136,139,19,72792
CED308,118,317,678,720,691,448,129,9,0,3106,203,394,804,891,896,551,225,37,7,4003,4651,7475,15705,17221,17418,11536,3182,301,25,77508
CED309,111,292,557,588,656,407,99,11,0,2722,171,215,529,704,668,488,164,38,16,2999,4299,5598,12356,15101,16708,11660,2672,253,30,68671
CED310,132,246,492,513,556,358,92,11,0,2399,173,233,449,560,625,470,146,40,10,2712,4191,5067,10744,13223,14535,10128,2412,253,37,60594
CED311,186,350,618,513,456,308,72,6,0,2516,166,265,540,562,612,365,155,35,7,2709,4053,5671,13923,14581,15664,10516,2663,484,62,67613
CED312,173,374,807,745,609,428,104,17,0,3263,198,444,932,949,754,549,156,21,8,4019,4734,7558,16694,17320,15484,10345,2205,152,14,74501
CED313,93,371,824,580,462,291,84,6,0,2710,103,358,899,696,564,284,86,27,6,3028,3512,10129,26297,20013,15789,9010,2112,233,31,87124
CED314,194,387,659,476,523,385,122,16,3,2764,173,212,480,454,465,388,135,51,3,2355,4583,6597,13735,13328,14370,10791,2729,333,46,66522
CED315,155,380,744,561,516,329,105,12,0,2799,156,274,493,548,469,358,90,24,10,2424,4755,8847,17434,15391,14753,9810,1941,183,23,73138
CED316,121,195,410,390,414,328,87,5,0,1940,125,192,361,396,446,324,131,41,14,2029,3380,3985,8712,10091,11532,8994,1874,240,26,48835
CED317,207,302,587,532,483,356,119,13,0,2603,190,264,491,496,581,489,200,65,7,2787,3937,5258,12083,12808,14961,11725,3315,613,73,64785
CED318,167,352,756,802,664,443,143,10,0,3327,161,282,603,688,666,435,163,40,11,3050,4141,6174,16169,17854,17893,12467,2992,312,48,78047
CED319,115,347,748,558,547,389,122,12,0,2831,108,292,761,631,562,357,106,32,10,2845,3886,7856,19914,18393,16196,10305,2167,244,31,78986
CED320,171,327,660,599,631,385,76,15,0,2860,212,342,633,656,725,461,162,44,3,3231,4741,6596,13221,14190,15104,9895,1943,177,21,65884
CED321,186,287,443,453,438,346,137,12,0,2301,210,204,481,519,524,490,238,83,25,2779,4003,5222,11463,12303,14248,11773,3937,860,136,63948
CED322,125,240,701,639,550,358,114,9,0,2737,191,297,644,694,717,534,147,38,10,3270,4429,6362,14512,16254,15800,11107,2910,267,27,71668
CED323,90,324,826,642,541,409,136,7,0,2983,145,362,906,761,759,546,186,54,13,3732,3658,8009,18661,15230,14972,10926,3469,421,52,75412
CED324,93,289,770,576,508,306,79,12,0,2627,121,416,1039,712,568,350,106,15,9,3327,3322,8410,20540,16764,14014,8951,2087,223,30,74343
CED325,136,327,872,760,621,315,72,8,0,3108,169,373,843,900,769,445,112,21,3,3632,3917,7004,16826,17362,15481,9109,1845,145,15,71716
CED326,129,317,718,624,570,380,108,9,0,2857,185,326,645,779,674,444,145,27,17,3245,4323,6769,15862,17232,15939,10131,2249,172,26,72703
CED327,152,348,834,710,607,412,88,4,0,3158,220,531,1166,1024,789,487,116,24,9,4359,4151,7642,19481,18084,15429,10389,2068,138,13,77387
CED328,134,302,456,441,463,286,102,17,0,2201,131,252,433,502,487,313,140,37,8,2303,4797,9488,15221,16842,16420,10332,3118,352,39,76603
CED329,147,215,430,486,525,349,76,8,0,2231,178,203,330,468,624,478,172,57,3,2517,3396,3573,7673,10809,13640,10835,2731,368,47,53069
CED330,207,310,586,678,692,496,125,13,3,3113,198,321,603,811,887,540,183,56,7,3607,4726,5828,11929,15837,17458,11502,2950,379,35,70643
CED394,0,16,35,20,17,14,0,0,0,99,4,39,79,56,45,22,11,3,0,257,103,480,1010,470,509,430,76,6,0,3087
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,8,3,9,8,11,19,3,0,0,60
CED401,68,261,647,493,562,398,132,15,0,2579,80,236,672,470,391,317,137,43,8,2370,2815,7607,20474,16109,14886,11236,3146,364,43,76669
CED402,153,270,478,443,511,421,114,16,3,2414,172,194,359,418,500,399,160,59,21,2284,3886,5238,11393,12682,15579,12772,3670,635,112,65967
CED403,86,254,468,525,599,451,159,20,0,2558,75,150,352,422,412,291,125,41,9,1874,3637,6337,12756,14903,15893,12097,2943,313,44,68926
CED404,96,235,418,395,437,346,100,14,4,2049,109,132,315,294,418,344,141,80,19,1840,2924,4542,10708,11020,13735,11331,2746,448,97,57554
CED405,101,286,653,547,635,466,138,25,0,2846,79,198,510,416,465,363,129,39,19,2225,3282,6987,16700,14950,15225,11217,2793,351,50,71553
CED406,90,317,721,630,624,438,102,11,0,2938,80,201,489,433,471,306,96,19,5,2098,3503,6256,14546,14305,14584,10667,1971,108,20,65975
CED407,98,329,645,647,609,480,113,13,0,2935,110,215,456,490,462,329,96,19,8,2174,3637,6518,14992,15475,15573,10909,2171,150,19,69438
CED408,116,230,426,509,568,482,128,16,3,2488,128,132,264,387,515,394,156,42,11,2029,3510,4742,9084,12775,15946,13027,3758,495,69,63407
CED409,86,337,803,616,638,436,98,10,3,3014,102,267,672,612,644,401,100,25,5,2833,3140,6860,17205,15428,15827,10403,1711,141,24,70735
CED410,73,259,565,560,616,424,157,24,0,2670,69,181,433,423,446,319,123,38,14,2038,3057,5822,14327,14910,15499,10758,3020,398,44,67826
CED411,114,327,653,517,513,364,90,12,0,2592,142,307,563,522,568,406,125,32,13,2674,3656,6917,14559,13488,15430,10829,2118,270,51,67322
CED494,4,0,0,7,5,0,0,0,0,23,0,6,15,8,9,8,3,0,0,46,23,88,242,125,131,102,24,3,0,734
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
CED501,142,375,768,612,526,286,58,11,0,2773,161,376,801,798,740,429,78,21,12,3425,4266,7428,17439,16390,15739,8794,1424,135,22,71643
CED502,161,392,867,738,687,461,123,13,0,3442,206,427,1030,915,845,460,109,16,3,4018,4037,7466,19466,17836,15730,10155,2104,158,16,76954
CED503,162,333,560,470,482,360,86,9,0,2456,171,287,515,552,628,421,156,47,3,2778,3692,5428,11595,12355,14410,10140,2404,308,38,60374
CED504,150,380,815,789,694,444,109,4,0,3387,158,347,823,843,775,471,121,24,0,3561,3950,6625,15685,16127,15396,9710,2048,157,9,69698
CED505,81,208,520,336,356,291,92,15,0,1902,97,228,606,610,584,401,197,66,12,2795,3015,6317,16281,14245,14716,10553,3549,615,57,69344
CED506,200,362,866,678,560,355,88,14,0,3127,184,336,820,785,815,549,174,49,5,3706,3279,6057,20466,19260,18636,12929,3059,470,64,84223
CED507,175,266,533,553,560,350,87,11,0,2538,159,211,476,585,585,474,144,35,10,2684,4074,4697,12107,14830,15598,11380,2779,362,51,65875
CED508,129,321,725,606,581,358,89,9,3,2811,162,303,841,858,785,438,129,32,5,3553,3487,6400,17503,17145,15791,10336,2465,220,32,73375
CED509,177,389,677,607,652,466,114,13,0,3102,169,326,727,691,761,498,159,34,4,3373,3649,5976,13305,14052,15035,10778,2744,258,24,65823
CED510,142,320,555,533,620,481,127,7,0,2780,153,282,494,639,771,493,155,18,7,3007,4494,6839,11963,14892,17872,13174,2832,188,20,72287
CED511,214,359,570,590,587,395,109,15,0,2843,201,253,437,464,604,510,214,73,17,2771,3751,5116,12784,13925,16361,13046,3864,651,93,69597
CED512,186,462,1050,826,748,383,85,12,0,3748,218,455,899,812,871,496,144,39,0,3929,4764,8144,20162,19361,18815,10444,2492,283,25,84487
CED513,73,301,892,533,531,409,108,15,3,2867,82,308,1068,744,700,391,149,27,9,3475,2464,7228,24633,16881,14214,10007,2575,259,34,78282
CED514,93,296,894,574,518,379,137,11,0,2898,104,295,942,766,625,429,146,34,11,3358,2637,6314,20629,15725,13374,9532,2606,320,41,71179
CED515,99,382,995,575,498,338,118,13,0,3020,118,442,1189,735,633,396,155,43,9,3719,2960,9155,24477,16227,13377,9509,2561,231,37,78527
CED516,93,210,430,390,468,405,103,16,6,2119,123,244,528,596,626,479,161,40,4,2797,3558,6218,11433,13232,14790,11377,3015,321,31,63971
CED594,0,0,12,9,7,3,0,0,0,44,3,12,41,28,24,23,4,0,0,126,26,202,598,332,308,266,40,0,0,1773
CED597,0,0,0,0,0,0,0,0,0,0,0,3,16,20,15,10,0,0,0,60,0,19,100,98,82,35,4,0,0,334
CED601,79,213,337,299,346,252,65,10,0,1596,83,133,287,287,304,281,83,23,5,1488,2488,4231,8139,8645,9983,7578,1649,210,27,42959
CED602,78,198,326,320,356,247,64,8,0,1595,102,128,252,278,304,259,101,27,10,1460,2531,3389,6981,7687,9574,7417,1541,228,38,39390
CED603,42,160,356,326,309,263,83,14,0,1556,72,137,314,261,265,206,81,26,8,1378,2253,4530,10137,9567,10168,7638,1737,196,35,46271
CED604,76,164,393,353,430,313,85,12,0,1826,80,103,241,265,297,210,83,29,5,1317,2461,3516,8700,10096,11073,8484,1818,218,26,46383
CED605,84,174,306,320,324,254,66,4,0,1531,108,142,262,322,429,287,123,36,7,1712,2183,3100,6793,8027,10195,8488,2138,312,40,41280
CED694,0,3,4,0,0,0,0,0,0,6,0,0,8,3,8,0,0,0,0,18,12,22,86,47,46,23,0,0,0,247
CED697,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,21,3,14,9,0,0,0,47
CED701,114,239,549,488,504,296,72,7,0,2271,132,227,466,463,444,309,90,17,0,2153,1867,3433,9910,9265,9734,6730,1608,150,18,42719
CED702,109,221,543,419,358,211,55,7,0,1933,149,281,702,553,517,286,82,14,6,2580,2654,5916,17514,13798,11448,7298,1658,141,13,60432
CED794,0,0,0,0,0,0,0,0,0,9,0,4,12,6,4,9,0,0,0,36,18,75,169,97,111,89,11,0,0,574
CED797,0,0,3,0,0,0,0,0,0,3,0,0,3,4,3,0,0,0,0,9,0,0,8,9,9,0,0,0,0,28
CED801,169,382,686,568,620,439,149,15,3,3027,151,293,600,518,545,330,135,24,16,2627,5741,9948,23258,21572,22125,14291,3488,407,52,100874
CED802,169,414,829,739,549,308,92,9,0,3105,153,330,796,692,444,239,80,25,6,2770,5049,11017,29455,26791,19935,10726,2438,212,30,105655
CED894,0,0,0,0,0,0,0,0,0,5,0,6,3,0,0,4,0,0,0,11,10,39,57,41,28,26,3,0,0,202
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,11
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
