CED_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
CED121,14346,16873,6597,466,38280,9885,1247,49414,775,251,381,22,1423,1834,85,3343,203,66,119,9,398,528,46,965,972,316,499,28,1822,2358,128,4313,160,61,98,8,324,661,33,1012,47,7,5,0,58,41,4,101,12,3,4,0,21,11,0,29,7,0,0,3,12,6,0,23,219,71,111,10,414,722,34,1162,15,5,8,0,35,72,4,112,51,13,13,0,75,162,13,250,10,7,5,0,24,11,0,31,14,5,11,0,31,29,5,58,97,26,32,0,158,276,15,457,61,63,27,3,156,104,12,273,15702,17340,7276,513,40829,13349,1435,55614
CED122,3865,8447,1873,349,14528,2572,744,17847,767,1416,405,59,2647,975,208,3828,1043,2512,713,92,4356,933,281,5575,1809,3928,1117,153,7003,1907,488,9402,1348,1339,680,127,3491,2431,813,6735,3895,2658,1404,295,8251,5175,2244,15673,3553,2095,758,345,6749,3621,1999,12369,16,14,4,0,31,28,10,70,8815,6100,2849,762,18520,11255,5064,34843,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,5,100,81,51,14,241,127,86,456,100,89,50,14,245,131,86,467,31,66,15,3,115,112,23,252,14620,18626,5893,1278,40418,15979,6407,62803
CED123,10435,18603,6218,511,35768,6412,1012,43198,481,382,412,31,1303,1274,82,2654,894,1145,1021,81,3141,1404,214,4761,1374,1526,1436,113,4442,2680,296,7418,221,179,226,24,649,874,66,1587,281,159,204,21,662,718,94,1473,127,72,135,7,343,297,43,683,7,10,7,0,20,16,4,40,636,420,562,61,1677,1900,204,3782,3,0,0,0,7,0,0,6,24,5,3,5,37,77,0,110,4,8,3,0,13,11,3,31,11,8,10,0,35,14,3,54,37,23,20,5,88,103,11,200,43,65,29,6,143,73,8,226,12527,20638,8265,694,42124,11170,1532,54820
CED124,17278,12680,5360,369,35689,10508,1145,47346,1057,188,358,26,1635,2123,108,3871,177,59,104,5,348,247,24,622,1238,253,468,32,1988,2368,130,4489,290,103,241,24,655,1304,81,2038,76,21,48,3,147,233,19,399,125,25,52,4,205,187,18,412,3,3,0,0,6,8,0,14,498,153,335,31,1012,1739,119,2867,160,23,24,8,218,372,16,606,167,19,22,4,214,288,18,520,16,4,8,0,30,30,6,63,36,26,32,0,93,69,15,181,377,75,80,12,548,761,53,1365,102,62,35,0,213,133,17,360,19503,13220,6278,448,39444,15508,1461,56417
CED125,9489,19377,6501,510,35876,5467,808,42155,579,614,601,56,1851,1140,80,3071,484,809,779,47,2121,1098,87,3303,1059,1428,1378,110,3968,2234,164,6373,218,116,116,14,460,496,33,990,84,63,38,6,192,135,11,342,272,127,85,9,483,279,50,810,3,3,0,0,7,10,0,20,575,311,239,26,1147,924,95,2166,0,0,0,0,0,0,0,0,3,0,0,0,3,9,0,9,0,0,5,0,9,4,0,9,11,22,10,0,47,12,7,67,19,24,22,0,60,25,7,95,36,34,9,0,73,43,3,119,11177,21163,8140,641,41126,8699,1081,50901
CED126,8300,16789,2891,244,28229,3840,585,32655,277,170,72,8,519,664,23,1214,862,936,340,26,2163,1085,56,3308,1141,1108,414,31,2687,1752,81,4522,777,516,225,23,1548,1391,94,3029,1736,1164,589,58,3549,2179,284,6015,1206,801,353,49,2409,1426,180,4018,9,9,3,4,21,30,3,53,3733,2488,1172,136,7526,5028,566,13114,0,0,0,0,5,4,0,5,26,11,12,0,47,96,4,147,3,3,3,0,3,0,0,9,49,32,18,3,102,35,5,143,75,47,39,3,159,132,15,304,65,54,19,0,140,85,11,239,13320,20477,4532,416,38736,10839,1257,50828
CED127,12412,16766,5077,356,34607,9011,1149,44766,447,282,339,24,1084,1307,74,2459,223,147,181,7,559,531,47,1131,664,428,514,28,1639,1835,120,3596,106,50,85,16,252,530,47,828,27,10,17,3,59,132,19,211,0,0,3,0,4,7,0,7,3,0,5,0,3,11,0,19,134,56,100,16,318,688,70,1069,6,5,0,0,12,53,3,67,9,0,0,0,14,36,0,43,4,13,0,0,16,6,0,27,18,14,3,0,33,29,3,66,39,32,10,0,72,127,11,209,70,59,21,3,150,117,15,279,13317,17339,5724,402,36788,11771,1361,49918
CED128,7406,17502,5233,570,30707,4779,684,36175,308,481,284,33,1108,666,58,1833,675,2033,734,74,3521,664,95,4277,983,2514,1020,109,4626,1333,149,6106,264,378,251,29,918,743,69,1730,529,814,453,75,1872,772,156,2793,500,825,467,63,1855,666,99,2619,9,17,9,0,37,20,3,53,1298,2028,1180,167,4681,2200,325,7202,8,0,3,3,15,56,3,76,0,0,0,0,0,0,0,3,0,16,5,0,23,8,4,34,30,90,34,3,159,39,7,207,42,104,41,8,200,102,10,311,39,70,27,5,143,68,12,216,9763,22219,7506,861,40349,8479,1179,50016
CED129,8603,22009,3177,283,34074,3558,484,38110,272,192,117,10,584,417,21,1021,1050,2304,622,48,4022,878,167,5062,1313,2492,739,57,4609,1295,182,6080,292,131,72,15,507,691,18,1218,258,275,128,16,682,252,34,970,409,305,132,22,868,387,74,1333,8,3,3,0,15,4,0,18,967,718,334,54,2074,1334,130,3537,4,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,4,4,6,0,0,13,3,0,15,23,31,15,0,72,38,0,111,10907,25266,4259,392,40833,6228,804,47861
CED130,15537,14061,6059,506,36161,12677,1497,50339,412,208,249,31,898,1582,144,2626,79,32,53,6,169,306,37,516,487,241,299,35,1070,1892,184,3144,206,111,145,13,478,1242,82,1801,9,7,3,0,23,42,3,68,7,0,0,0,8,12,0,21,7,0,0,0,6,0,0,9,229,118,151,17,514,1294,83,1891,56,11,10,0,68,117,3,194,41,8,5,0,56,101,0,153,12,11,3,0,32,17,0,51,86,55,117,11,272,93,18,385,192,86,136,11,426,334,23,780,141,121,49,9,315,173,13,501,16590,14622,6691,580,38484,16363,1806,56655
CED131,10657,14262,5117,569,30604,8762,2433,41795,730,376,466,61,1631,1942,307,3877,1333,748,599,72,2755,1750,583,5089,2061,1122,1065,136,4382,3687,887,8963,538,183,265,43,1031,2183,299,3511,386,110,181,31,710,1179,219,2104,599,140,93,10,838,853,146,1830,28,12,3,3,50,91,14,154,1550,448,541,83,2622,4304,680,7604,0,3,0,0,4,4,4,12,11,0,0,0,12,7,0,26,3,0,0,0,5,4,0,6,31,20,23,3,74,72,13,166,49,25,28,3,99,88,22,209,48,32,17,3,100,137,28,268,14356,15892,6766,788,37813,16982,4052,58846
CED132,4793,10785,1676,198,17450,2692,413,20558,567,794,183,22,1567,502,105,2175,1420,1563,420,45,3449,1172,260,4882,1987,2358,604,64,5018,1669,364,7053,1382,964,376,89,2811,1923,422,5155,3067,1916,731,150,5869,3677,859,10407,5967,3072,1085,306,10428,7163,1291,18882,22,10,4,0,35,27,3,66,10440,5964,2196,545,19143,12793,2578,34516,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,36,20,10,5,74,47,10,134,36,20,10,5,71,55,10,146,37,49,8,5,98,92,8,200,17295,19182,4496,817,41790,17303,3379,62469
CED133,16411,13999,6600,517,37530,12027,1724,51279,534,178,322,20,1057,1692,92,2842,231,136,209,20,584,594,79,1259,758,312,531,39,1643,2283,169,4098,322,139,311,31,800,1504,125,2433,32,22,24,3,79,105,16,198,0,0,0,0,3,8,0,10,0,0,0,0,0,10,0,11,357,161,332,34,878,1628,145,2654,161,24,33,3,225,458,10,701,126,24,23,8,175,271,25,475,32,22,23,0,74,93,3,174,94,63,27,7,190,77,10,281,424,135,99,13,670,904,53,1626,115,69,38,3,220,151,7,381,18060,14670,7605,606,40941,16999,2097,60035
CED134,14292,13927,6701,620,35527,12792,1264,49585,320,194,180,25,720,965,75,1752,36,14,17,3,65,77,10,157,361,207,191,26,787,1036,86,1910,438,146,202,29,823,1941,102,2863,12,5,6,0,25,37,0,62,8,0,4,0,8,53,0,64,4,0,0,0,4,3,0,11,456,150,215,36,858,2039,104,3002,61,13,5,0,81,160,7,247,12,10,6,0,17,39,0,60,35,21,7,0,66,106,9,180,55,55,23,0,133,70,9,212,157,98,43,0,299,379,24,706,140,108,51,10,298,192,11,500,15406,14489,7195,686,37775,16438,1484,55700
CED135,5172,11899,3108,462,20637,3778,851,25260,400,599,217,32,1248,958,106,2304,1409,3381,936,113,5834,1362,355,7552,1806,3975,1157,146,7084,2321,454,9854,1124,1794,439,111,3464,1610,291,5364,2159,3345,964,198,6660,2512,629,9806,2621,3435,699,208,6960,2185,807,9956,17,9,4,0,30,19,0,53,5915,8586,2100,517,17117,6323,1731,25174,3,0,0,0,4,0,0,3,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,40,120,23,6,185,53,31,270,46,122,20,6,195,57,31,283,54,95,18,5,170,134,25,332,12994,24675,6403,1125,45207,12615,3089,60905
CED136,13865,16352,6324,495,37045,9056,1159,47257,997,321,603,41,1964,2181,120,4268,583,337,343,14,1274,828,93,2195,1582,661,946,53,3242,3006,215,6466,129,43,109,18,296,736,30,1067,58,11,13,0,83,112,6,201,112,16,27,3,163,177,19,357,0,0,7,0,8,10,0,18,303,74,153,21,550,1033,51,1640,42,9,12,0,62,92,6,162,79,8,11,0,102,165,9,278,7,7,4,0,21,6,0,24,26,16,16,0,67,28,4,99,157,41,51,3,251,296,20,566,121,41,29,3,193,318,12,519,16022,17173,7511,580,41284,13715,1455,56447
CED137,4805,11096,2261,365,18525,3060,741,22323,373,598,184,26,1177,465,82,1726,943,1651,480,55,3126,607,184,3919,1311,2248,665,81,4302,1076,266,5646,1407,1164,502,103,3178,1967,441,5585,2104,1976,700,170,4955,2008,819,7777,6478,4488,1446,455,12871,4512,2436,19818,14,12,5,0,33,15,5,51,10008,7634,2658,731,21033,8502,3700,33230,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,145,101,34,11,296,115,66,482,146,107,34,11,299,115,66,488,79,77,31,10,195,121,52,370,16348,21160,5646,1198,44361,12874,4824,62053
CED138,12386,12371,4776,336,29882,8058,1755,39695,1618,696,832,70,3220,2843,295,6351,1016,657,618,27,2312,1494,233,4041,2631,1355,1447,96,5533,4335,525,10394,572,228,381,29,1208,1720,181,3114,374,130,256,20,776,727,105,1607,323,47,60,6,439,346,28,806,7,5,3,0,18,19,3,33,1279,418,699,57,2444,2807,312,5560,220,37,35,5,295,641,19,952,250,33,57,3,348,523,28,900,9,8,9,0,23,38,3,66,29,19,14,3,69,46,8,123,510,95,115,15,726,1249,62,2036,156,73,39,3,266,233,29,528,16962,14312,7075,502,38850,16680,2688,58217
CED139,15414,14946,6051,541,36949,12364,1395,50709,353,120,118,13,605,1061,72,1734,42,18,11,7,78,127,30,232,401,136,135,16,686,1188,98,1973,463,230,234,36,965,2210,152,3324,10,0,4,0,21,81,7,106,10,0,0,0,10,20,0,33,3,3,0,0,9,6,0,12,482,240,242,39,997,2315,158,3476,33,8,3,0,43,62,0,103,16,8,4,0,27,29,8,59,7,3,6,0,17,12,0,37,77,76,36,0,194,91,19,295,135,90,44,0,277,196,28,496,96,88,29,3,212,124,13,355,16531,15494,6491,602,39118,16189,1696,57001
CED140,11094,14590,4872,368,30929,8137,1128,40193,1219,340,520,55,2127,2406,111,4647,746,430,460,20,1658,1236,127,3021,1964,772,973,81,3789,3648,234,7672,795,324,372,39,1529,1892,165,3582,255,112,113,15,492,446,69,1005,267,123,103,11,506,370,59,937,4,0,8,0,13,24,0,35,1322,563,596,59,2535,2734,294,5559,12,6,10,0,22,44,3,73,72,37,50,7,159,244,25,425,0,0,0,0,0,3,0,3,16,12,14,3,42,27,3,68,99,51,69,10,225,324,29,575,55,29,24,3,115,148,7,275,14533,15998,6545,516,37591,14986,1695,54272
CED141,13803,15841,5936,424,35999,9482,1093,46586,820,229,414,32,1496,1892,98,3496,397,215,311,16,932,686,87,1701,1217,443,729,42,2428,2582,186,5192,275,87,220,17,589,1073,66,1725,28,6,6,3,42,115,3,167,145,27,23,3,195,186,20,407,7,0,5,0,16,11,0,28,449,124,259,17,846,1388,87,2319,26,3,3,0,34,52,4,87,29,3,11,3,42,167,3,218,8,8,0,0,14,6,0,21,15,21,11,0,46,31,7,85,74,32,33,4,138,254,17,410,27,20,9,0,59,42,7,107,15573,16451,6957,486,39478,13747,1392,54618
CED142,455,591,157,30,1230,400,153,1786,1174,754,295,63,2289,1175,589,4049,3500,2538,1061,251,7353,3150,2609,13111,4672,3289,1363,314,9638,4326,3190,17155,589,137,98,30,862,1212,318,2388,2300,648,454,146,3542,3737,1143,8421,16007,4350,1764,1105,23232,19117,8034,50384,14,3,0,0,10,6,11,29,18912,5133,2319,1284,27644,24073,9502,61223,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,6,7,0,0,0,7,35,0,41,69,36,14,3,123,146,98,375,79,36,9,3,135,182,102,419,97,61,16,9,185,239,91,516,24216,9106,3863,1650,38838,29228,13036,81100
CED143,4948,12508,1889,189,19541,2630,396,22563,430,702,184,7,1318,459,64,1843,1009,1148,290,18,2462,746,132,3333,1438,1852,471,26,3786,1205,193,5176,1787,1281,495,57,3629,2229,399,6256,3729,2015,909,155,6803,4368,957,12123,2644,994,415,75,4132,3241,522,7897,28,28,14,0,68,36,7,105,8194,4318,1831,289,14634,9872,1877,26380,0,0,0,0,0,0,0,3,0,3,0,0,7,6,0,11,0,0,0,0,3,25,0,32,48,32,26,0,112,46,20,176,56,34,23,3,117,80,20,220,27,49,19,0,99,77,15,188,14657,18768,4235,509,38170,13859,2496,54524
CED144,4780,12775,3509,479,21544,3624,712,25889,472,857,347,47,1726,705,101,2533,1143,3057,972,94,5267,1041,183,6493,1619,3914,1319,137,6997,1748,287,9029,2224,3339,1250,234,7045,2748,793,10590,1269,1950,737,114,4070,1391,390,5850,511,594,213,57,1376,419,187,1982,15,19,0,0,32,10,10,57,4016,5907,2197,402,12520,4576,1381,18477,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,61,105,50,11,224,69,34,331,66,104,54,11,230,71,34,339,55,81,24,10,167,196,25,388,10531,22778,7105,1036,41455,10222,2446,54119
CED145,2233,5156,767,106,8257,1225,263,9747,778,1346,339,43,2506,754,250,3512,2005,3078,709,95,5889,1481,665,8031,2785,4424,1051,140,8398,2233,909,11540,1599,1196,486,80,3364,1978,768,6107,4210,1985,825,187,7204,4922,1856,13975,4189,1395,638,155,6377,6662,1375,14413,32,26,7,0,59,27,16,96,10021,4600,1960,418,16997,13586,4012,34594,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,156,100,54,7,317,238,61,615,162,100,54,7,319,240,61,618,76,67,12,4,160,139,22,319,15279,14341,3838,674,34131,17424,5259,56820
CED146,6728,22013,6214,517,35475,4251,536,40259,327,554,310,36,1220,652,54,1923,632,1611,873,57,3168,916,93,4176,965,2162,1180,90,4395,1566,140,6104,58,50,83,9,199,405,16,616,34,30,59,6,128,353,17,499,0,0,0,0,6,3,0,12,5,6,11,0,26,17,0,44,100,89,152,20,360,776,38,1168,3,0,0,0,4,30,0,27,0,0,0,0,3,0,0,0,4,6,0,0,11,10,0,15,7,8,4,0,16,11,0,31,10,15,4,0,31,44,4,81,119,50,13,3,185,107,0,299,7921,24334,7563,623,40439,6753,721,47915
CED147,13261,16828,6087,415,36595,8373,840,45809,827,291,436,34,1592,1786,91,3465,546,382,375,23,1337,854,84,2277,1371,677,817,59,2921,2645,176,5745,273,136,244,15,671,1067,60,1794,4,3,6,0,15,19,0,38,0,0,0,0,0,3,0,3,0,8,3,0,10,15,0,26,275,145,253,15,698,1105,62,1857,14,3,7,0,27,112,6,146,72,12,18,3,107,167,4,282,3,0,0,0,3,0,0,3,25,24,17,0,63,28,5,100,119,36,46,3,202,311,14,532,89,39,26,3,153,119,13,285,15121,17727,7229,498,40573,12545,1107,54222
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,9858,17954,4549,423,32782,5952,835,39570,1020,617,415,35,2088,1885,110,4087,457,536,223,33,1251,458,76,1786,1470,1153,641,71,3340,2342,189,5869,209,67,45,9,334,413,24,770,42,17,33,0,100,126,12,234,34,14,19,0,66,74,3,149,0,0,0,0,0,3,0,6,292,100,104,13,497,618,35,1159,4,0,0,0,10,14,0,26,16,0,8,0,25,80,0,102,0,0,0,0,0,0,0,0,26,48,22,3,103,25,5,132,54,52,28,3,134,122,4,261,19,17,10,0,45,37,0,85,11689,19275,5334,504,36805,9074,1068,46946
CED202,13681,15583,5813,428,35503,11721,1733,48951,1014,692,602,62,2376,2927,322,5628,135,74,98,13,322,208,66,594,1148,771,706,76,2701,3137,388,6218,171,60,117,8,353,876,73,1298,13,9,3,0,25,36,12,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,181,67,119,12,375,912,79,1370,8,3,4,0,17,46,3,66,18,0,0,0,28,44,0,73,4,3,3,0,9,5,0,14,131,99,43,4,281,124,9,417,169,106,47,6,336,221,15,574,71,62,26,8,161,141,19,322,15252,16582,6712,526,39070,16141,2226,57439
CED203,8042,13051,3874,617,25584,7120,2296,34998,2156,1967,850,160,5140,3536,804,9471,1839,1594,584,145,4164,1737,797,6697,3996,3567,1437,302,9298,5272,1596,16172,1173,446,275,82,1977,2639,527,5141,421,112,96,27,665,806,218,1689,587,152,90,43,874,808,213,1901,0,0,0,0,0,3,0,5,2190,718,461,156,3516,4255,962,8733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,67,50,28,8,151,103,60,313,67,50,27,8,149,108,58,318,51,47,17,4,116,76,21,212,14342,17422,5822,1087,38674,16820,4934,60427
CED204,14806,15311,5993,521,36643,12819,1778,51243,489,162,341,46,1032,2060,200,3295,104,33,57,13,204,161,43,405,589,198,392,57,1236,2225,244,3701,86,43,62,3,195,395,32,619,13,4,0,0,16,39,4,56,0,0,0,0,0,17,0,16,0,0,0,0,3,0,0,3,96,50,69,3,215,450,34,699,8,3,4,0,21,92,3,121,22,3,3,0,30,76,0,103,3,3,0,0,7,9,0,14,35,20,13,0,74,42,3,118,78,32,22,0,132,220,10,353,89,56,20,0,168,110,14,289,15658,15646,6501,585,38387,15818,2080,56291
CED205,9613,16322,4689,663,31294,6309,1379,38983,1129,1494,612,98,3335,1778,270,5381,562,964,303,60,1887,366,200,2451,1691,2460,915,158,5222,2140,470,7833,854,1037,466,95,2447,1371,294,4115,197,106,55,12,369,290,49,714,159,63,29,28,288,218,92,594,4,0,0,0,9,5,0,14,1216,1201,556,136,3115,1885,435,5434,0,3,0,0,3,24,3,28,13,5,0,0,19,52,0,74,0,0,0,0,3,4,0,7,35,59,27,9,127,47,5,177,52,64,31,9,153,122,11,283,22,22,9,7,62,60,14,129,12596,20072,6195,973,39841,10512,2302,52659
CED206,8632,20495,5967,562,35657,5698,770,42128,752,1210,638,64,2670,1430,150,4250,445,780,343,41,1606,414,90,2117,1196,1995,982,106,4278,1847,246,6369,168,336,144,19,670,299,60,1028,11,9,6,0,24,26,3,51,7,22,20,0,51,49,0,101,0,0,3,0,4,3,0,4,190,363,176,26,751,368,67,1185,0,0,0,0,3,13,0,15,17,3,6,0,29,144,4,174,0,0,0,0,0,0,0,0,23,57,53,0,129,44,6,182,41,65,61,0,161,197,16,371,13,35,12,3,65,52,11,128,10075,22943,7201,695,40910,8165,1107,50179
CED207,12526,17872,5474,422,36298,8654,963,45916,556,198,266,21,1037,1399,49,2486,186,135,150,3,480,205,30,720,744,335,412,24,1518,1606,84,3208,25,21,20,3,68,83,3,153,37,0,0,0,37,14,0,49,0,0,0,0,3,0,0,3,3,0,3,0,3,3,0,8,59,25,22,3,113,103,3,213,15,3,6,0,27,84,0,115,24,0,3,0,24,69,0,95,3,9,0,0,8,4,0,12,6,12,5,0,23,14,0,33,46,24,14,0,86,165,4,259,36,42,25,3,112,67,3,184,13422,18303,5948,453,38120,10594,1056,49773
CED208,8369,14536,3716,603,27218,6378,2280,35877,1782,1669,705,106,4255,2755,513,7518,1137,1492,553,123,3303,769,901,4981,2914,3155,1258,227,7557,3525,1412,12501,1359,1387,573,111,3430,2143,502,6068,391,148,95,42,680,715,241,1629,280,70,82,37,468,726,151,1348,0,0,0,0,5,4,0,9,2031,1607,757,189,4582,3582,894,9055,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,3,0,37,8,4,52,12,18,3,0,39,11,4,56,41,52,18,0,106,87,32,225,13375,19369,5748,1019,39508,13579,4633,57713
CED209,14528,17415,4725,415,37081,10421,1465,48963,772,300,273,33,1382,2136,188,3707,270,170,81,8,525,326,70,919,1040,473,357,45,1906,2461,262,4631,77,34,32,0,137,277,19,439,9,6,0,0,13,24,0,36,0,0,0,0,0,4,0,10,3,0,0,0,3,0,0,3,92,44,32,0,160,303,19,486,14,13,3,0,28,58,0,83,30,6,8,0,46,126,9,183,3,6,0,0,15,7,0,20,27,74,14,0,118,36,17,175,76,101,27,0,204,225,27,460,60,48,15,0,125,73,12,207,15797,18069,5147,462,39476,13492,1779,54750
CED210,13142,14631,6401,521,34701,11948,1545,48196,887,402,508,47,1842,2875,215,4931,332,179,133,24,671,402,102,1175,1220,576,641,72,2509,3284,312,6102,332,147,153,13,648,1153,104,1906,15,3,6,0,25,71,14,107,41,12,8,0,58,110,16,186,0,0,0,0,0,7,0,3,396,165,161,15,732,1342,131,2207,0,3,4,0,10,17,0,25,17,0,3,0,20,78,0,100,0,0,0,0,0,0,0,0,27,38,5,3,67,48,10,129,38,47,11,3,98,143,13,255,40,42,22,0,104,71,14,185,14835,15460,7237,617,38147,16788,2015,56949
CED211,10833,16886,4572,501,32792,9265,1217,43272,1439,1154,636,64,3292,2840,301,6428,560,675,248,33,1522,502,120,2148,2001,1829,880,98,4815,3344,420,8576,137,132,86,15,365,293,42,705,157,61,52,10,282,244,48,567,166,38,29,7,234,273,38,545,3,0,0,0,3,7,0,8,455,232,161,26,883,816,124,1829,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,7,11,5,0,20,10,3,32,5,10,5,0,26,15,3,41,27,34,12,0,64,52,11,129,13322,18996,5629,638,38583,13484,1780,53847
