CED_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
CED111,0,0,3,29,29,37,39,56,12,201,0,4,37,59,16,11,8,4,0,141,0,0,10,19,3,3,0,0,0,42,3,24,46,71,12,3,0,3,0,170,0,3,7,67,190,266,302,170,39,1042,0,3,5,51,91,32,30,26,3,243,3,18,46,86,51,35,30,10,3,273,7,16,85,102,54,74,25,10,4,366,0,4,3,17,44,43,28,21,12,161,0,3,7,27,5,6,3,0,0,49,60,161,228,614,331,275,266,211,100,2247,205,327,547,1153,638,631,558,369,158,4582,4566,9341,11726,20055,10023,8927,6701,3994,1536,76868,0,0,3,4,3,0,6,0,0,19,3980,7853,8800,14577,6996,6114,3936,2449,1500,56204,0,3,10,20,3,0,0,0,0,39,0,3,3,42,15,27,14,15,3,122,0,0,0,10,0,3,0,0,0,10,4,8,17,89,36,25,12,6,3,197,0,0,4,35,47,30,54,22,6,203
CED112,0,0,0,0,5,6,5,7,3,25,0,0,0,19,3,6,11,7,0,48,0,3,4,3,3,0,0,0,0,13,0,8,10,21,5,5,0,0,0,52,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,5,0,3,0,18,0,21,20,58,42,41,26,6,0,214,0,6,0,25,14,3,0,0,0,56,0,6,0,17,19,23,33,15,3,113,0,3,3,25,11,11,5,0,3,68,8,28,34,225,180,156,187,134,34,986,193,459,479,1067,690,689,638,446,262,4915,4810,10639,9407,17312,9775,8998,7483,4263,1766,74437,0,0,3,4,0,3,0,0,0,5,4344,9116,8324,15137,7789,7411,5840,3598,2088,63639,0,0,7,5,3,0,0,0,0,17,0,0,0,0,3,7,0,5,0,16,0,0,0,11,4,0,0,0,0,22,0,4,9,39,20,16,10,3,3,99,0,0,0,14,11,13,8,10,3,64
CED113,0,0,0,6,13,17,16,22,3,67,3,6,3,20,13,13,11,4,0,75,0,0,8,27,0,0,0,0,0,32,5,18,14,24,5,3,0,0,0,63,3,0,3,58,64,66,57,20,11,283,0,3,0,8,8,5,0,0,0,20,11,39,30,67,45,41,53,8,0,303,0,0,5,29,18,12,0,0,0,68,0,0,0,9,24,26,19,11,0,81,0,0,0,17,11,11,6,0,0,50,7,43,32,247,178,194,229,169,39,1129,275,505,595,1431,1027,1059,840,482,172,6379,4318,9484,8025,16603,10845,10948,8429,3921,1192,73772,0,0,0,4,0,0,0,0,0,4,3605,8063,6631,13159,8386,8029,5498,2663,1309,57346,3,6,12,57,4,0,0,0,0,79,0,0,0,3,4,6,0,7,0,17,0,3,0,4,0,8,0,0,0,18,3,13,3,53,26,44,19,5,0,171,0,0,0,4,18,5,11,3,0,41
CED114,0,0,0,0,3,3,4,7,0,23,3,13,4,54,18,8,3,0,0,101,0,0,20,81,0,0,0,0,0,103,6,8,11,8,7,0,0,0,0,39,0,0,0,0,0,0,0,0,0,4,3,0,3,17,23,5,3,0,0,59,3,10,11,29,16,18,17,3,0,103,0,4,5,9,5,3,0,0,0,33,0,0,0,11,4,7,19,11,0,55,0,3,8,15,15,3,0,0,0,49,7,43,65,277,148,130,110,82,30,892,348,756,813,1689,1051,1219,1084,664,259,7892,5226,10738,9791,18035,10470,11207,9033,4981,1699,81180,0,4,7,15,0,0,0,0,0,26,4449,9315,8096,14631,8625,8800,6730,4034,1929,66614,3,3,7,35,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,4,3,23,5,4,5,0,0,50,0,0,0,3,3,3,3,0,0,17
CED115,0,0,6,93,82,96,104,65,17,469,0,9,20,41,22,14,21,9,3,138,0,0,5,11,6,10,6,0,0,40,11,32,60,333,38,39,11,0,0,517,5,3,13,69,63,103,78,30,5,373,9,10,8,40,63,48,35,10,0,221,4,4,12,30,9,13,4,0,0,77,62,258,755,3408,2971,2474,912,308,145,11295,0,0,0,0,0,4,5,6,0,18,0,10,12,19,15,0,0,0,0,57,63,282,433,1510,1063,937,770,371,116,5531,384,678,724,1666,779,707,473,235,95,5731,5438,10714,12127,21720,10860,9753,6159,3050,1116,80936,3,7,25,48,6,6,0,3,0,90,4402,7847,7353,6333,2072,1876,1005,642,326,31849,3,4,7,91,8,5,3,0,0,124,0,3,38,181,120,122,60,42,13,575,12,38,178,1075,688,612,287,139,78,3105,3,0,3,10,0,0,3,0,0,18,0,5,10,117,125,138,142,48,11,593
CED116,0,0,0,0,7,12,17,20,4,49,0,0,0,15,3,3,3,3,0,34,0,0,3,3,0,0,0,0,0,3,0,7,16,24,5,0,0,0,0,58,0,0,0,0,10,11,13,3,0,36,0,0,0,0,3,0,4,0,0,10,0,26,15,37,34,43,51,7,7,221,3,0,4,30,20,4,4,0,0,65,0,0,0,7,19,31,30,18,7,115,0,0,3,13,3,8,6,0,0,28,3,18,14,116,100,150,255,166,53,875,192,483,545,1136,830,978,1001,624,259,6047,3791,8672,7724,14116,9098,11519,11335,5945,1966,74171,0,0,0,0,0,0,0,0,0,0,3382,7476,6325,11774,7427,9461,7867,4266,2011,59984,0,4,0,14,0,0,0,0,0,12,0,0,0,0,3,4,0,3,0,18,0,0,0,3,0,0,3,0,0,10,0,3,10,39,19,24,24,7,0,130,0,0,6,7,8,15,10,3,3,48
CED117,0,0,0,12,13,15,11,10,0,66,0,0,11,61,21,18,9,6,0,136,0,6,17,73,10,4,0,0,0,108,3,14,53,322,44,28,9,3,0,472,0,0,0,20,13,17,20,16,3,92,0,3,13,84,40,19,20,7,0,184,25,65,48,259,120,52,33,9,3,616,6,31,122,353,159,189,80,31,20,988,0,0,0,41,32,22,17,3,0,116,0,0,0,21,10,3,0,0,0,38,22,79,148,1213,465,370,402,243,82,3026,296,431,552,2399,874,634,431,241,76,5920,4580,7423,7579,27513,10352,7222,4801,2449,910,72829,0,0,0,6,0,0,0,0,0,9,4011,5835,5467,16249,6053,4106,2294,855,576,45447,0,4,16,83,12,7,0,0,0,117,0,0,0,19,12,4,5,9,3,51,0,3,3,26,8,8,3,5,0,56,3,8,19,161,40,35,16,4,0,293,3,0,4,71,24,19,30,3,3,155
CED118,0,0,0,27,16,32,33,17,8,136,18,123,218,1184,453,324,154,51,6,2516,3,3,11,39,4,13,5,0,0,80,3,7,25,38,11,6,4,3,0,94,0,0,0,6,8,8,6,0,0,30,0,3,27,126,92,57,26,11,0,337,12,55,66,77,38,28,9,3,0,290,3,3,7,76,39,34,11,3,0,182,0,0,0,4,10,8,5,6,5,40,0,9,32,36,24,13,0,0,0,109,33,155,351,960,487,407,268,160,38,2869,258,394,409,1275,540,437,290,157,77,3828,6970,12829,11074,28037,10615,8034,5022,2175,655,85421,0,4,74,260,88,84,31,6,3,552,6188,9756,6791,11809,4443,3333,2154,1017,441,45941,7,26,32,295,80,39,8,3,0,493,0,0,3,28,31,24,15,14,0,108,0,0,3,22,5,6,0,0,0,37,0,9,27,40,19,10,4,3,0,106,0,0,0,45,32,27,36,8,7,159
CED119,0,0,0,7,22,14,12,5,4,61,0,7,4,26,28,33,19,3,0,114,0,0,0,19,0,3,3,0,0,28,3,11,15,43,16,0,4,0,0,91,0,0,3,47,58,59,52,11,3,238,0,0,4,17,14,7,0,3,0,45,6,29,23,51,41,25,21,3,0,202,0,14,9,107,63,60,22,9,3,281,0,0,5,23,25,14,11,8,5,85,0,4,6,20,11,4,4,3,0,49,6,70,93,535,311,267,210,102,34,1630,112,240,298,722,400,324,256,144,67,2567,5032,10235,9426,18572,9871,8357,5909,2640,1022,71070,0,0,0,3,0,0,0,0,0,3,4613,9011,7663,14157,6917,5891,4182,1936,1247,55612,0,10,5,74,34,11,4,0,0,137,0,0,0,25,15,12,8,4,0,72,0,0,3,25,6,9,5,0,0,47,0,9,9,61,32,13,11,3,0,134,0,0,4,34,42,26,17,3,0,126
CED120,0,0,0,9,11,16,14,8,0,46,0,3,3,15,11,9,7,0,0,51,0,0,0,10,6,4,3,0,0,25,0,4,10,20,5,0,0,0,0,38,0,0,0,9,11,16,8,0,0,46,0,0,3,9,8,0,0,3,0,16,3,29,13,41,34,31,26,8,5,180,0,0,6,33,13,14,3,0,0,69,0,0,4,13,22,20,22,5,0,87,0,0,7,24,12,6,0,0,0,55,10,32,46,269,208,167,163,86,35,1018,227,452,459,1099,706,655,577,313,103,4593,5238,11038,9529,18503,10160,9074,7069,3195,971,74780,0,0,4,9,5,3,0,0,0,21,4594,9647,8134,15928,8079,6864,4837,2393,1241,61708,0,0,3,19,0,0,0,0,0,24,0,0,0,9,3,4,0,0,0,24,0,0,6,21,5,3,3,0,3,43,0,3,7,40,18,14,13,3,0,108,0,0,3,26,30,14,17,5,0,102
CED121,0,0,0,0,3,5,10,3,0,25,0,8,0,20,10,7,3,7,0,50,0,0,0,12,0,0,0,0,0,13,3,3,14,33,3,0,0,0,0,57,0,0,0,0,4,6,3,5,0,27,0,0,3,5,4,0,0,0,0,13,4,20,13,45,23,13,18,6,0,158,0,5,3,28,7,7,0,0,0,48,0,0,0,12,17,8,15,10,3,65,0,3,8,17,9,10,5,0,0,60,3,34,33,164,109,94,106,60,34,646,190,509,463,1189,708,756,678,342,149,4994,5229,10407,9859,18957,10133,9883,7954,3921,1392,77730,0,0,0,0,0,0,0,0,0,0,4735,9246,8335,16215,8310,8187,6163,3538,1876,66601,3,3,0,19,0,0,0,0,0,21,0,0,0,7,4,4,0,0,0,14,0,0,0,10,3,3,0,0,0,21,0,4,3,32,12,15,8,5,3,78,0,0,0,5,12,3,6,0,0,27
CED122,0,0,5,17,15,26,12,10,5,91,0,7,28,84,23,17,23,7,4,187,3,0,41,139,17,24,11,0,0,250,4,9,84,200,28,30,8,0,0,364,0,0,0,8,8,11,8,8,0,44,0,4,14,65,87,53,33,19,3,282,15,57,79,198,68,38,34,7,0,497,5,19,73,194,68,57,28,15,3,452,4,3,3,56,18,13,8,4,3,111,0,0,6,43,18,9,3,0,0,84,61,176,487,2374,705,660,621,377,135,5587,315,461,1079,2394,806,665,513,323,131,6687,4974,8675,14608,29987,10567,7988,5748,3427,1250,87226,0,0,0,5,7,3,3,0,0,16,4211,6830,6701,12419,5080,3605,2444,1543,1099,43933,7,23,86,383,112,31,12,4,0,663,0,0,3,24,8,23,6,14,0,71,0,0,7,19,20,8,4,5,0,70,4,12,22,183,30,15,14,3,0,290,3,0,8,116,50,73,82,30,9,386
CED123,0,0,0,7,14,31,26,17,4,103,4,11,34,117,58,55,29,10,3,314,0,4,5,23,0,7,3,0,0,40,3,13,17,58,5,5,0,0,0,100,0,0,0,4,14,12,13,5,0,50,0,0,3,17,17,14,4,3,0,66,4,10,14,61,22,25,18,7,0,164,0,11,12,72,24,11,0,4,0,136,0,0,0,11,21,16,22,3,4,81,0,5,28,40,25,8,3,0,0,110,9,95,214,667,406,285,237,117,41,2078,306,515,624,1505,670,628,461,236,71,5015,6499,11571,11509,24427,10103,8709,6127,2437,710,82100,0,6,15,63,14,8,5,4,0,116,5629,10049,9379,17941,6834,5724,3482,1525,800,61359,0,11,17,93,6,10,4,0,0,138,0,0,3,17,12,20,6,10,0,69,0,0,4,24,4,5,0,0,0,34,0,3,3,34,13,17,5,4,0,79,0,0,0,24,15,22,13,16,0,96
CED124,0,0,0,0,0,0,10,12,0,20,0,0,0,9,9,5,5,0,0,28,0,0,0,0,0,0,0,0,0,0,0,6,0,9,7,0,0,0,0,22,0,0,0,0,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,3,3,15,8,23,27,19,32,15,6,145,0,0,0,4,0,0,0,0,0,11,0,0,0,3,7,13,16,7,3,59,0,0,4,10,3,7,0,3,0,31,3,14,12,62,65,97,139,80,22,501,201,437,452,923,811,990,1053,632,263,5771,3582,8733,7091,12005,9243,11128,11555,5973,1956,71269,0,0,0,0,0,0,0,0,0,0,3124,7737,6212,11331,8160,9571,8646,4802,2115,61702,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,12,0,0,8,29,17,15,10,3,4,96,0,0,0,3,3,10,10,3,0,30
CED125,0,0,3,16,21,16,21,11,3,95,9,23,13,101,52,40,27,3,5,270,0,0,3,25,0,9,0,0,0,35,3,7,23,105,12,19,9,0,0,174,0,0,3,18,33,23,12,3,0,100,0,0,0,18,10,10,5,4,0,50,9,9,17,70,37,20,13,3,0,171,3,6,13,113,72,62,16,8,0,292,0,0,3,14,12,20,15,7,0,73,0,7,24,32,29,11,0,0,0,105,19,114,255,1074,722,663,384,185,27,3448,326,610,666,1410,627,572,473,190,66,4939,6410,12044,11517,22872,9659,8839,5784,2146,508,79776,0,9,23,67,23,18,11,3,0,145,5561,9860,8795,14414,5358,5248,3005,1188,451,53881,7,47,88,659,159,39,3,3,0,1023,0,0,7,52,29,30,8,4,0,130,0,0,17,114,34,43,14,0,0,228,0,3,7,30,13,5,4,0,0,66,0,4,6,104,86,71,105,14,7,396
CED126,0,0,0,29,31,39,28,30,5,160,0,0,3,16,10,8,4,3,0,43,0,0,4,6,0,3,0,0,0,18,0,10,23,38,12,10,0,0,0,97,0,0,0,0,0,3,6,0,0,14,0,0,3,15,16,13,14,7,0,67,4,55,77,113,91,88,60,26,3,522,0,3,9,46,19,22,4,0,0,106,0,0,5,48,39,25,17,17,5,155,0,0,3,27,25,21,11,0,0,89,25,122,141,952,437,322,257,139,57,2449,176,327,343,896,518,495,422,320,130,3629,4615,10348,8598,17155,10622,8608,6978,4023,1587,72523,0,0,0,6,3,6,3,0,0,22,3931,8330,6132,11263,6729,5622,4750,2905,1951,51631,0,0,0,22,0,0,0,0,0,24,0,0,3,21,14,17,7,3,3,66,0,3,0,8,3,4,0,0,0,19,0,20,17,124,80,51,18,10,3,330,0,3,3,25,20,16,20,9,3,102
CED127,0,0,0,4,11,14,13,4,0,50,0,0,0,16,15,12,7,5,0,55,3,3,5,5,3,4,3,0,0,24,0,3,18,33,5,7,3,0,0,63,0,0,0,3,5,21,12,7,0,41,0,0,0,0,5,4,3,3,0,17,3,14,15,55,50,37,44,22,0,248,4,4,23,45,5,0,3,0,0,76,0,0,4,9,21,20,21,10,3,93,0,0,0,6,9,14,0,3,0,29,4,29,41,210,166,169,195,97,38,950,167,364,404,895,646,637,549,237,78,3972,4273,9568,8904,15935,9859,9436,7097,3054,926,69050,0,0,0,0,0,0,0,0,0,0,3850,8441,7568,13870,7870,7253,5017,2364,1137,57369,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,3,0,11,0,0,0,10,3,3,3,0,0,27,0,4,4,54,26,25,16,3,0,129,0,3,0,17,24,13,17,4,0,73
CED128,0,0,0,21,28,34,39,26,8,159,3,8,27,170,76,71,48,15,13,421,0,0,5,35,3,12,3,0,0,65,3,23,36,89,17,15,4,3,0,180,0,3,3,11,23,39,37,12,4,124,8,9,26,172,157,83,57,20,0,528,0,20,12,47,8,12,8,0,0,113,15,43,133,816,679,607,222,91,28,2639,0,0,0,6,5,8,7,3,4,33,0,3,12,12,8,4,0,0,0,35,75,286,428,1488,901,679,511,293,65,4730,309,538,561,1380,641,590,416,236,96,4757,6155,11430,11805,23508,10310,9075,6066,2949,934,82230,5,35,229,411,121,69,19,10,3,914,5354,8908,7590,10365,3721,3088,1839,983,570,42408,0,4,5,71,6,4,0,0,0,94,0,0,17,111,68,70,30,11,3,308,0,9,38,325,153,181,84,33,16,843,0,0,8,28,11,6,0,0,0,54,0,3,10,117,94,99,90,44,20,482
CED129,0,0,0,7,17,15,14,9,0,66,4,48,72,313,287,241,111,40,10,1119,4,0,14,99,17,25,12,5,0,187,10,13,20,52,11,13,4,0,0,117,0,0,0,3,7,8,3,3,0,26,0,0,3,32,65,25,12,5,4,145,22,65,107,102,44,32,22,9,0,403,0,5,12,97,70,54,17,3,3,265,0,0,3,19,13,20,7,6,0,65,0,3,17,37,31,18,5,0,0,104,32,153,185,583,398,332,240,124,38,2075,119,229,221,600,356,277,240,137,50,2236,5197,11913,9967,19539,10567,8169,6176,2765,822,75103,0,4,18,92,51,33,17,6,3,222,4607,9707,7174,10671,5193,4089,3615,1623,794,47469,0,7,10,65,35,24,9,0,0,144,0,0,0,18,18,4,0,4,0,51,0,0,4,28,10,9,0,0,0,51,0,17,27,65,21,20,12,4,3,166,0,0,4,30,33,29,30,6,0,129
CED130,0,0,0,0,3,0,3,3,0,11,0,5,8,31,12,5,0,0,0,67,0,3,17,73,0,0,0,0,0,95,3,6,12,9,3,3,0,0,0,38,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,3,0,0,0,15,5,17,25,58,39,29,29,11,5,224,3,4,16,49,8,3,0,0,0,88,0,3,4,4,11,9,8,6,0,47,0,0,3,13,12,5,0,0,0,41,18,55,54,203,63,67,63,45,5,571,307,655,762,1521,934,1102,987,561,205,7039,4758,10319,9540,16545,9530,10273,8637,4469,1327,75391,0,0,0,0,0,0,0,0,0,0,4143,9116,8093,14074,8242,8605,6908,4150,1905,65235,0,3,0,38,3,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,12,28,15,14,6,3,4,89,0,0,0,7,4,3,0,0,0,7
CED131,0,0,0,4,15,19,16,21,6,87,3,14,11,51,21,8,3,4,0,116,0,3,9,28,0,0,0,0,0,38,4,14,26,36,4,3,0,0,0,87,0,0,3,14,54,103,94,61,10,344,0,0,0,15,10,5,0,0,0,25,8,24,44,107,46,25,13,6,0,281,8,16,31,68,19,19,5,0,3,168,0,7,3,14,18,14,8,8,5,80,0,6,27,35,7,8,0,0,0,80,26,133,209,545,147,131,113,65,27,1397,133,230,426,1100,556,507,381,222,112,3666,4744,8703,11297,21748,9619,8862,6069,3133,1316,75477,20,24,31,38,6,0,0,0,0,118,3984,7445,9296,16954,8031,7320,4930,2985,2007,62935,3,8,5,50,7,0,0,0,0,76,0,0,3,21,15,17,20,10,0,77,0,0,4,10,8,3,0,0,0,24,3,18,22,93,19,12,10,0,0,177,0,0,9,20,8,0,3,0,0,41
CED132,0,0,0,21,19,16,9,9,0,70,3,3,7,130,39,28,19,10,7,237,10,24,42,284,25,29,28,3,0,438,6,15,38,203,33,8,9,0,0,321,0,0,0,13,11,12,3,10,3,62,0,3,4,48,21,23,10,12,0,121,48,153,90,256,137,99,62,21,6,885,3,9,17,120,49,30,19,7,0,248,0,0,3,43,26,28,18,7,3,133,0,0,5,41,19,20,10,3,0,98,52,144,167,1416,346,269,240,161,97,2892,242,307,424,1830,594,510,381,219,125,4639,5108,8945,8455,26994,10135,7883,6044,2941,1288,77797,0,0,0,3,7,12,3,4,0,26,4222,6654,5231,12608,5379,4524,3502,1905,1435,45456,0,0,3,52,16,0,0,0,0,82,0,0,0,13,9,7,3,3,0,37,0,0,0,23,5,0,4,0,0,33,7,14,24,154,52,38,24,3,10,324,0,4,3,46,21,15,17,13,0,113
CED133,0,0,0,0,0,3,4,3,0,11,0,0,0,10,4,6,3,6,0,36,0,0,11,40,0,3,0,0,0,52,3,6,5,14,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,17,6,44,36,43,54,6,3,211,0,3,3,14,4,6,0,0,0,38,0,0,0,4,11,11,20,10,0,57,0,0,12,17,10,7,8,0,0,57,8,37,45,126,81,113,117,58,21,610,243,609,713,1313,980,1226,991,554,177,6804,4318,10250,8722,15307,10470,12586,10100,4996,1665,78413,0,0,0,0,0,0,0,0,0,0,3748,8691,7371,13401,8952,10098,7484,4392,2248,66393,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,0,0,0,0,13,0,3,8,40,21,19,20,3,3,125,0,0,0,3,5,4,3,0,0,24
CED134,0,0,0,0,4,5,10,16,0,37,0,12,7,47,17,5,4,0,0,99,0,0,3,7,0,0,0,0,0,10,0,3,0,5,4,0,0,0,0,19,0,0,0,0,0,0,3,4,0,7,0,0,0,8,3,0,0,0,0,7,3,10,7,20,9,16,17,13,3,92,4,0,6,13,5,4,4,0,0,30,0,0,0,3,0,3,7,5,0,26,0,11,6,23,9,9,3,0,0,59,7,23,19,97,50,56,85,55,13,407,451,828,806,1908,1220,1310,1103,588,199,8418,5449,10561,8813,17461,10031,10460,8064,4247,1300,76385,0,0,0,0,0,0,0,0,0,0,4812,9076,7441,15068,8350,8156,6078,3919,1778,64684,3,3,4,25,4,0,0,0,0,45,0,0,0,0,3,0,0,0,0,4,0,0,0,6,0,0,0,0,0,6,0,3,10,19,11,6,8,0,0,54,0,0,0,5,0,4,0,0,0,13
CED135,0,0,3,24,26,16,13,10,3,94,15,103,173,1075,363,241,123,60,12,2180,0,4,25,160,9,22,11,0,0,231,4,4,37,84,11,17,5,3,0,167,0,0,4,16,5,10,5,3,3,45,0,7,19,122,137,78,55,20,3,436,16,55,25,71,25,23,19,0,0,231,3,15,35,206,153,169,64,35,9,684,0,0,0,6,12,3,4,0,0,23,0,11,15,42,10,5,0,0,0,90,61,183,335,1421,506,373,285,154,50,3357,439,580,737,2548,682,583,399,253,113,6345,7481,11042,11814,36264,10195,8361,5289,2914,1034,94404,13,37,135,371,110,83,62,8,9,819,5846,7233,5679,8421,2956,2482,1884,1288,830,36615,4,24,44,362,45,21,10,6,0,516,0,0,7,46,31,36,8,10,0,145,0,0,9,43,25,12,4,3,0,94,6,11,17,47,11,9,7,4,0,104,3,3,3,45,40,43,22,22,3,190
CED136,0,0,0,0,8,4,10,9,3,37,0,0,0,14,7,4,3,0,0,29,0,7,0,18,0,0,0,0,0,24,5,8,10,11,3,5,0,0,0,43,0,0,0,0,6,3,3,0,0,9,0,0,0,7,3,3,0,0,0,20,7,22,18,25,26,16,21,5,0,142,0,0,3,14,12,3,0,0,0,37,0,0,3,14,26,14,20,7,4,90,0,7,6,34,13,5,3,0,0,68,9,13,26,148,75,102,102,62,23,559,248,461,518,1195,739,732,734,443,184,5246,5272,10727,9365,18544,9704,9389,8274,4013,1134,76430,0,0,0,0,0,0,0,0,0,0,4787,9152,8375,16376,8276,8128,6525,3396,1447,66463,0,0,0,13,0,3,0,0,0,15,0,0,0,0,4,3,0,0,0,9,0,0,0,11,0,0,0,0,0,11,3,6,12,49,22,12,13,6,0,115,0,0,0,6,6,6,5,3,0,33
CED137,0,0,0,16,13,10,13,15,0,69,0,23,69,438,158,195,117,61,30,1092,7,8,43,343,24,38,21,3,0,487,10,12,46,213,19,8,3,0,0,314,0,0,0,21,16,6,8,4,3,57,3,5,20,115,93,64,35,11,3,342,24,37,24,94,38,25,25,7,0,278,7,17,101,483,321,297,111,48,9,1404,0,0,0,15,13,5,7,4,0,46,0,0,6,27,13,11,0,3,0,58,48,140,212,1261,398,320,248,147,90,2867,346,404,850,2464,641,541,410,233,106,6000,5530,8358,12555,33945,10354,8621,5687,3220,1351,89626,0,3,9,26,7,0,3,0,0,47,4406,6538,6026,10465,4540,3399,2114,1177,924,39591,0,3,19,90,22,5,4,0,0,150,0,0,0,27,4,12,11,8,0,61,0,0,7,41,20,19,5,5,0,104,0,6,12,76,21,7,5,3,0,142,3,3,6,55,37,28,35,10,4,178
