CED_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
CED101,75773,80026,155806,4854,4584,9442,9212,8761,17970,4832,4592,9428,5550,5141,10685,11333,11685,23016,9875,10801,20678,9952,10845,20792,8985,9713,18700,6071,6617,12691,3598,4553,8149,1513,2735,4255,73505,77907,151416,2266,2121,4388,558,670,1231,20,19,32,12,6,20,591,698,1287,43371,44409,87776,28806,31830,60637,39078,39824,78899,33513,36908,70425,61219,64475,125686,1143,1036,2177,8554,8225,16778,3999,3922,7922,2688,2547,5234,2660,3638,6298,37412,39463,76872,3228,2941,6164,10950,11916,22864,3143,3802,6937,2614,3425,6038,721,1079,1804,72179,75965,148146,2914,3449,6359
CED102,85720,87129,172850,5341,4969,10311,8993,8261,17259,4610,4433,9037,6935,6723,13658,17559,17411,34970,12421,12261,24681,10241,10812,21059,8273,8913,17188,5916,6395,12313,3854,4535,8387,1582,2408,3995,83205,84722,167919,2521,2413,4927,532,597,1126,22,34,56,15,11,25,570,638,1208,38840,37902,76742,41333,43663,84998,30973,29799,60772,49754,52402,102154,61982,63173,125152,1086,1035,2118,8231,7598,15831,3778,3765,7536,3752,3561,7309,4696,5496,10192,46048,46852,92904,3250,2808,6060,9171,9061,18233,2362,2607,4972,3804,4932,8742,1181,1812,2991,79963,81206,161163,5770,6055,11826
CED103,82368,86580,168948,5144,5071,10213,9429,8753,18184,5056,4563,9621,6690,6818,13511,14015,14652,28675,11991,12441,24430,10362,11210,21575,8823,9697,18521,5896,6320,12216,3406,4369,7775,1551,2675,4224,79713,84178,163893,2651,2400,5056,271,325,598,13,12,30,11,5,15,297,340,641,40559,40972,81526,38403,42090,80491,39485,39747,79239,39620,43491,83110,61938,64084,126023,1174,1244,2416,8910,8348,17256,4462,4083,8539,4210,4273,8487,4058,5323,9373,49431,51670,101104,2729,2637,5365,7417,8657,16073,2237,2663,4898,1839,2375,4206,602,857,1454,77479,81509,158982,4657,4953,9613
CED104,71298,73835,145136,4094,3655,7743,10412,9841,20254,5497,5071,10565,4665,4239,8901,6384,6336,12722,9042,10130,19177,10556,11566,22123,9262,9722,18983,6704,7069,13779,3389,3850,7236,1298,2346,3645,68775,71676,140446,2525,2160,4687,342,365,712,14,7,23,6,3,9,365,380,751,46132,46925,93056,22660,24319,46976,50851,51263,102115,17991,19795,37786,62512,64277,126785,1214,1082,2298,9959,9416,19371,4824,4488,9311,2405,2278,4686,1766,2710,4480,37781,39524,77306,3144,2931,6069,9289,10300,19597,2427,2641,5072,1200,1386,2586,273,333,602,67722,70049,137775,2429,3086,5515
CED105,89077,85554,174634,6791,6634,13427,12133,11330,23462,5796,5508,11308,7556,6587,14140,16213,14274,30490,11553,10890,22447,10327,10265,20595,8823,8850,17678,5744,5608,11348,2935,3534,6474,1196,2071,3267,86515,83257,169769,2558,2305,4858,438,491,927,22,38,63,13,15,24,468,549,1011,38532,38182,76707,44745,41762,86509,22737,21745,44481,60717,58764,119474,65727,66504,132233,1258,1200,2456,10745,10091,20836,4517,4465,8981,3290,2893,6187,3774,4471,8241,38180,36386,74572,3750,3188,6934,11133,10539,21673,3558,3628,7187,5006,5417,10427,2676,3070,5744,83441,80049,163490,5613,5370,10989
CED106,76948,83302,160255,4640,4389,9031,11808,11044,22851,5786,5659,11445,4503,4569,9077,8023,8911,16933,10500,11876,22375,11157,12488,23647,8403,9193,17601,6275,7140,13418,3944,4825,8767,1909,3209,5117,74204,80686,154885,2745,2619,5371,157,166,321,13,10,23,0,6,6,166,182,350,41915,43635,85548,32092,36369,68457,49153,50822,99972,24989,29355,54345,61937,65842,127782,1348,1298,2644,11243,10593,21836,5150,5172,10318,2724,2778,5504,2486,3770,6260,47219,50613,97835,2530,3055,5580,4808,6777,11584,1832,2163,3995,936,1201,2140,246,384,628,72600,78157,150760,3460,4773,8230
CED107,80634,80662,161298,5437,5061,10497,11173,10362,21531,5351,5004,10359,4821,4512,9334,9628,9218,18848,9356,9609,18964,10536,10732,21264,10277,10326,20600,8555,8615,17178,4204,4900,9101,1288,2328,3617,75712,76446,152154,4920,4217,9143,5159,4612,9767,97,84,180,99,73,175,5351,4767,10120,66819,66563,133380,6629,6703,13335,69339,71060,140402,2987,3209,6196,69732,71504,141233,1163,1180,2344,10034,9305,19340,3525,3544,7072,1035,1454,2485,1696,3182,4874,21185,26379,47568,4349,4336,8683,20066,18621,38688,5583,5490,11069,3942,3306,7242,230,192,420,69873,71885,141751,10308,8175,18485
CED108,84513,86738,171249,6954,6650,13609,13275,12343,25619,6480,6071,12553,6391,6189,12584,12484,13600,26077,11608,11910,23514,10421,10701,21123,8472,9038,17517,5482,5966,11451,2288,2935,5231,652,1331,1980,82021,84555,166571,2491,2184,4677,3218,3450,6662,83,90,173,52,49,95,3343,3585,6928,44873,44969,89846,34232,36195,70419,44380,44274,88651,35299,37518,72818,67827,69181,137009,1292,1235,2527,11924,11133,23057,4648,4529,9174,2060,2169,4229,2264,3658,5919,32624,34628,67250,4179,4065,8243,14066,13865,27927,4294,4582,8879,3495,4232,7730,731,1130,1862,79976,81814,161791,4385,4669,9054
CED109,67499,71568,139062,4297,3960,8253,8573,8066,16632,4014,3886,7905,3919,3743,7668,8269,8896,17161,9172,9727,18899,9387,9918,19306,8196,8806,17006,6276,6943,13217,3730,4707,8441,1666,2913,4576,64693,68959,133650,2808,2602,5416,654,634,1293,37,27,63,12,23,32,709,684,1387,49347,51486,100833,14455,16243,30702,50253,52550,102805,13958,15607,29562,59698,63057,122758,1154,1008,2162,8005,7558,15563,3255,3296,6554,1562,1592,3151,1564,2408,3970,30757,33185,63940,3223,2866,6087,12257,13442,25703,2730,3376,6108,1735,2238,3971,276,362,641,63250,66947,130200,3365,3916,7279
CED110,77043,82275,159321,4117,4069,8185,9777,9439,19216,4701,4429,9129,3693,3529,7220,7216,7655,14874,7957,8735,16687,9698,10923,20619,11519,12389,23905,10538,10973,21518,5740,6631,12372,2088,3503,5595,72400,77919,150318,4649,4356,9001,4600,4870,9478,60,64,121,94,99,194,4761,5034,9791,62098,65761,127858,8715,9845,18560,67848,72555,140405,3202,3823,7021,67921,72896,140817,1134,1086,2218,8894,8559,17455,3199,3151,6353,683,1016,1698,1422,3175,4597,21691,25233,46931,4872,4803,9679,19158,21054,40211,6227,6438,12660,3938,3732,7672,234,261,496,69468,74644,144111,8768,8890,17660
CED111,76868,78513,155380,4566,4332,8904,9341,8906,18244,5051,4839,9886,6675,6008,12683,10276,9990,20262,9780,10030,19810,10023,10167,20198,8927,9477,18403,6701,7185,13888,3994,4902,8895,1536,2674,4206,73023,75076,148103,3843,3435,7280,1633,1678,3313,47,28,78,28,30,56,1713,1737,3452,55260,56204,111463,17032,17701,34737,59197,60281,119478,13629,14251,27880,65514,67670,133178,1260,1199,2461,8753,8342,17096,3922,3959,7884,3551,3159,6713,3231,3814,7043,31388,32680,64069,4019,3413,7432,15376,15385,30763,4034,4496,8528,3104,3850,6952,430,637,1068,70555,72327,142878,5566,5614,11181
CED112,74437,79629,154067,4810,4602,9414,10639,9905,20542,4959,4785,9744,4440,4486,8927,8345,8835,17179,8964,9752,18712,9775,10390,20162,8998,10084,19082,7483,8421,15900,4263,5336,9592,1766,3050,4809,70827,76266,147098,3607,3366,6971,3204,3235,6437,74,73,148,48,71,116,3321,3382,6705,59917,63639,123559,9604,10608,20217,66269,70364,136629,3772,4380,8155,66515,71117,137631,1332,1225,2553,9780,9124,18901,3406,3432,6843,1149,1396,2543,1441,3071,4514,21864,24837,46706,4655,4387,9043,18853,20321,39172,5243,6111,11356,2950,3146,6098,243,176,420,68830,73496,142324,4599,5217,9819
CED113,73772,73764,147532,4318,3861,8177,9484,8969,18454,4414,4174,8591,3608,3488,7100,7817,7924,15739,8791,9094,17886,10845,11129,21977,10948,11017,21968,8429,8031,16469,3921,4040,7961,1192,2029,3218,68822,69361,138185,4944,4402,9348,2273,2262,4535,56,40,94,41,42,85,2371,2343,4711,57524,57346,114864,9868,10103,19972,62913,63037,125950,4926,5248,10173,64719,65105,129828,1013,851,1861,8562,8102,16659,3066,2970,6029,838,1016,1851,1582,2889,4470,25967,29038,55008,4528,4406,8939,15439,14572,30012,4380,3927,8307,3022,2578,5608,211,190,397,65677,66391,132065,14966,12307,27275
CED114,81180,82797,163980,5226,4908,10127,10738,10521,21264,5194,4955,10144,4599,4418,9016,9013,9322,18339,9018,9455,18478,10470,10722,21197,11207,11166,22380,9033,8992,18021,4981,5613,10596,1699,2725,4422,75654,77710,153365,5528,5085,10618,3241,3391,6625,66,67,132,46,50,93,3357,3501,6856,65271,66614,131888,8017,8197,16215,68457,70002,138456,5856,5949,11803,70553,72218,142767,1156,1094,2249,9580,9376,18959,3353,3479,6833,774,1176,1951,1332,2659,3990,20155,25375,45523,6983,7071,14050,18857,16997,35851,6344,5640,11987,4945,4082,9021,447,398,845,71555,73065,144619,9863,9102,18965
CED115,80936,83295,164235,5438,5105,10547,10714,10073,20783,5715,5476,11193,6411,6219,12628,11602,12162,23763,10120,10965,21087,10860,11143,22004,9753,10476,20231,6159,6198,12353,3050,3653,6702,1116,1831,2947,78526,80981,159502,2414,2314,4731,641,605,1248,42,33,74,6,4,13,696,640,1333,33815,31849,65670,41386,45718,87105,21639,19930,41569,54294,58397,112689,64411,65751,130162,925,863,1791,9409,8887,18298,4441,4520,8961,2522,2763,5289,2537,3840,6377,32441,33179,65614,3765,3292,7052,11089,10379,21471,3712,3970,7681,5439,7166,12604,2949,4607,7554,75677,77741,153425,5283,5671,10954
CED116,74171,76266,150436,3791,3615,7411,8672,8150,16822,4120,3932,8053,3606,3125,6727,6683,6614,13293,7436,7765,15207,9098,9742,18836,11519,12422,23941,11335,11547,22881,5945,6426,12371,1966,2925,4897,68606,71441,140049,5558,4824,10383,3603,3637,7238,78,80,156,62,39,97,3734,3760,7495,58597,59984,118585,9520,10179,19696,65545,67873,133423,2826,3262,6088,65739,68189,133928,1049,990,2038,7857,7416,15274,2738,2763,5497,732,787,1518,1128,2480,3612,21701,24284,45977,4401,4259,8662,19101,19933,39031,6035,6146,12184,3486,3187,6667,176,134,307,65807,68733,134535,7105,6328,13436
CED117,72829,76684,149513,4580,4505,9087,7423,6800,14225,2746,2575,5324,4829,5305,10131,14541,15636,30183,12971,13679,26646,10352,10564,20915,7222,7911,15134,4801,5296,10097,2449,2925,5375,910,1487,2391,69807,73534,143335,3023,3156,6174,740,845,1589,30,22,57,21,26,46,799,894,1693,42848,45447,88299,24059,25426,49480,48880,50570,99453,18373,20679,39055,56878,60661,117539,1007,1019,2031,6830,6310,13141,2260,2132,4387,2313,2603,4922,3707,5347,9060,42126,46330,88458,2419,2156,4576,6252,5937,12192,1591,1581,3166,2165,2684,4847,563,854,1416,64785,69174,133957,7047,6449,13494
CED118,85421,84650,170067,6970,6763,13730,12829,12006,24834,5639,5186,10825,5433,4862,10298,13187,13769,26955,14855,14139,28992,10615,10570,21184,8034,8356,16390,5022,5372,10398,2175,2567,4744,655,1058,1711,83214,82734,165949,2205,1915,4117,1301,1081,2384,35,39,72,44,42,83,1377,1165,2543,46829,45941,92773,34759,34756,69511,46199,45923,92120,34647,35096,69742,68746,68709,137455,1566,1500,3068,11979,11170,23143,4486,4262,8750,2308,2096,4409,2530,3753,6285,38878,40193,79069,3725,3209,6932,12241,11984,24225,3186,3194,6377,2408,2709,5119,476,733,1205,80664,80948,161617,4104,3292,7400
CED119,71070,73218,144289,5032,4840,9871,10235,9810,20048,4850,4472,9318,4574,4215,8788,8514,8847,17359,10055,10770,20829,9871,10300,20171,8357,8815,17172,5909,6288,12202,2640,3057,5699,1022,1805,2827,68488,71006,139492,2587,2212,4796,863,851,1708,28,25,49,13,15,33,902,894,1792,54577,55612,110189,13929,15043,28969,57537,58483,116015,11179,12458,23636,64570,66394,130962,1422,1362,2785,9773,9354,19127,3975,3774,7748,1694,1820,3516,1605,2629,4227,30875,33695,64575,3741,3016,6759,13979,13799,27777,2894,3309,6201,1490,1784,3268,194,246,446,67268,69642,136913,2897,2789,5686
CED120,74780,75869,150643,5238,4858,10094,11038,10334,21369,5086,4841,9927,4443,4190,8640,8813,9234,18040,9697,10065,19762,10160,10604,20761,9074,9410,18488,7069,7059,14126,3195,3540,6738,971,1735,2705,71386,72911,144293,3386,2961,6347,2303,2225,4531,45,50,92,30,21,52,2382,2297,4679,61099,61708,122813,9086,9489,18573,65601,66896,132494,4562,4972,9528,67063,68540,135604,1313,1322,2636,10214,9562,19773,3567,3545,7112,1055,1278,2335,1211,2554,3765,21608,26341,47949,4185,4041,8227,19665,17975,37645,4979,4764,9740,2710,2324,5031,226,190,416,68958,70587,139546,5145,4551,9690
CED121,77730,79068,156796,5229,5019,10244,10407,10009,20415,5080,4738,9821,4781,4410,9194,9496,9512,19012,9460,9685,19146,10133,10238,20372,9883,10119,20001,7954,8216,16168,3921,4630,8549,1392,2487,3882,73466,75181,148644,4265,3883,8153,4533,4285,8818,131,107,232,110,87,198,4766,4485,9252,65944,66601,132545,6794,7246,14039,69619,71603,141220,2556,2880,5434,69566,71600,141166,1241,1231,2469,9490,9169,18660,3349,3323,6674,939,1139,2082,1304,2701,4008,18919,22520,41439,5168,4604,9774,21725,20965,42691,6420,6887,13306,3479,3345,6820,204,157,358,70218,72546,142762,6992,5622,12618
CED122,87226,89009,176238,4974,4781,9752,8675,8236,16917,5270,5045,10316,9336,8927,18261,16957,16691,33643,13026,13200,26232,10567,10768,21337,7988,8432,16421,5748,6525,12274,3427,4135,7566,1250,2269,3521,83976,85985,169959,3253,3025,6276,1435,1330,2763,38,44,84,31,33,65,1506,1403,2908,44034,43933,87960,36510,38448,74958,48810,49350,98153,30633,33565,64203,60601,64157,124761,1140,1160,2301,7975,7574,15546,4398,4339,8737,5884,5679,11565,4809,5574,10388,48922,51621,100542,3105,2862,5969,8423,8695,17118,2306,2503,4813,2176,2791,4970,532,760,1290,76750,80655,157407,10982,8754,19738
CED123,82100,84430,166528,6499,6056,12555,11571,11210,22777,5595,5249,10850,5910,5893,11809,12710,13383,26094,11717,11911,23635,10103,10501,20599,8709,9383,18094,6127,6385,12518,2437,3064,5505,710,1394,2105,79107,81786,160893,2995,2640,5638,3338,3392,6731,60,55,118,35,41,79,3439,3488,6931,59907,61359,121261,17180,17973,35156,64153,65666,129819,12653,13844,26496,70360,72760,143124,1521,1403,2919,10699,10410,21111,3891,3815,7703,1503,1698,3198,1831,3326,5155,26257,29934,56192,4713,4303,9009,19276,18884,38155,5035,5023,10058,2965,3144,6104,335,426,757,76288,78764,155053,5495,5299,10794
CED124,71269,74208,145480,3582,3306,6885,8733,8319,17047,4199,4015,8215,2896,2810,5700,5277,5834,11111,6728,7449,14176,9243,9979,19225,11128,11849,22976,11555,11480,23034,5973,6317,12290,1956,2860,4814,66592,70083,136675,4673,4130,8800,3798,3872,7672,80,69,149,72,71,147,3956,4012,7961,59388,61702,121087,6101,6570,12675,64915,67552,132469,1504,1798,3305,64651,67336,131981,976,958,1938,7907,7545,15456,2875,2856,5724,555,711,1263,916,2341,3265,17227,20453,37676,4179,4198,8375,20591,21229,41816,6806,6837,13637,4046,3422,7471,155,137,299,64739,67757,132493,5709,5891,11601
CED125,79776,82244,162017,6410,6037,12449,12044,11410,23455,5710,5375,11084,5807,5807,11615,11919,12916,24833,10954,11312,22262,9659,10275,19928,8839,9613,18450,5784,6052,11839,2146,2509,4663,508,933,1445,77002,79784,156780,2770,2464,5239,2643,3000,5645,65,60,124,45,53,94,2751,3107,5860,52945,53881,106826,21889,23141,45029,54708,55775,110488,20686,22019,42700,68000,69795,137793,1363,1292,2650,10991,10409,21403,4022,3942,7967,1694,1840,3537,1811,3128,4937,27939,30882,58814,4440,4185,8623,16832,16712,33546,4619,4719,9343,2625,2886,5513,438,686,1121,75269,77816,153089,4270,4220,8490
CED126,72523,76091,148613,4615,4257,8869,10348,9590,19941,4648,4228,8871,3955,3559,7513,7203,7613,14813,9948,10802,20754,10622,11359,21976,8608,9187,17794,6978,7786,14760,4023,4701,8722,1587,3011,4599,69187,73085,142265,3336,3009,6342,450,398,851,14,18,31,6,7,20,473,422,902,49939,51631,101567,18955,20559,39510,59205,60929,120138,9839,11400,21243,62380,65080,127467,1285,1206,2489,9769,9052,18822,3798,3578,7372,1707,1617,3320,1782,2752,4528,35731,38044,73780,3493,3358,6855,10641,11957,22602,2519,2751,5267,1354,1521,2875,226,251,478,67294,70486,137778,3615,4394,8009
CED127,69050,72392,141439,4273,4056,8333,9568,9031,18598,4815,4536,9351,4094,3923,8018,7362,7652,15014,8574,9216,17789,9859,10670,20530,9436,10151,19585,7097,7748,14838,3054,3688,6747,926,1717,2641,65876,69386,135258,3173,3005,6181,2032,2058,4091,39,31,70,29,25,50,2102,2109,4215,55169,57369,112533,9911,10964,20874,61454,64204,125664,4006,4545,8553,62101,65095,127195,1145,1099,2247,8927,8450,17377,3526,3473,6997,1224,1451,2673,1661,3123,4786,25122,29696,54818,3859,3803,7661,16300,15860,32159,3964,3938,7903,1984,1847,3832,174,144,317,63787,67021,130804,4626,4783,9406
CED128,82230,83470,165693,6155,5882,12029,11430,10943,22374,5522,5270,10787,6285,5823,12107,12296,12664,24954,11207,11248,22459,10310,10812,21122,9075,9421,18494,6066,6306,12374,2949,3515,6462,934,1592,2522,79810,81280,161086,2420,2193,4608,947,977,1924,30,35,61,17,9,26,989,1021,2013,42076,42408,84486,35395,36183,71577,35142,34864,70008,43063,44526,87592,66049,68028,134077,1216,1182,2402,10312,9855,20171,4126,4214,8337,2199,2281,4477,2389,3687,6077,31268,33021,64289,3892,3537,7425,14004,13253,27260,4143,3932,8071,4823,5381,10203,2058,2881,4939,78130,79173,157299,3772,3855,7626
CED129,75103,78347,153449,5197,4960,10156,11913,11377,23289,5278,5099,10379,4686,4266,8954,8044,8856,16898,11497,12692,24184,10567,10969,21531,8169,8889,17049,6176,6802,12973,2765,3065,5830,822,1379,2203,72936,76326,149264,2164,2024,4191,377,373,754,10,10,16,9,8,19,397,392,787,46360,47469,93824,26509,28554,55059,48715,49436,98152,24356,26797,51155,64649,66691,131340,1380,1395,2779,11394,10874,22268,4594,4525,9116,2355,2186,4542,1993,3054,5044,38800,40739,79532,3246,2988,6225,9674,11066,20735,2482,2756,5242,1288,1615,2911,280,368,649,72351,75470,147821,2103,2412,4510
CED130,75391,78795,154184,4758,4546,9304,10319,10109,20428,5112,4893,10006,4431,4493,8919,8273,8675,16951,8271,8881,17156,9530,10162,19694,10273,10628,20899,8637,8661,17303,4469,5279,9745,1327,2464,3784,70356,74090,144449,5033,4700,9736,6180,6265,12446,130,116,244,128,128,257,6440,6508,12946,62563,65235,127797,5792,6054,11851,65979,69448,135430,3057,3048,6112,66156,69445,135600,1214,1143,2357,9225,9047,18273,3340,3461,6799,1139,1502,2642,1520,2918,4445,20515,25400,45920,3948,4227,8173,18495,18228,36729,5794,5580,11373,4337,3409,7745,232,196,430,66196,69532,135728,9073,8832,17905
CED131,75477,77466,152948,4744,4251,8996,8703,8252,16949,4501,4310,8805,6801,6765,13563,11952,11502,23451,9795,10121,19916,9619,9942,19552,8862,9162,18016,6069,6464,12538,3133,4070,7197,1316,2647,3958,70997,73838,144840,4476,3631,8110,2441,2587,5028,55,50,106,56,55,109,2551,2688,5240,61344,62935,124285,10466,11015,21483,64102,65501,129610,7431,7903,15335,66865,69017,135882,1233,1056,2284,8192,7779,15964,3394,3387,6779,3302,3590,6888,3530,4456,7987,31690,33767,65454,3995,3462,7457,15139,15295,30431,4245,4780,9030,2317,2585,4904,253,314,565,69178,71398,140576,5689,5708,11395
CED132,77797,83725,161526,5108,4875,9986,8945,8472,17412,4274,3361,7635,4183,4663,8855,13909,15345,29260,13084,14008,27089,10135,11017,21153,7883,8953,16834,6044,6833,12884,2941,3729,6673,1288,2459,3750,74526,80579,155105,3271,3147,6421,248,187,433,13,14,25,6,3,12,266,205,467,44076,45456,89533,29083,33353,62439,52559,53694,106259,20780,25364,46139,60585,64119,124710,1312,1226,2539,8444,7967,16414,3837,3009,6843,2268,2505,4770,3145,4758,7898,49380,53731,103109,2554,2458,5007,4667,6185,10854,1476,1623,3094,990,1135,2125,230,354,582,70520,76739,147254,7118,7027,14144
CED133,78413,80694,159107,4318,4061,8378,10250,9496,19747,4986,4790,9777,3728,3545,7277,7007,7369,14375,8307,9131,17437,10470,11271,21741,12586,12797,25385,10100,9797,19895,4996,5608,10599,1665,2833,4499,73895,76571,150473,4513,4123,8642,4204,4195,8404,99,101,195,87,101,197,4396,4401,8800,64828,66393,131224,6780,7469,14246,69519,71691,141219,2752,3162,5913,69779,72227,142009,1072,1068,2142,9223,8576,17807,3239,3382,6625,731,1036,1764,1512,3188,4695,20980,24151,45133,4482,4877,9359,20589,21406,41996,6370,5927,12303,4315,3812,8132,256,196,449,70931,73402,144338,8526,8242,16770
CED134,76385,77385,153769,5449,5312,10761,10561,10070,20634,4515,4215,8727,4305,4279,8586,8946,9769,18720,8511,8831,17344,10031,10189,20224,10460,9969,20434,8064,7639,15701,4247,4871,9117,1300,2228,3535,70838,72430,143271,5551,4951,10496,11568,12331,23902,121,131,257,156,199,355,11845,12664,24506,63853,64684,128536,4105,4424,8530,66388,67488,133878,2444,2557,5004,66824,67996,134821,1286,1298,2587,9171,8777,17949,2647,2671,5311,547,831,1379,1076,2572,3649,17359,22107,39462,4303,4553,8852,19242,17945,37189,6202,5594,11795,4998,3653,8652,319,202,526,66934,68151,135087,11599,10064,21663
CED135,94404,91916,186320,7481,7304,14782,11042,10169,21210,4915,4351,9264,6904,5872,12775,20570,20470,41038,15695,13647,29341,10195,10467,20671,8361,8838,17198,5289,5653,10944,2914,3438,6357,1034,1708,2743,91837,89614,181451,2566,2302,4869,602,601,1204,24,17,40,11,24,36,639,637,1274,37637,36615,74254,50426,49172,99602,32440,30839,63279,55879,55259,111138,63520,62587,126104,1384,1291,2670,9994,9202,19200,3908,3610,7520,3410,2842,6254,4206,5572,9780,49969,48721,98690,3153,2812,5966,9609,9342,18950,2843,2809,5652,2772,3169,5935,1443,1616,3053,87256,85107,172361,8489,7698,16193
CED136,76430,79208,155634,5272,5071,10344,10727,9901,20625,4879,4604,9483,4493,4570,9056,9159,9761,18921,9385,9590,18972,9704,10168,19874,9389,10119,19513,8274,8743,17015,4013,4627,8638,1134,2056,3193,71933,75455,147384,4495,3757,8245,3998,4086,8081,112,104,219,91,90,183,4205,4280,8485,64345,66463,130811,6842,7352,14198,69032,71374,140404,2635,3030,5667,69224,71603,140824,1267,1218,2485,9873,9096,18965,3289,3200,6489,902,1229,2137,1418,2838,4257,19409,22637,42040,4932,4593,9533,21270,21209,42474,6292,7001,13296,3117,3129,6251,208,150,357,70232,73311,143539,5156,5187,10343
CED137,89626,91718,181347,5530,5154,10677,8358,8256,16614,4410,4490,8898,8147,7792,15934,20579,19585,40163,13363,13114,26475,10354,11456,21809,8621,9453,18076,5687,6195,11880,3220,3938,7162,1351,2296,3644,86503,88880,175388,3122,2843,5957,591,399,986,20,28,47,9,5,14,615,434,1052,39719,39591,79306,43909,46232,90141,36722,36593,73322,45771,49345,95110,60184,63063,123248,1113,1029,2140,7721,7623,15343,3688,3930,7620,4547,4499,9041,4824,5861,10690,53078,54533,107607,2801,2545,5345,7251,8197,15445,2053,2419,4464,2458,3309,5767,913,1221,2135,81067,84557,165631,8144,6942,15087
CED138,73762,79145,152913,4021,3778,7804,8996,8634,17634,4211,4000,8212,3238,3058,6301,6847,7423,14273,8464,9558,18028,9824,11099,20930,11275,12426,23705,9600,9761,19363,5099,6017,11113,2173,3391,5565,69394,75172,144564,4372,3976,8350,2140,2273,4417,185,159,342,188,177,358,2511,2609,5123,56222,59953,116175,10594,11858,22455,64372,68745,133124,3210,3930,7141,63802,68473,132273,954,849,1801,8035,7738,15772,2939,2959,5897,748,913,1657,1497,3237,4732,24758,28266,53029,4775,4754,9525,16901,18311,35211,4516,4804,9325,2867,2932,5799,157,153,316,66177,71500,137675,9096,9674,18766
