CED_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
CED509,15,188,0,188,..,1484,81,1572,20,1585,..,158,9,172,4,177,..,260,53,320,6,321,..,109,19,131,0,127,..,75,12,85,0,85,..,150,31,187,0,187,..,2453,620,3071,66,3137,..,9457,1483,10934,154,11093,..,173,35,209,5964,6169,55614,9626,1522,11144,6113,72879,55281,..,..,..,..,55281,..,184,4,184,0,188,..,241,75,312,9,321,..,53,3,57,3,62,..,221,60,284,3,283,..,624,252,873,4,879,..,45,8,55,0,58,..,893,319,1209,4,1215,..,187,31,215,0,215,..,201,4,209,0,210,..,245,9,252,8,262,..,290,13,295,5,301,..,48,0,55,0,56,..,134,22,153,0,153,..,286,43,322,5,328,..,353,58,410,3,412,..,150,12,164,0,164,..,84,14,92,0,92,..,189,33,218,3,227,..,1180,180,1363,11,1374,..,735,119,856,9,865,..,113,14,129,0,129,..,58,19,79
CED510,5,105,0,105,..,329,14,338,0,340,..,217,20,236,3,235,..,49,0,49,0,49,..,80,8,87,0,87,..,20,0,20,0,20,..,134,28,158,4,164,..,903,130,1029,14,1045,..,6453,579,7034,49,7080,..,160,7,167,2702,2870,59591,6612,589,7197,2754,69543,60041,..,..,..,..,60041,..,850,12,868,8,871,..,207,35,245,3,244,..,18,0,18,0,16,..,283,73,355,3,354,..,493,160,649,6,656,..,63,4,68,0,68,..,836,236,1076,8,1084,..,75,11,87,0,89,..,176,3,179,3,185,..,309,8,317,3,321,..,432,11,444,4,448,..,142,6,152,0,147,..,29,3,29,0,29,..,102,12,117,0,114,..,82,4,88,0,88,..,20,3,28,0,28,..,21,4,22,0,22,..,228,18,247,0,246,..,490,45,531,3,534,..,513,29,546,6,548,..,164,19,186,0,188,..,46,15,64
CED511,38,185,3,188,..,812,75,887,9,893,..,62,8,66,0,66,..,41,5,40,0,40,..,55,7,69,0,70,..,16,0,16,0,16,..,43,19,67,3,66,..,906,275,1182,40,1226,..,4700,724,5421,160,5577,..,243,26,266,7973,8235,65953,4936,750,5688,8127,79764,63931,..,..,..,..,63931,..,463,8,470,6,479,..,29,7,29,0,29,..,779,147,926,73,997,..,46,11,58,0,60,..,158,80,235,4,237,..,9,4,14,0,14,..,209,91,302,0,305,..,37,0,40,0,40,..,139,8,145,3,146,..,97,3,96,0,96,..,270,7,275,9,283,..,25,0,22,0,25,..,19,0,18,0,18,..,75,16,91,0,91,..,56,7,66,0,66,..,23,3,29,0,29,..,20,0,22,0,22,..,47,3,50,0,51,..,247,29,277,0,278,..,302,29,332,7,332,..,48,3,49,0,49,..,15,8,21
CED512,9,165,0,165,..,1112,47,1158,9,1171,..,288,29,316,0,319,..,143,7,153,0,153,..,84,13,96,3,99,..,19,0,15,0,17,..,232,94,327,0,328,..,2335,356,2685,75,2762,..,9968,1104,11072,144,11216,..,283,22,302,6772,7076,71683,10251,1120,11375,6914,89974,72720,..,..,..,..,72720,..,1331,19,1354,11,1366,..,398,73,478,10,489,..,54,0,54,0,50,..,163,38,203,3,205,..,488,147,640,9,647,..,31,4,38,0,38,..,686,187,875,12,885,..,124,13,137,0,137,..,141,4,146,3,143,..,255,5,257,3,266,..,318,10,330,0,331,..,70,7,75,0,73,..,49,4,50,0,52,..,358,32,393,0,397,..,521,98,621,6,622,..,79,8,88,0,90,..,68,11,78,0,78,..,368,53,426,8,430,..,1443,210,1657,13,1669,..,372,30,406,4,409,..,128,14,143,0,149,..,60,30,89
CED513,12,148,3,144,..,845,38,881,9,892,..,539,46,587,3,587,..,230,16,246,3,246,..,153,29,179,0,181,..,63,13,76,0,76,..,1164,362,1530,9,1533,..,2388,403,2786,52,2840,..,15436,2645,18084,179,18267,..,218,34,252,6018,6272,50920,15658,2681,18339,6199,75460,49778,..,..,..,..,49778,..,109,0,115,0,115,..,322,64,389,7,393,..,27,0,34,0,34,..,913,355,1270,11,1280,..,1760,607,2366,7,2377,..,195,54,248,3,249,..,2867,1016,3882,17,3905,..,190,24,210,0,210,..,166,0,166,3,170,..,500,15,514,6,520,..,344,9,355,3,361,..,378,81,458,7,466,..,82,15,105,0,105,..,436,30,465,0,466,..,210,41,248,3,250,..,113,10,125,0,125,..,145,29,174,3,177,..,393,41,436,3,437,..,1384,169,1556,9,1566,..,1947,359,2310,31,2341,..,395,108,505,3,507,..,386,141,526
CED514,20,169,3,174,..,831,52,878,6,885,..,376,54,428,0,431,..,129,16,146,3,148,..,120,28,146,8,150,..,90,35,126,0,126,..,1422,518,1944,15,1961,..,3795,905,4706,109,4816,..,18735,3488,22220,278,22500,..,198,60,258,4308,4562,45544,18927,3552,22478,4580,72601,47162,..,..,..,..,47162,..,191,9,200,0,200,..,787,294,1085,9,1087,..,15,3,17,6,25,..,761,294,1063,0,1066,..,1176,424,1601,14,1613,..,148,28,177,0,175,..,2086,752,2836,14,2852,..,368,47,421,3,422,..,135,8,143,4,146,..,372,18,393,0,389,..,265,13,281,3,279,..,499,87,585,6,594,..,49,7,54,3,56,..,494,47,544,0,546,..,516,70,584,3,591,..,121,6,126,0,126,..,219,33,253,8,256,..,751,109,863,6,862,..,2145,275,2420,19,2440,..,2420,374,2797,54,2848,..,284,46,326,0,326,..,144,50,196
CED515,22,369,7,378,..,2451,143,2589,25,2618,..,440,50,487,0,491,..,297,24,320,0,325,..,216,34,254,0,251,..,250,48,303,0,302,..,480,96,575,8,578,..,3608,654,4264,68,4332,..,21039,3201,24234,224,24461,..,200,45,239,6602,6847,50854,21232,3237,24475,6826,82159,50450,..,..,..,..,50450,..,161,3,165,0,165,..,759,261,1021,8,1025,..,57,0,55,0,55,..,1120,278,1403,8,1407,..,3171,875,4045,26,4073,..,268,61,334,0,334,..,4564,1211,5772,35,5816,..,90,7,95,0,99,..,158,6,164,0,162,..,470,19,491,0,490,..,282,7,288,9,295,..,127,18,140,3,145,..,244,41,286,0,284,..,586,68,652,3,661,..,697,103,799,12,804,..,341,16,361,3,362,..,363,67,430,11,437,..,621,72,693,9,703,..,2849,364,3214,36,3246,..,1012,144,1161,26,1184,..,305,59,367,3,368,..,496,223,722
CED516,4,224,4,223,..,1287,71,1361,7,1365,..,280,23,299,3,301,..,472,19,487,3,490,..,83,9,89,0,89,..,47,6,53,0,53,..,171,30,201,0,204,..,1508,175,1681,39,1722,..,14153,1839,15993,125,16111,..,159,22,183,2655,2833,47180,14306,1865,16168,2776,66123,48983,..,..,..,..,48983,..,214,0,216,4,218,..,282,43,327,3,325,..,10,0,10,0,12,..,1653,365,2020,3,2027,..,3604,964,4575,29,4598,..,401,80,482,4,486,..,5659,1415,7079,33,7116,..,125,9,140,0,142,..,176,3,184,0,180,..,302,9,313,4,321,..,289,13,299,0,299,..,109,12,115,0,119,..,202,21,215,0,215,..,432,20,455,0,457,..,247,19,265,0,268,..,421,31,453,0,458,..,125,16,135,0,141,..,255,16,269,0,272,..,1677,120,1801,11,1805,..,675,62,732,9,741,..,251,47,298,0,301,..,401,224,629
CED594,0,4,0,4,..,19,4,24,0,24,..,12,0,10,0,10,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,5,3,8,0,8,..,57,9,65,4,63,..,251,54,300,9,305,..,19,3,16,951,970,2258,263,55,319,958,3532,1559,..,..,..,..,1559,..,3,0,3,0,3,..,4,0,4,0,4,..,11,0,11,0,14,..,8,5,11,0,11,..,29,16,48,4,47,..,6,0,6,0,6,..,42,21,61,4,62,..,0,0,0,0,0,..,7,4,15,0,15,..,22,3,21,0,21,..,26,0,26,0,26,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,14,0,14,0,14,..,10,3,12,0,12,..,7,3,3,0,3,..,4,0,3
CED597,0,0,0,0,..,12,3,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,48,3,51,0,51,..,0,0,0,64,64,288,50,3,55,64,408,14,..,..,..,..,14,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
CED601,0,51,0,51,..,108,10,121,3,121,..,45,3,48,0,49,..,33,0,31,0,31,..,23,3,22,0,20,..,3,0,3,0,3,..,37,8,46,0,46,..,376,174,555,8,556,..,2253,612,2863,37,2903,..,148,17,165,3176,3344,43047,2402,632,3032,3210,49289,45673,..,..,..,..,45673,..,32,0,33,0,33,..,58,13,76,4,73,..,9,0,9,0,9,..,72,16,90,3,93,..,318,58,379,0,378,..,10,3,14,0,14,..,399,76,482,3,482,..,13,0,13,0,13,..,109,0,107,0,107,..,66,3,65,0,65,..,122,9,126,3,131,..,39,3,46,0,46,..,14,3,17,0,17,..,50,0,50,0,50,..,31,3,32,0,32,..,21,0,23,0,23,..,7,0,12,0,12,..,196,203,394,0,394,..,315,214,526,0,526,..,93,7,102,3,109,..,39,11,51,0,49,..,47,16,58
CED602,0,11,0,11,..,51,3,58,3,61,..,51,6,61,0,61,..,23,0,21,0,21,..,19,0,19,0,19,..,4,0,6,0,6,..,6,7,12,0,12,..,179,40,215,6,229,..,882,143,1031,27,1053,..,126,7,128,2823,2960,43237,1008,149,1159,2855,47253,45517,..,..,..,..,45517,..,42,0,43,0,43,..,20,0,23,0,26,..,6,0,6,0,6,..,30,15,44,0,39,..,78,36,118,3,118,..,5,0,3,0,3,..,114,49,160,3,167,..,6,0,5,0,5,..,81,0,86,0,86,..,32,3,33,0,34,..,87,0,87,3,92,..,22,0,22,0,20,..,3,0,3,0,3,..,28,7,33,0,33,..,7,0,7,0,7,..,28,3,27,0,27,..,9,0,9,0,9,..,10,0,10,0,10,..,80,9,91,0,91,..,36,0,37,0,37,..,22,0,24,0,31,..,13,9,15
CED603,3,44,0,44,..,167,4,174,3,179,..,170,11,188,7,189,..,81,8,91,0,92,..,39,10,53,0,57,..,12,4,19,0,19,..,76,19,102,3,102,..,717,226,941,29,967,..,4915,916,5825,75,5902,..,141,16,155,2988,3149,40769,5053,933,5984,3063,49817,43119,..,..,..,..,43119,..,32,0,32,0,32,..,164,57,222,0,225,..,9,0,9,0,9,..,216,47,266,3,263,..,1033,200,1236,6,1241,..,82,16,96,3,100,..,1336,266,1594,12,1608,..,65,15,73,0,77,..,83,0,83,0,85,..,170,7,174,0,171,..,250,7,259,7,263,..,285,44,330,3,335,..,33,3,34,0,34,..,170,21,193,0,193,..,128,6,135,0,140,..,41,0,41,0,41,..,63,10,75,0,75,..,248,158,408,0,408,..,690,196,886,4,886,..,259,25,288,3,285,..,109,20,132,3,129,..,71,33,105
CED604,0,8,0,8,..,65,7,65,0,65,..,102,7,112,3,109,..,15,0,15,0,15,..,33,0,32,0,32,..,6,3,8,0,8,..,15,5,18,0,24,..,283,63,345,15,360,..,1900,225,2117,29,2146,..,129,6,132,2873,3013,45665,2022,228,2253,2903,50828,48405,..,..,..,..,48405,..,57,3,60,0,60,..,31,0,31,0,31,..,16,0,16,0,16,..,59,18,76,3,75,..,257,67,327,4,331,..,9,0,6,0,9,..,327,88,411,7,416,..,31,3,32,0,32,..,135,5,134,4,134,..,106,3,106,0,106,..,229,3,230,0,236,..,143,17,160,5,162,..,9,0,9,0,9,..,34,0,30,0,34,..,31,5,40,0,40,..,15,0,12,0,12,..,16,3,20,0,20,..,37,24,61,0,58,..,140,30,173,0,173,..,68,3,73,0,72,..,88,11,100,0,97,..,42,20,56
CED605,0,7,0,7,..,21,3,24,0,24,..,28,0,32,0,32,..,0,0,0,0,0,..,10,3,11,0,11,..,7,0,7,0,7,..,5,3,9,0,9,..,163,35,194,3,202,..,747,81,831,17,847,..,135,7,143,3530,3669,47208,883,89,971,3544,51723,47034,..,..,..,..,47034,..,24,0,27,0,27,..,9,0,9,0,9,..,3,0,3,0,7,..,15,9,23,0,22,..,57,13,76,4,81,..,3,0,3,0,3,..,81,25,97,5,102,..,3,0,3,0,3,..,95,0,95,0,95,..,51,0,51,0,51,..,132,3,132,3,138,..,21,0,21,0,21,..,0,0,0,0,0,..,10,0,10,0,10,..,8,0,3,0,3,..,3,0,3,0,3,..,3,3,8,0,8,..,0,0,3,0,3,..,26,7,32,0,32,..,40,0,39,3,43,..,41,0,41,0,38,..,8,0,7
CED694,0,0,0,0,..,3,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,23,3,31,0,31,..,0,0,0,115,117,378,30,3,35,115,524,300,..,..,..,..,300,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,7,0,7,..,4,3,5,0,9,..,0,0,0,0,0,..,8,5,9,0,8,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
CED697,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,10,4,9,0,9,..,0,0,0,4,4,37,10,4,9,4,49,18,..,..,..,..,18,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
CED701,100,374,8,382,..,722,114,838,18,856,..,66,6,78,0,78,..,27,0,28,0,28,..,42,9,49,0,49,..,8,0,8,0,8,..,141,81,216,0,218,..,945,147,1092,47,1141,..,17075,2904,19980,511,20485,..,237,104,343,9847,10189,29372,17313,3008,20317,10361,60055,26453,..,..,..,..,26453,..,73,0,75,3,74,..,25,3,30,0,30,..,14683,2095,16774,460,17237,..,62,8,72,0,71,..,232,119,348,0,349,..,34,18,49,0,48,..,333,142,466,4,474,..,9,0,9,0,9,..,43,0,43,0,40,..,84,5,88,3,86,..,171,7,179,3,181,..,55,0,55,0,55,..,10,0,12,0,12,..,75,4,79,0,85,..,75,17,91,0,88,..,50,8,51,0,51,..,22,12,31,0,31,..,95,5,105,3,105,..,327,41,367,3,374,..,80,6,87,0,87,..,60,11,68,0,69,..,27,15,46
CED702,19,269,3,271,..,2424,119,2540,26,2571,..,160,10,170,0,172,..,234,26,256,0,260,..,186,35,219,0,223,..,22,0,24,0,24,..,299,62,368,4,370,..,1815,292,2105,56,2160,..,11294,1485,12777,160,12936,..,157,34,196,5958,6152,39434,11450,1521,12972,6118,58527,36605,..,..,..,..,36605,..,99,3,100,0,100,..,89,5,95,3,97,..,533,36,570,17,588,..,241,95,341,0,344,..,742,259,997,9,1010,..,225,70,303,0,298,..,1210,426,1641,10,1652,..,15,0,14,0,14,..,71,3,71,0,71,..,196,25,218,3,225,..,274,7,281,0,286,..,1195,235,1434,19,1452,..,146,16,161,0,161,..,261,15,280,3,277,..,181,20,199,0,203,..,211,13,222,0,226,..,130,18,146,0,146,..,587,64,658,3,664,..,1513,146,1662,9,1675,..,245,25,266,3,271,..,98,62,167,0,168,..,93,31,123
CED794,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,18,0,18,..,196,32,226,7,234,..,45,16,65,307,371,720,244,48,294,312,1332,642,..,..,..,..,642,..,0,0,0,0,0,..,0,0,0,0,0,..,101,19,123,12,133,..,0,0,0,0,0,..,4,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,8,0,8,0,8,..,8,0,8,0,8,..,14,0,14,0,18,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0
CED797,0,0,0,0,..,23,3,26,0,30,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,29,12,36,0,37,..,0,0,0,5,3,16,26,12,37,3,61,10,..,..,..,..,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,3,..,0,0,0
CED801,6,113,0,113,..,887,37,922,4,929,..,554,54,608,0,612,..,406,19,426,3,428,..,150,28,174,0,178,..,61,10,70,3,70,..,484,83,569,3,572,..,2945,392,3337,70,3411,..,15054,1574,16620,155,16779,..,227,36,262,5828,6088,73549,15283,1605,16885,5985,96420,75080,..,..,..,..,75080,..,123,3,128,0,125,..,650,125,778,3,782,..,30,0,30,0,30,..,711,125,833,6,836,..,1995,315,2311,12,2319,..,148,34,183,0,183,..,2851,471,3327,13,3340,..,421,55,474,0,470,..,177,4,180,0,177,..,646,17,660,10,669,..,533,7,541,4,541,..,503,53,551,4,557,..,280,18,300,0,300,..,614,31,648,3,651,..,326,41,371,0,373,..,302,14,318,0,321,..,290,38,328,3,332,..,329,23,357,6,358,..,2146,172,2320,17,2330,..,741,93,835,10,839,..,269,25,292,3,293,..,300,84,387
CED802,9,113,0,113,..,1067,63,1132,6,1140,..,794,88,879,14,895,..,512,28,539,0,541,..,154,38,192,3,195,..,70,11,77,0,77,..,1074,266,1340,11,1355,..,3530,621,4148,96,4244,..,21649,3173,24825,258,25088,..,202,35,242,4887,5135,69822,21857,3211,25068,5147,100046,71241,..,..,..,..,71241,..,204,6,210,0,210,..,541,109,654,7,668,..,53,0,55,3,56,..,962,232,1199,6,1204,..,3485,824,4312,21,4330,..,229,81,311,0,311,..,4679,1138,5822,29,5852,..,644,66,709,11,717,..,148,0,155,0,156,..,425,15,434,3,442,..,507,5,511,5,518,..,606,88,701,4,707,..,589,51,639,4,638,..,1116,59,1178,7,1184,..,580,83,662,5,666,..,532,24,559,3,563,..,664,83,747,8,753,..,640,64,708,8,713,..,4119,366,4482,35,4522,..,750,83,832,6,839,..,293,42,334,0,340,..,552,262,819
CED894,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,6,0,6,..,38,9,45,3,42,..,0,0,0,74,78,190,37,9,44,75,312,160,..,..,..,..,160,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,8,0,8,..,0,0,0,0,0,..,3,3,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
