CED_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
CED408,0,0,0,0,0,0,0,0,0,0,3398,8052,6854,11123,7121,7297,6048,2534,868,53296,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,8,0,7,4,34,28,19,16,0,4,113,0,0,0,0,0,0,0,0,0,5,0,9,7,37,11,7,10,0,0,81,0,0,0,3,5,12,5,10,3,35,0,0,0,3,0,0,8,9,0,18,10,183,232,499,1159,1219,1367,857,242,5773,0,0,0,7,0,3,3,5,0,18,0,0,0,15,10,13,3,4,0,52,4,0,16,50,50,94,192,89,42,537,0,0,0,0,3,9,31,7,0,59,0,8,6,15,3,6,3,3,0,36,3,3,13,65,8,21,18,12,5,157,0,4,0,7,3,3,3,8,0,27,0,0,3,7,10,4,3,0,0,28,0,0,0,3,0,0,0,0,0,3
CED409,10,85,221,329,83,25,5,0,0,761,4938,8197,8090,14364,7035,5699,3131,1240,500,53191,0,8,8,78,8,5,0,0,0,102,0,3,30,135,63,65,25,24,0,333,6,34,45,278,178,110,86,27,3,754,0,3,10,36,16,13,6,0,0,81,0,0,3,31,8,23,10,6,0,86,4,10,119,223,61,66,57,38,11,585,0,0,13,78,52,64,54,63,13,340,0,10,0,19,3,13,9,10,0,69,10,90,92,367,738,822,526,347,115,3107,0,9,14,46,20,10,9,0,0,109,0,0,3,10,12,4,9,5,0,46,0,4,16,39,52,63,187,57,26,441,0,5,16,28,51,106,160,177,61,602,0,0,28,45,6,4,0,0,0,86,55,217,229,1350,203,57,35,8,9,2165,3,12,18,44,5,8,9,3,0,87,4,35,51,97,9,10,5,4,0,212,0,8,32,55,25,14,3,0,0,146
CED410,0,6,24,63,12,12,4,0,0,119,3655,6779,6558,10933,6302,4800,3498,2051,893,45467,3,27,15,74,20,7,0,0,0,139,0,0,0,22,19,12,3,4,0,64,0,3,0,18,17,12,9,0,0,60,0,16,13,34,17,20,11,3,0,117,0,3,0,17,4,0,4,3,0,42,46,164,792,1273,279,183,107,48,16,2912,0,0,0,11,14,20,24,28,7,97,4,27,16,35,8,14,28,18,3,149,18,144,151,391,608,600,586,370,175,3046,0,3,0,22,12,6,6,5,0,55,0,6,3,21,22,5,11,3,3,72,0,9,12,36,52,61,155,74,51,453,0,3,4,14,44,70,122,110,35,401,7,15,115,143,37,70,31,21,0,437,53,298,269,1564,226,102,67,35,16,2632,3,13,19,47,10,18,8,4,0,120,4,50,57,221,72,38,15,8,3,474,0,13,4,32,14,12,3,0,0,79
CED411,3,66,161,189,61,25,0,3,0,505,5840,10324,9558,16387,7703,6181,3809,1662,513,61989,0,13,0,46,0,0,0,0,0,63,0,0,0,10,3,9,0,0,0,26,0,4,12,63,46,25,16,3,0,175,3,4,0,10,19,9,5,3,3,60,0,0,0,14,11,10,10,0,0,41,0,5,12,36,17,15,8,0,0,85,0,0,0,6,11,9,21,19,0,73,0,3,0,11,0,3,5,0,0,31,4,91,119,418,1374,1669,1209,930,335,6135,0,3,3,17,12,4,0,0,0,39,0,0,0,4,7,9,0,0,0,24,0,3,5,21,48,74,134,48,35,370,0,0,3,3,17,34,44,44,14,152,0,0,0,5,0,3,0,0,0,15,11,42,31,195,16,26,15,13,9,358,3,6,13,24,3,4,4,3,0,54,3,20,19,36,3,0,0,0,0,86,0,0,5,34,15,7,0,0,0,62
CED494,0,0,0,0,0,0,0,0,0,5,43,43,152,418,196,148,102,27,4,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,13,25,13,3,4,91,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,3,0,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,10,7,0,0,0,0,0,21,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,0,3,7,15,0,0,0,0,0,26,5823,9144,7658,14240,5012,3714,2336,995,326,49255,0,0,0,39,6,0,0,0,0,51,0,0,4,28,14,13,8,0,0,75,0,0,5,0,0,0,0,0,0,8,0,16,16,54,22,21,14,4,0,149,0,0,3,31,13,4,4,3,0,64,4,15,24,84,18,11,12,0,0,173,0,0,0,32,17,30,31,18,0,137,0,3,0,9,0,3,4,4,0,28,63,621,786,1872,2354,1555,1289,900,252,9688,0,6,7,32,13,10,0,0,0,67,0,0,3,30,10,9,12,0,0,64,0,12,12,63,53,42,74,32,8,303,0,0,0,0,0,0,3,0,0,6,0,0,9,26,6,3,0,0,0,47,25,82,105,680,74,57,51,30,12,1117,5,17,21,52,12,4,3,3,3,121,0,5,4,36,10,4,0,0,0,66,0,0,3,15,0,0,0,0,0,20
CED502,4,26,153,340,64,30,11,3,0,623,6181,8770,7325,12476,4393,3544,2188,825,235,45936,5,19,11,115,31,10,0,0,0,189,0,3,0,18,7,3,3,4,0,33,0,4,0,29,9,11,3,3,0,63,0,16,17,35,22,13,6,3,0,116,0,0,3,30,21,14,11,0,0,75,17,152,249,894,282,105,52,20,13,1782,0,0,0,14,8,7,11,10,7,57,0,21,15,35,14,12,11,3,0,111,19,171,262,983,1426,1252,1020,630,182,5938,0,4,4,21,16,8,6,0,0,49,0,0,8,21,20,8,10,5,0,77,0,6,7,44,40,40,80,42,3,263,0,0,0,3,0,0,8,4,0,12,4,9,25,132,28,17,10,3,0,236,72,340,416,2371,443,221,174,82,19,4140,10,70,84,364,94,53,36,6,0,723,0,16,29,103,32,16,8,4,0,210,3,10,28,96,48,15,4,0,0,217
CED503,0,0,7,19,0,0,0,0,0,27,4317,7906,6697,11397,5600,5308,4463,2221,691,48586,0,7,0,7,3,0,0,0,0,24,0,0,0,5,0,3,4,0,0,16,0,0,0,3,0,0,0,0,0,8,7,13,10,35,27,26,6,10,3,142,0,0,0,11,3,3,0,0,0,20,5,13,10,41,10,4,0,4,0,82,0,4,0,5,6,11,14,14,3,56,0,3,0,7,4,5,6,3,0,34,30,340,440,1025,1664,1293,1535,965,223,7514,0,0,0,12,4,0,3,0,0,20,3,3,4,19,15,9,5,5,0,62,0,0,3,21,29,34,100,43,12,247,0,0,0,0,3,6,3,3,0,13,0,11,4,3,4,8,4,0,0,34,8,44,31,366,53,45,50,25,10,642,0,17,9,28,12,3,7,6,3,94,0,8,0,39,5,3,5,0,0,64,0,0,0,3,4,0,0,0,0,4
CED504,6,35,158,344,62,34,10,3,0,650,4985,8399,6952,10976,4276,3308,1913,836,232,41881,0,0,6,31,8,7,3,0,0,61,0,0,18,99,50,45,22,0,0,246,0,0,15,48,41,31,8,0,3,146,3,11,13,37,10,11,5,3,0,89,0,0,3,8,3,15,3,3,0,41,5,29,71,246,74,44,32,6,7,522,0,0,12,64,41,47,43,32,0,235,3,31,14,40,14,16,12,4,0,134,30,290,431,1213,1204,913,871,427,133,5511,0,0,3,5,7,0,0,5,0,30,3,3,4,23,12,9,10,3,0,66,0,8,20,46,43,22,85,28,3,251,0,0,0,8,16,18,31,18,3,96,0,6,16,83,24,24,5,0,0,172,12,98,174,812,270,158,170,60,23,1780,4,16,28,41,21,12,8,0,0,145,0,18,46,106,50,23,8,6,0,258,3,25,49,166,98,43,10,3,0,391
CED505,0,0,4,12,0,0,0,0,0,22,3337,7055,6495,9939,5070,4416,3162,1864,759,42105,0,11,0,52,8,6,3,0,0,78,0,0,0,15,3,10,8,0,0,38,0,3,0,4,4,0,0,0,0,11,3,52,28,122,59,58,20,5,5,354,0,3,6,28,6,8,8,0,0,59,16,89,475,495,115,52,53,26,7,1335,0,4,5,15,8,17,17,18,9,85,0,3,3,12,11,10,13,10,4,65,47,367,407,1301,1130,860,766,362,127,5368,0,0,0,12,4,5,3,0,0,28,13,46,29,144,43,17,9,0,3,315,0,18,28,100,58,31,60,34,6,335,0,3,0,3,10,11,18,17,15,72,12,46,58,100,38,25,23,9,0,323,19,92,128,633,148,79,76,45,11,1227,6,19,48,87,19,18,18,18,4,238,0,13,12,109,37,24,14,6,10,223,4,8,4,25,16,5,3,0,0,56
CED506,0,0,0,3,0,0,0,0,0,3,6046,10677,8102,20941,9309,7742,4190,1623,488,69121,0,10,0,24,12,4,0,0,0,52,0,0,0,11,4,3,0,0,0,26,0,0,5,29,18,9,0,0,0,67,0,0,5,42,18,14,10,0,0,97,0,0,0,12,5,7,0,0,0,21,3,3,112,150,36,4,3,0,0,313,0,0,0,13,4,21,21,17,0,70,0,4,0,25,3,10,3,0,0,43,5,77,120,838,890,635,510,230,57,3365,0,6,6,39,12,17,10,0,0,93,4,4,17,92,10,13,5,0,0,150,0,5,17,79,48,41,61,30,8,289,0,0,3,0,4,6,12,3,0,28,0,3,3,30,7,8,3,0,0,45,9,33,21,404,95,32,15,10,0,625,12,19,10,54,26,3,7,7,0,136,0,0,0,31,3,0,0,0,0,40,0,0,0,4,6,0,0,0,0,14
CED507,0,0,17,30,6,4,0,0,0,55,4543,9099,6644,12705,6694,6291,4551,1961,615,53100,0,3,0,20,3,0,0,0,0,28,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,5,41,27,13,10,0,3,101,0,0,0,5,3,0,3,0,0,18,0,10,10,63,13,5,3,0,0,101,0,0,0,0,3,8,7,3,3,24,0,0,0,9,0,6,3,0,0,18,11,181,171,712,997,879,1041,532,157,4685,0,0,0,9,3,3,0,0,0,14,0,5,15,50,12,5,5,4,0,104,0,6,8,47,23,43,108,26,8,275,0,0,0,0,3,5,5,3,0,16,0,4,3,24,9,0,0,3,0,43,15,17,16,223,22,21,25,13,3,357,6,12,12,25,4,8,7,0,0,70,0,3,0,18,5,0,0,0,0,29,0,0,0,14,7,3,0,3,0,26
CED508,0,0,7,14,0,0,0,0,0,21,4521,7248,6334,12601,5384,4134,2341,1110,319,43986,0,4,0,41,3,3,6,0,0,66,0,0,7,68,33,40,26,5,0,181,0,0,0,0,0,0,0,0,0,3,0,9,6,78,29,26,15,6,0,175,0,4,0,31,22,15,12,6,4,97,12,68,192,379,99,50,28,13,0,843,0,0,18,90,71,115,142,146,31,617,0,0,0,12,0,14,16,13,9,64,30,250,297,1454,1211,962,742,356,103,5402,0,0,0,11,4,12,3,0,0,33,0,10,12,116,32,17,8,4,0,198,0,11,18,114,52,42,76,15,12,342,0,0,4,3,3,5,4,4,0,28,0,4,14,72,11,15,4,3,0,133,14,73,98,583,115,66,72,36,7,1072,0,12,42,136,23,15,18,3,0,263,0,17,17,111,20,11,5,3,0,190,5,7,4,21,4,3,0,0,0,45
CED509,5,28,155,302,71,19,5,0,0,582,4179,7665,7285,12000,5680,4743,3087,1202,308,46151,0,18,14,83,21,4,3,0,0,148,0,0,0,25,18,8,0,0,0,51,0,0,5,23,12,7,5,3,0,58,3,3,4,35,24,22,3,7,4,111,0,4,4,11,4,10,3,0,0,39,0,30,40,221,77,24,23,3,0,415,0,0,7,23,16,23,45,32,3,142,0,5,3,15,11,4,11,4,3,55,18,154,211,800,1313,1184,1222,729,220,5861,0,0,7,23,15,8,3,0,0,50,0,0,6,26,11,9,11,6,0,65,3,9,12,58,61,45,146,50,4,385,0,0,0,4,0,4,8,5,0,26,0,3,19,46,0,3,6,0,0,86,37,148,163,1070,190,120,127,54,17,1914,7,43,37,107,39,18,13,3,0,260,0,5,15,39,10,7,0,0,0,80,3,8,16,41,23,7,3,0,0,93
CED510,0,0,5,16,6,4,3,0,0,40,3717,7420,6676,9366,4587,4369,2558,851,299,39850,0,3,4,15,3,0,0,0,0,26,0,0,3,10,7,17,9,0,0,39,0,0,0,6,3,0,0,0,0,11,8,21,19,52,34,38,7,0,0,186,0,3,0,8,8,3,0,0,0,27,3,25,60,156,36,35,22,4,3,353,0,0,3,8,11,17,17,15,3,81,0,7,5,31,11,30,22,12,0,122,90,890,1136,2211,2535,1901,1422,553,179,10916,0,0,3,3,5,0,0,0,0,12,0,6,3,37,16,7,7,3,3,80,0,13,33,63,72,51,107,41,11,390,0,0,0,4,5,15,19,9,0,53,0,3,19,36,11,27,6,3,0,106,6,20,54,187,86,81,84,34,11,567,4,11,20,31,4,9,11,0,3,95,0,7,3,75,26,12,20,3,3,155,0,4,3,6,6,3,0,0,0,20
CED511,0,8,35,79,23,4,0,0,0,148,4632,9084,7264,13539,7687,7540,5080,2227,669,57732,0,3,0,5,4,0,0,0,0,15,0,0,0,3,0,3,0,0,0,11,0,0,3,0,0,0,0,0,0,3,0,4,10,30,22,13,9,3,0,103,0,0,0,11,3,6,0,0,0,14,3,5,55,92,29,11,0,0,0,189,0,0,0,4,0,9,8,3,0,33,0,0,0,7,0,3,5,5,0,22,14,66,83,458,759,820,989,497,151,3825,0,10,3,43,8,9,0,0,0,75,0,3,6,17,7,9,7,5,0,58,0,4,6,49,48,46,118,29,13,313,0,0,0,0,3,4,12,10,0,33,0,0,6,11,4,5,0,0,0,32,6,37,19,239,38,26,29,18,7,408,0,4,13,21,7,7,3,0,3,60,0,0,3,23,5,0,0,0,0,34,0,4,0,7,0,3,0,0,0,11
CED512,0,5,37,86,24,16,0,0,0,163,6597,10340,7392,13158,5130,3993,2716,1204,318,50853,0,4,0,64,3,0,0,0,0,74,0,0,6,39,9,9,3,0,0,65,0,0,3,25,8,3,0,0,0,44,0,23,14,50,27,14,15,7,0,146,0,0,4,24,8,7,3,3,0,55,5,6,17,105,24,13,6,0,0,179,0,0,3,16,9,21,31,23,3,118,0,28,10,38,15,14,12,3,0,118,80,959,1345,2825,2719,1469,1303,674,134,11509,0,0,3,17,4,9,0,0,0,34,0,6,0,18,12,9,7,0,0,60,0,6,20,60,51,58,117,32,6,356,0,0,0,4,0,11,6,3,0,32,0,3,10,41,8,4,0,0,0,66,19,88,131,1136,126,67,68,34,3,1683,3,12,18,45,8,5,0,0,0,93,0,3,21,86,16,11,7,3,0,139,0,3,19,45,16,6,3,0,0,97
CED513,0,0,33,48,10,3,0,0,0,100,3666,5578,5584,13132,5040,3998,2236,1003,407,40641,0,3,9,87,8,11,8,0,0,119,0,0,13,74,20,28,16,10,0,164,3,0,0,9,9,5,3,0,0,31,6,7,15,98,29,38,11,3,0,206,0,4,3,31,10,14,4,0,0,72,14,52,265,487,135,97,48,22,17,1123,0,0,3,35,17,29,29,29,7,157,0,7,3,19,8,12,10,11,0,70,15,78,204,1502,1040,825,667,320,117,4768,0,0,3,14,8,4,0,0,0,28,0,8,32,194,27,10,5,0,0,282,0,3,29,145,50,36,96,23,7,392,0,10,3,13,20,17,68,75,26,237,0,10,79,182,34,31,18,6,0,366,65,108,169,1200,175,149,180,81,29,2154,3,15,43,138,24,9,15,6,0,255,0,17,31,215,39,21,13,0,4,345,0,3,10,44,29,13,4,0,0,106
CED514,4,10,100,191,38,19,5,0,0,374,4349,6029,5166,10848,4523,3581,2359,1393,432,38682,3,0,4,32,6,3,0,0,0,54,0,0,26,117,53,55,17,7,3,272,3,0,8,11,9,4,0,0,3,43,3,5,6,66,30,21,8,3,0,155,3,0,3,28,9,6,9,0,0,61,23,31,113,429,117,109,40,22,13,906,0,0,6,42,41,38,66,57,11,266,0,17,3,24,11,18,24,9,5,108,13,121,153,992,720,620,551,330,111,3613,0,3,3,12,6,4,3,3,0,28,0,6,4,79,16,11,0,4,0,128,0,11,20,85,34,23,87,27,4,296,0,4,0,14,24,57,92,137,40,363,3,14,32,152,26,20,7,4,0,268,58,148,428,1751,182,131,114,48,30,2879,7,13,23,78,21,7,21,3,0,162,8,32,48,231,73,46,15,3,5,455,6,33,60,176,87,40,7,0,0,405
CED515,0,15,160,291,43,7,3,3,0,527,4238,5732,6728,11719,4492,4069,2476,1207,498,41158,5,22,38,183,20,6,3,0,0,283,0,0,3,17,11,7,3,4,0,50,3,4,6,14,8,8,4,0,4,57,6,5,11,69,16,22,14,3,4,144,0,0,3,27,12,8,21,3,0,77,15,58,788,1115,208,111,47,28,11,2382,0,0,3,13,14,14,27,20,14,106,0,15,3,46,7,13,13,6,0,97,13,104,176,990,942,769,708,395,174,4274,0,0,3,24,5,9,3,0,0,45,0,0,20,92,17,7,10,0,0,154,3,3,8,73,32,31,76,26,9,267,0,4,0,12,8,10,10,20,3,63,0,3,143,268,36,37,13,11,0,511,76,176,639,2008,229,153,131,69,36,3517,14,74,230,443,83,56,31,15,4,954,4,23,37,340,47,27,16,8,0,499,15,29,22,95,40,17,4,3,0,231
CED516,0,0,4,28,4,3,4,0,0,42,3062,6603,6471,7906,4150,4267,2886,1433,716,37489,3,16,9,55,35,10,7,3,0,139,0,0,3,9,14,4,3,0,0,36,0,0,5,5,0,0,0,0,0,13,0,21,20,48,29,20,15,3,3,157,0,6,4,10,10,11,5,0,3,54,16,166,295,737,262,155,87,36,18,1785,0,0,0,6,10,25,29,19,3,94,0,14,4,17,8,11,20,6,3,78,25,287,298,750,1026,884,859,461,185,4772,0,3,0,12,3,9,3,0,0,31,0,12,8,42,13,5,8,0,0,93,0,8,14,58,36,31,82,30,9,259,0,0,0,3,0,6,17,15,4,51,0,27,75,161,51,76,45,27,3,472,20,193,316,684,377,219,156,62,26,2058,6,51,165,300,105,90,75,46,3,843,3,34,24,141,65,38,15,11,4,332,8,23,9,39,14,0,3,3,0,101
CED594,0,0,0,0,0,0,0,0,0,0,62,93,192,827,403,312,211,27,3,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,3,0,0,10,6,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,3,17,58,36,48,41,4,3,211,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,19,0,0,0,10,0,0,7,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,0,0,0,16,3,0,0,0,0,25,3,0,0,5,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,6,117,38,14,3,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,5,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,0,3,17,38,16,4,0,0,0,76,2693,5541,5935,9239,5263,4982,3656,1736,568,39613,0,0,3,16,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,7,3,35,5,7,3,0,0,68,0,0,0,0,0,0,3,0,0,5,3,12,66,90,16,14,8,3,0,211,0,0,0,0,0,3,3,5,0,17,3,6,3,6,0,0,3,0,0,24,6,36,49,142,270,325,481,248,71,1627,0,0,3,8,3,3,0,0,0,20,0,0,0,8,3,6,9,0,0,21,0,3,3,24,20,34,53,40,12,175,0,0,0,0,0,3,9,7,0,23,0,3,17,11,4,11,3,3,0,50,3,12,27,142,29,19,8,4,0,244,3,0,3,11,8,3,3,0,3,30,17,50,16,16,7,4,0,0,0,118,0,0,0,0,0,0,0,0,0,8
CED602,0,0,0,0,0,0,0,0,0,0,2583,5735,5229,8683,5407,5462,4059,1985,611,39754,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,7,13,9,10,3,4,0,36,0,0,0,0,4,3,3,0,0,8,0,3,0,27,7,3,0,0,0,43,0,0,0,0,0,3,4,14,0,23,0,0,0,3,0,3,0,3,0,8,3,25,19,93,211,307,451,295,74,1479,0,3,4,9,8,3,0,3,0,22,0,0,0,4,0,0,5,0,0,9,0,0,6,10,11,20,51,28,7,135,0,0,0,0,0,0,5,0,0,5,0,0,0,4,4,4,0,0,0,12,3,8,4,49,11,8,13,4,0,103,0,0,0,4,3,0,3,0,0,13,0,3,0,4,0,0,0,0,0,9,3,0,0,4,0,0,0,0,0,7
CED603,0,3,27,26,7,0,0,0,0,67,2516,5141,5474,9588,4966,4725,3015,1510,580,37524,0,0,7,24,0,0,0,0,0,34,0,0,4,13,6,8,8,3,0,38,0,0,0,4,0,0,0,0,0,3,0,3,13,42,10,23,12,3,0,111,0,3,0,17,9,6,3,0,0,39,3,20,298,482,30,25,22,9,7,897,0,0,0,3,0,8,21,26,3,60,0,4,3,6,0,0,3,0,0,23,10,38,55,236,373,383,432,233,78,1828,0,4,3,8,6,6,4,0,0,33,3,6,3,33,17,11,8,0,0,74,6,3,10,43,36,33,78,31,24,257,0,0,3,7,14,26,37,43,11,137,0,5,18,52,15,16,6,4,0,117,6,28,70,321,47,17,20,10,8,518,0,3,5,16,3,0,10,5,3,46,5,29,32,56,6,7,3,0,0,134,0,8,0,17,0,0,0,0,0,31
CED604,0,0,0,3,0,0,0,0,0,7,2978,6290,5269,9800,5406,5518,3899,1807,599,41571,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,5,0,39,24,20,14,3,4,113,0,3,4,10,6,3,3,0,0,31,3,3,31,93,7,11,9,3,0,160,0,0,0,0,3,5,4,9,0,21,0,3,0,3,0,0,0,3,0,11,10,67,52,251,408,501,620,349,111,2375,0,0,0,4,3,6,0,0,0,14,0,0,0,11,5,10,4,3,0,36,0,3,3,29,25,38,79,41,28,248,0,0,3,7,0,15,18,16,5,59,0,4,8,15,3,10,3,0,0,36,3,4,15,75,15,15,12,5,0,138,0,0,3,4,3,3,5,4,0,26,0,0,4,12,0,0,3,0,0,30,0,0,0,0,0,3,0,0,0,3
