StateAb,GivenNm,Surname,PartyNm,PartyAb,ElectedOrder
ACT,Katy,GALLAGHER,Australian Labor Party,ALP,1
ACT,Zed,SESELJA,Liberal,LP,2
NSW,Marise,PAYNE,Liberal,LP,1
NSW,Sam,DASTYARI,Labor,ALP,2
NSW,Arthur,SINODINOS,Liberal,LP,3
NSW,Jenny,McALLISTER,Labor,ALP,4
NSW,Fiona,NASH,The Nationals,NP,5
NSW,Deborah,O'NEILL,Labor,ALP,6
NSW,Concetta,FIERRAVANTI-WELLS,Liberal,LP,7
NSW,Doug,CAMERON,Labor,ALP,8
NSW,Lee,RHIANNON,The Greens,GRN,9
NSW,John,WILLIAMS,The Nationals,NP,10
NSW,Brian,BURSTON,Pauline Hanson's One Nation,ON,11
NSW,David,LEYONHJELM,Liberal Democrats,LDP,12
NT,Malarndirri,McCARTHY,Australian Labor Party,ALP,1
NT,Nigel,SCULLION,Liberal,CLP,2
QLD,George,BRANDIS,Liberal,LNP,1
QLD,Murray,WATT,Australian Labor Party,ALP,2
QLD,Pauline,HANSON,Pauline Hanson's One Nation,ON,3
QLD,Matthew,CANAVAN,Liberal,LNP,4
QLD,Anthony,CHISHOLM,Australian Labor Party,ALP,5
QLD,James,McGRATH,Liberal,LNP,6
QLD,Claire,MOORE,Australian Labor Party,ALP,7
QLD,Ian,MACDONALD,Liberal,LNP,8
QLD,Larissa,WATERS,The Greens,GRN,9
QLD,Barry,O'SULLIVAN,Liberal,LNP,10
QLD,Chris,KETTER,Australian Labor Party,ALP,11
QLD,Malcolm,ROBERTS,Pauline Hanson's One Nation,ON,12
SA,Simon,BIRMINGHAM,Liberal,LP,1
SA,Penny,WONG,Australian Labor Party,ALP,2
SA,Nick,XENOPHON,Nick Xenophon Team,XEN,3
SA,Cory,BERNARDI,Liberal,LP,4
SA,Don,FARRELL,Australian Labor Party,ALP,5
SA,Stirling,GRIFF,Nick Xenophon Team,XEN,6
SA,Anne,RUSTON,Liberal,LP,7
SA,Alex,GALLACHER,Australian Labor Party,ALP,8
SA,David,FAWCETT,Liberal,LP,9
SA,Skye,KAKOSCHKE-MOORE,Nick Xenophon Team,XEN,10
SA,Sarah,HANSON-YOUNG,The Greens,GRN,11
SA,Bob,DAY,Family First,FFP,12
TAS,Eric,ABETZ,Liberal,LP,1
TAS,Anne,URQUHART,Australian Labor Party,ALP,2
TAS,Peter,WHISH-WILSON,The Greens,GRN,3
TAS,Jacqui,LAMBIE,Jacqui Lambie Network,JLN,4
TAS,Stephen,PARRY,Liberal,LP,5
TAS,Helen,POLLEY,Australian Labor Party,ALP,6
TAS,Jonathon,DUNIAM,Liberal,LP,7
TAS,Carol,BROWN,Australian Labor Party,ALP,8
TAS,David,BUSHBY,Liberal,LP,9
TAS,Lisa,SINGH,Australian Labor Party,ALP,10
TAS,Catryna,BILYK,Australian Labor Party,ALP,11
TAS,Nick,McKIM,The Greens,GRN,12
VIC,Mitch,FIFIELD,Liberal,LP,1
VIC,Kim,CARR,Australian Labor Party,ALP,2
VIC,Richard,DI NATALE,The Greens,GRN,3
VIC,Bridget,McKENZIE,The Nationals,NP,4
VIC,Stephen Michael,CONROY,Australian Labor Party,ALP,5
VIC,Scott,RYAN,Liberal,LP,6
VIC,Jacinta,COLLINS,Australian Labor Party,ALP,7
VIC,James,PATERSON,Liberal,LP,8
VIC,Gavin,MARSHALL,Australian Labor Party,ALP,9
VIC,Derryn,HINCH,Derryn Hinch's Justice Party,DHJP,10
VIC,Janet,RICE,The Greens,GRN,11
VIC,Jane,HUME,Liberal,LP,12
WA,Mathias,CORMANN,Liberal,LP,1
WA,Sue,LINES,Australian Labor Party,ALP,2
WA,Scott,LUDLAM,The Greens,GRN,3
WA,Michaelia,CASH,Liberal,LP,4
WA,Glenn,STERLE,Australian Labor Party,ALP,5
WA,Dean,SMITH,Liberal,LP,6
WA,Patrick,DODSON,Australian Labor Party,ALP,7
WA,Linda,REYNOLDS,Liberal,LP,8
WA,Chris,BACK,Liberal,LP,9
WA,Louise,PRATT,Australian Labor Party,ALP,10
WA,Rodney Norman,CULLETON,Pauline Hanson's One Nation,ON,11
WA,Rachel,SIEWERT,The Greens,GRN,12
