State,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceTypeID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesAddress3,PremisesSuburb,PremisesStateAb,PremisesPostCode,Latitude,Longitude
NSW,132,Mackellar,11966,1,Warriewood,Ted Blackwood Youth & Community Centre,cnr Jacksons & Boondah Rds,,,WARRIEWOOD,NSW,2102,-33.6969000,151.2990000
NSW,132,Mackellar,1741,1,Wheeler Heights,Wheeler Heights Public School,36 Veterans Pde,,,WHEELER HEIGHTS,NSW,2097,-33.7280915,151.2861959
NSW,133,Macquarie,1748,1,Bilpin,Bilpin District Hall,2580 Bells Line of Road,,,BILPIN,NSW,2758,-33.4979864,150.5122648
NSW,133,Macquarie,1749,1,Blackheath,Blackheath Public School,Leichhardt St,,,BLACKHEATH,NSW,2785,-33.6392000,150.2860000
NSW,133,Macquarie,1475,1,Blaxland,Blaxland High School,3-9 Coughlan Rd,,,BLAXLAND,NSW,2774,-33.7548000,150.6050000
NSW,133,Macquarie,1476,1,Blaxland East,Blaxland East Public School,53 Old Bathurst Rd,,,EAST BLAXLAND,NSW,2774,-33.7468000,150.6230000
NSW,133,Macquarie,8874,1,Bligh Park,Bligh Park Public School,64 Alexander St,,,BLIGH PARK,NSW,2756,-33.6393000,150.7940000
NSW,133,Macquarie,32744,1,Bligh Park East,Windsor Park Public School,Rifle Range Rd,,,BLIGH PARK,NSW,2756,-33.6413000,150.8140000
NSW,133,Macquarie,65414,5,BLV Macquarie PPVC,BLV Macquarie,Ground Floor,606 High St,,PENRITH,NSW,2750,-33.7520170,150.6905990
NSW,133,Macquarie,1755,1,Cattai,Cattai Public School,487 Cattai Rd,,,CATTAI,NSW,2756,-33.5588000,150.9070000
NSW,133,Macquarie,1756,1,Colo Heights,Horrie Eley Memorial Hall,2996 Putty Rd,,,COLO HEIGHTS,NSW,2756,-33.3728000,150.7390000
NSW,133,Macquarie,1757,1,Comleroy Road,Comleroy Road Public School,McMahons Rd,,,KURRAJONG,NSW,2758,-33.5067600,150.6982600
NSW,133,Macquarie,30124,5,Divisional Office (PREPOLL),Divisional Office,Ground Floor,606 High St,,PENRITH,NSW,2750,-33.7024810,150.5675000
NSW,133,Macquarie,1759,1,Ebenezer,Ebenezer Public School,531 Sackville Rd,,,EBENEZER,NSW,2756,-33.5307000,150.8770000
NSW,133,Macquarie,1761,1,Faulconbridge,Springwood High School,Grose Rd,,,FAULCONBRIDGE,NSW,2776,-33.6858000,150.5490000
NSW,133,Macquarie,1763,1,Freemans Reach,Hawkesbury High School,Cnr Kurmond Rd & Hibberts La,,,FREEMANS REACH,NSW,2756,-33.5594000,150.7970000
NSW,133,Macquarie,1485,1,Glenbrook,Glenbrook Public School,Woodville Rd,,,GLENBROOK,NSW,2773,-33.7663000,150.6170000
NSW,133,Macquarie,1765,1,Glossodia,Glossodia Community Centre,162 Golden Valley Way,,,GLOSSODIA,NSW,2756,-33.5342100,150.7663138
NSW,133,Macquarie,1766,1,Grose View,Grose View Public School,Grose Wold Rd,,,GROSE VALE,NSW,2753,-33.5957000,150.6660000
NSW,133,Macquarie,1768,1,Hazelbrook,Hazelbrook Public School,Beechmount Ave,,,HAZELBROOK,NSW,2779,-33.7269000,150.4590000
NSW,133,Macquarie,1769,1,Hobartville,Hobartville Public School,Valder Ave,,,HOBARTVILLE,NSW,2753,-33.6033000,150.7420000
NSW,133,Macquarie,1771,1,Katoomba,Katoomba Public School,6-22 Merriwa St,,,KATOOMBA,NSW,2780,-33.7195074,150.3139445
NSW,133,Macquarie,1775,1,Katoomba Central,St Canice's Church Hall,158 Katoomba St,,,KATOOMBA,NSW,2780,-33.7157600,150.3116600
NSW,133,Macquarie,1774,1,Katoomba North,Katoomba North Public School,Barton St,,,KATOOMBA,NSW,2780,-33.6992000,150.3160000
NSW,133,Macquarie,34037,5,Katoomba PPVC,Woody's,190 Katoomba St,,,KATOOMBA,NSW,2780,-33.7167251,150.3111168
NSW,133,Macquarie,1772,1,Katoomba South,Katoomba High School,42-84 Martin St,,,KATOOMBA,NSW,2780,-33.7277000,150.3140000
NSW,133,Macquarie,1776,1,Kurmond,Kurmond Public School,Bells Line of Road,,,KURMOND,NSW,2757,-33.5499000,150.6930000
NSW,133,Macquarie,1777,1,Kurrajong,Kurrajong Public School,1111 Grose Vale Rd,,,KURRAJONG,NSW,2758,-33.5555000,150.6620000
NSW,133,Macquarie,1778,1,Kurrajong East,Kurrajong East Public School,891 East Kurrajong Rd,,,EAST KURRAJONG,NSW,2758,-33.5110000,150.7780000
NSW,133,Macquarie,1779,1,Kurrajong Heights,Uniting Church Hall,2175 Bells Line of Rd,,,KURRAJONG HEIGHTS,NSW,2758,-33.5318000,150.6310000
NSW,133,Macquarie,1490,1,Lapstone,Lapstone Public School,1 Explorers Rd,,,LAPSTONE,NSW,2773,-33.7717000,150.6310000
NSW,133,Macquarie,1780,1,Lawson,Lawson Public School,Adelaide Street,,,LAWSON,NSW,2783,-33.7216261,150.4284891
NSW,133,Macquarie,1781,1,Leura,Leura Public School,Mount Hay Rd,,,LEURA,NSW,2780,-33.7113100,150.3358600
NSW,133,Macquarie,1782,1,Leura Central,Morven Gardens Centre for Aged Care,5-19 Morven Rd,,,LEURA,NSW,2780,-33.7139000,150.3440000
NSW,133,Macquarie,1786,1,McGraths Hill,McGraths Hill Community Centre,1 Phillip Pl,,,MCGRATHS HILL,NSW,2756,-33.6156000,150.8350000
NSW,133,Macquarie,1787,1,Maraylya,Maraylya Public School,Neich Rd,,,MARAYLYA,NSW,2765,-33.5931000,150.9160000
NSW,133,Macquarie,1790,1,Medlow Bath,Medlow Bath Bush Fire Brigade,Railway Pde,,,MEDLOW BATH,NSW,2780,-33.6742000,150.2820000
NSW,133,Macquarie,1493,1,Mount Riverview,Mount Riverview Public School,188-204 Rusden Rd,,,MOUNT RIVERVIEW,NSW,2774,-33.7298000,150.6330000
NSW,133,Macquarie,1792,1,Mount Victoria,Mount Victoria Public School,Victoria St,,,MOUNT VICTORIA,NSW,2786,-33.5916000,150.2540000
NSW,133,Macquarie,1793,1,Mount Wilson,Mount Wilson Village Hall,The Avenue,,,MOUNT WILSON,NSW,2786,-33.5057118,150.3677381
NSW,133,Macquarie,1802,1,North Richmond,North Richmond Public School,14 Grose Vale Rd,,,NORTH RICHMOND,NSW,2754,-33.5809280,150.7171260
NSW,133,Macquarie,1794,1,Oakville,Oakville Public School,Oakville Rd,,,OAKVILLE,NSW,2765,-33.6207000,150.8720000
NSW,133,Macquarie,65193,5,Penrith MACQUARIE PPVC,"Level 1, 606 High St",,,,PENRITH,NSW,2750,-33.7521785,150.6910467
NSW,133,Macquarie,1797,1,Pitt Town,Pitt Town Public School,17 Buckingham St,,,PITT TOWN,NSW,2756,-33.5840000,150.8610000
NSW,133,Macquarie,1800,1,Richmond,Richmond Public School,Windsor St,,,RICHMOND,NSW,2753,-33.5993000,150.7570000
NSW,133,Macquarie,1801,1,Richmond Central,St Andrew's Uniting Church Auditorium,25 West Market St,,,RICHMOND,NSW,2753,-33.5973030,150.7497707
NSW,133,Macquarie,47782,5,Richmond PPVC,120A Francis St,,,,RICHMOND,NSW,2753,-33.5948055,150.7504223
NSW,133,Macquarie,1804,1,St Albans,School of Arts,Upper Macdonald Rd,,,ST ALBANS,NSW,2775,-33.2946000,150.9710000
NSW,133,Macquarie,58573,2,Special Hospital Team 1,Multiple sites,,,,,NSW,,,
NSW,133,Macquarie,1805,1,Springwood,Springwood Presbyterian Church,160 Macquarie Rd,,,SPRINGWOOD,NSW,2777,-33.6991000,150.5660000
NSW,133,Macquarie,8875,1,Springwood North,Ellison Public School,Comet Pl,,,SPRINGWOOD,NSW,2777,-33.6902000,150.5860000
NSW,133,Macquarie,34038,5,Springwood PPVC,Raymond Mall,"Shop 4, 7-9 Raymond Rd",,,SPRINGWOOD,NSW,2777,-33.6996100,150.5684500
NSW,133,Macquarie,1806,1,Springwood South,Springwood Public School,Burns Rd,,,SPRINGWOOD,NSW,2777,-33.7055000,150.5730000
NSW,133,Macquarie,14123,1,Sydney (Macquarie),Sydney Town Hall,George St,,,SYDNEY,NSW,2000,-33.8730501,151.2064528
NSW,133,Macquarie,1807,1,Tennyson,Tennyson Bush Fire Brigade,246 Tennyson Rd,,,TENNYSON,NSW,2754,-33.5350331,150.7373648
NSW,133,Macquarie,1809,1,Valley Heights,Blue Mountains Grammar Preparatory School,Tusculum Road,,,VALLEY HEIGHTS,NSW,2777,-33.7038712,150.5806866
NSW,133,Macquarie,57669,1,Vineyard East (Macquarie),Vineyard Public School,4 Bandon Rd,,,VINEYARD,NSW,2765,-33.6481000,150.8580000
NSW,133,Macquarie,1811,1,Warrimoo,Warrimoo Citizens Hall,7 Eley Hawkins Dr,,,WARRIMOO,NSW,2774,-33.7209670,150.5978350
NSW,133,Macquarie,1812,1,Wentworth Falls,Wentworth Falls Public School,Falls Rd,,,WENTWORTH FALLS,NSW,2782,-33.7143600,150.3725500
NSW,133,Macquarie,1813,1,Wilberforce,Wilberforce Public School,Macquarie Rd,,,WILBERFORCE,NSW,2756,-33.5585200,150.8394700
NSW,133,Macquarie,1814,1,Windsor,The Deerubbin Centre,300 George St,,,WINDSOR,NSW,2756,-33.6091899,150.8171314
NSW,133,Macquarie,1815,1,Windsor South,Windsor South Public School,Church St,,,SOUTH WINDSOR,NSW,2756,-33.6185000,150.8040000
NSW,133,Macquarie,1816,1,Winmalee,Winmalee High School,High School Dr,,,WINMALEE,NSW,2777,-33.6751000,150.6150000
NSW,133,Macquarie,1818,1,Woodford,Woodford Bush Fire Brigade,cnr Park Rd & Railway Pde,,,WOODFORD,NSW,2778,-33.7341000,150.4700000
NSW,133,Macquarie,1819,1,Yarramundi,Yarramundi Community Centre,Thornbill Way,,,YARRAMUNDI,NSW,2753,-33.6359000,150.6600000
NSW,315,McMahon,31643,1,Abbotsbury,Abbotsbury Community Hall,Stockdale Cres,,,ABBOTSBURY,NSW,2176,-33.8699846,150.8660000
NSW,315,McMahon,65540,5,BLV McMahon PPVC,BLV McMahon,"Suite 3, Level 2, Neeta City","Shopping Centre, 54 Smart St",,FAIRFIELD,NSW,2165,-33.8683473,150.9555234
NSW,315,McMahon,2330,1,Bossley Park,Bossley Park Public School,Marconi Rd,,,BOSSLEY PARK,NSW,2176,-33.8594000,150.8830000
NSW,315,McMahon,2351,1,Bossley Park East,Prairievale Public School,Prairievale Rd,,,BOSSLEY PARK,NSW,2176,-33.8670000,150.8900000
NSW,315,McMahon,8880,1,Bossley Park South,Bossley Park High School,Prairievale Rd,,,BOSSLEY PARK,NSW,2176,-33.8710000,150.8740000
NSW,315,McMahon,57628,5,Divisional Office (PREPOLL),Divisional Office,"Suite 3, Level 2",Neeta City Shopping Centre,54 Smart St,FAIRFIELD,NSW,2165,-33.8695695,150.9559644
NSW,315,McMahon,873,1,Edensor Park North,Governor Philip King Public School,Allambie Rd,,,EDENSOR PARK,NSW,2176,-33.8745000,150.8790000
NSW,315,McMahon,11939,1,Erskine Park,James Erskine Public School,Peppertree Dr,,,ERSKINE PARK,NSW,2759,-33.8057000,150.8030000
NSW,315,McMahon,2335,1,Fairfield,Senior Citizens Hall,Kenyon St,,,FAIRFIELD,NSW,2165,-33.8708000,150.9520000
NSW,315,McMahon,32481,1,Fairfield Central,Fairfield Public School,Smart St,,,FAIRFIELD,NSW,2165,-33.8677400,150.9554100
NSW,315,McMahon,2336,1,Fairfield East (McMahon),Fairfield City Leisure Centre,Vine St,,,FAIRFIELD,NSW,2165,-33.8751000,150.9610000
NSW,315,McMahon,2337,1,Fairfield Heights,Fairfield Heights Public School,Station St,,,FAIRFIELD HEIGHTS,NSW,2165,-33.8670000,150.9480000
NSW,315,McMahon,46744,5,Fairfield MCMAHON PPVC,Neeta City Shopping Centre,"Shop H2B, Level 1",54 Smart Street,,FAIRFIELD,NSW,2165,-33.8678980,150.9559390
NSW,315,McMahon,2338,1,Fairfield North,Fairfield High School,The Horsley Dr,,,FAIRFIELD,NSW,2165,-33.8671000,150.9570000
NSW,315,McMahon,2339,1,Fairfield South,Fairvale Public School,Wolseley St,,,FAIRFIELD,NSW,2165,-33.8767019,150.9412910
NSW,315,McMahon,2340,1,Fairfield West,Fairfield West Public School,Hamilton Rd,,,FAIRFIELD WEST,NSW,2165,-33.8685600,150.9245500
NSW,315,McMahon,2341,1,Fairfield West Central,Fairvale High School,Thorney Rd,,,FAIRFIELD WEST,NSW,2165,-33.8744644,150.9299808
NSW,315,McMahon,874,1,Greenfield Park,St Johns Park High School,Mimosa Rd,,,GREENFIELD PARK,NSW,2176,-33.8735000,150.8910000
NSW,315,McMahon,2342,1,Greystanes,Greystanes Public School,Merrylands Rd,,,GREYSTANES,NSW,2145,-33.8281535,150.9417595
NSW,315,McMahon,2346,1,Greystanes Central,Holroyd High School,Cumberland Rd,,,GREYSTANES,NSW,2145,-33.8341000,150.9510000
NSW,315,McMahon,2353,1,Greystanes East,Ringrose Public School,Ringrose Ave,,,GREYSTANES,NSW,2145,-33.8203000,150.9590000
NSW,315,McMahon,2343,1,Greystanes North,Beresford Road Public School,Beresford Rd,,,GREYSTANES,NSW,2145,-33.8147819,150.9418413
NSW,315,McMahon,2350,1,Greystanes North East,Pendle Hill Girl Guides Hall,Ettalong Rd,,,GREYSTANES,NSW,2145,-33.8128000,150.9520000
NSW,315,McMahon,2360,1,Greystanes South,Widemere Public School,Nemesia St,,,GREYSTANES,NSW,2145,-33.8337000,150.9400000
NSW,315,McMahon,2347,1,Horsley Park,Horsley Park Public School,The Horsley Dr,,,HORSLEY PARK,NSW,2164,-33.8412030,150.8525923
NSW,315,McMahon,398,1,Kemps Creek (McMahon),Kemps Creek Public School,100 Cross St,,,KEMPS CREEK,NSW,2178,-33.8839497,150.7899021
NSW,315,McMahon,2256,1,Merrylands Central (McMahon),Hilltop Road Public School,Hilltop Rd,,,MERRYLANDS,NSW,2160,-33.8260000,150.9730000
NSW,315,McMahon,2354,1,Merrylands West (McMahon),Coolibah Fitness Centre,25 Paton St,,,MERRYLANDS WEST,NSW,2160,-33.8346000,150.9680000
NSW,315,McMahon,65208,5,Mount Druitt MCMAHON PPVC,Kevin Betts Stadium,Ralph Pl,,,MOUNT DRUITT,NSW,2770,-33.7660503,150.8240319
NSW,315,McMahon,65209,5,Parramatta MCMAHON PPVC,"Level 1, 18 Smith St",,,,PARRAMATTA,NSW,2150,-33.8143612,151.0006048
NSW,315,McMahon,409,1,St Clair,St Clair Public School,Timesweep Dr,,,ST CLAIR,NSW,2759,-33.7965000,150.7860000
NSW,315,McMahon,391,1,St Clair East,Clairgate Public School,Colorado Dr,,,ST CLAIR,NSW,2759,-33.7962789,150.7997394
NSW,315,McMahon,390,1,St Clair South,Blackwell Public School,Blackwell Ave,,,ST CLAIR,NSW,2759,-33.8059000,150.7830000
NSW,315,McMahon,383,1,St Clair West,Banks Public School,Banks Dr,,,ST CLAIR,NSW,2759,-33.7937771,150.7732597
NSW,315,McMahon,2355,1,Smithfield,Smithfield Public School,O'Connell St,,,SMITHFIELD,NSW,2164,-33.8542000,150.9340000
NSW,315,McMahon,2356,1,Smithfield East,Smithfield RSL Youth Club Hall,Oxford St,,,SMITHFIELD,NSW,2164,-33.8564000,150.9390000
NSW,315,McMahon,2357,1,Smithfield West,Smithfield West Public School,Wetherill St,,,SMITHFIELD,NSW,2164,-33.8572671,150.9171256
NSW,315,McMahon,2280,1,South Wentworthville Central,Wentworthville Baptist Church Hall,Chelmsford Rd,,,SOUTH WENTWORTHVILLE,NSW,2145,-33.8187000,150.9670000
NSW,315,McMahon,2260,1,South Wentworthville West,South Wentworthville Guide Hall,Hampden Rd,,,SOUTH WENTWORTHVILLE,NSW,2145,-33.8283000,150.9640000
NSW,315,McMahon,57627,2,Special Hospital Team 1,Multiple sites,,,,,NSW,,,
NSW,315,McMahon,14145,1,Sydney (McMahon),Sydney Town Hall,George St,,,SYDNEY,NSW,2000,-33.8730501,151.2064528
NSW,315,McMahon,2361,1,Wetherill Park,William Stimson Public School,Lily St,,,WETHERILL PARK,NSW,2164,-33.8545000,150.9060000
NSW,134,Mitchell,8876,1,Aminya,Aminya Hostel & Nursing Home,Goolgung Ave,,,BAULKHAM HILLS,NSW,2153,-33.7575000,151.0000000
NSW,134,Mitchell,57720,1,Annangrove (Mitchell),Annangrove Public School,185 Annangrove Rd,,,ANNANGROVE,NSW,2156,-33.6687322,150.9522275
NSW,134,Mitchell,11967,1,Baulkham Hills,The Hills Special School,Mary St,,,NORTHMEAD,NSW,2152,-33.7795500,151.0028900
NSW,134,Mitchell,1825,1,Baulkham Hills Central,Baulkham Hills High School,419A Windsor Rd,,,BAULKHAM HILLS,NSW,2153,-33.7519685,150.9899785
NSW,134,Mitchell,1827,1,Baulkham Hills North,Baulkham Hills North Public School,cnr Henry St & Girralong Ave,,,BAULKHAM HILLS,NSW,2153,-33.7523967,150.9995923
NSW,134,Mitchell,34116,1,Beaumont Hills,Beaumont Hills Public School,The Parkway,,,KELLYVILLE,NSW,2155,-33.6980000,150.9470000
NSW,134,Mitchell,47691,1,Bella Vista,Village Green Community Centre,109 Bella Vista Dr,,,BELLA VISTA,NSW,2153,-33.7429300,150.9587100
NSW,134,Mitchell,65452,5,BLV Mitchell PPVC,BLV Mitchell,Level 4,18 Smith St,,PARRAMATTA,NSW,2150,-33.8149253,151.0062625
NSW,134,Mitchell,1829,1,Castle Hill,Castle Hill Public School,Les Shore Pl,,,CASTLE HILL,NSW,2154,-33.7282000,151.0050000
NSW,134,Mitchell,1830,1,Castle Hill Central,Castle Hill High School,Castle St,,,CASTLE HILL,NSW,2154,-33.7272000,150.9990000
NSW,134,Mitchell,11969,1,Castle Hill East,Castle Hill House,Francis St,,,CASTLE HILL,NSW,2154,-33.7384000,151.0030000
NSW,134,Mitchell,33905,5,Castle Hill MITCHELL PPVC,Industrial Unit,6 Hoyle Ave,,,CASTLE HILL,NSW,2154,-33.7333810,150.9831940
NSW,134,Mitchell,11970,1,Castle Hill West,DaySpring Church,15 Salisbury Rd,,,CASTLE HILL,NSW,2154,-33.7279291,150.9806724
NSW,134,Mitchell,1833,1,Crestwood,Crestwood Public School,38 Peel Rd,,,BAULKHAM HILLS,NSW,2153,-33.7480900,150.9714200
NSW,134,Mitchell,1834,1,Crestwood Central,Crestwood High School,17 Chapel La,,,BAULKHAM HILLS,NSW,2153,-33.7440822,150.9746808
NSW,134,Mitchell,30125,5,Divisional Office (PREPOLL),Divisional Office,Level 4,18 Smith St,,PARRAMATTA,NSW,2150,-33.7308450,151.0077370
NSW,134,Mitchell,45260,1,Eurambie Park (Mitchell),Eurambie Park Child Care Centre,41 Coonara Ave,,,WEST PENNANT HILLS,NSW,2125,-33.7447000,151.0300000
NSW,134,Mitchell,1851,1,Hopetoun,"Barton Hall, Hopetoun Village",cnr Gough Dr & David Rd,,,CASTLE HILL,NSW,2154,-33.7285000,151.0250000
NSW,134,Mitchell,1840,1,Jasper Road,Jasper Road Public School,Jasper Rd,,,BAULKHAM HILLS,NSW,2153,-33.7611000,150.9820000
NSW,134,Mitchell,1841,1,Kellyville,Kellyville Public School,35a Windsor Rd,,,KELLYVILLE,NSW,2155,-33.7119846,150.9579173
NSW,134,Mitchell,36372,1,Kellyville East,Kellyville High School,cnr York Rd & Queensbury Ave,,,KELLYVILLE,NSW,2155,-33.7090900,150.9670200
NSW,134,Mitchell,58821,1,Kellyville South,Wrights Road Community Centre,cnr Harrington Ave & Wrights Rd,,,KELLYVILLE,NSW,2155,-33.7146790,150.9716260
NSW,134,Mitchell,1845,1,Matthew Pearce,Matthew Pearce Public School,Astoria Park Rd,,,BAULKHAM HILLS,NSW,2153,-33.7575200,150.9625000
NSW,134,Mitchell,1847,1,Model Farms,Model Farms High School,Gooden Dr,,,BAULKHAM HILLS,NSW,2153,-33.7704000,150.9720000
NSW,134,Mitchell,1848,1,Mowll,"Dover Hall, Mowll Village",Hilliard Dr,,,CASTLE HILL,NSW,2154,-33.7271000,151.0240000
NSW,134,Mitchell,1849,1,Muirfield,Muirfield Technology High School,Barclay Rd,,,NORTH ROCKS,NSW,2151,-33.7657500,151.0222200
NSW,134,Mitchell,2263,1,Northmead (Mitchell),Northmead Public School,cnr Kleins Rd & Moxhams St,,,NORTHMEAD,NSW,2152,-33.7867000,150.9910000
NSW,134,Mitchell,2264,1,Northmead East (Mitchell),Northmead High School,Campbell St,,,NORTHMEAD,NSW,2152,-33.7885000,151.0000000
NSW,134,Mitchell,651,1,North Rocks (Mitchell),North Rocks Public School,359 North Rocks Rd,,,NORTH ROCKS,NSW,2151,-33.7688000,151.0260000
NSW,134,Mitchell,11974,1,Oakhill Drive (Mitchell),Oakhill Drive Public School,1-5 Oakhill Drive,,,CASTLE HILL,NSW,2154,-33.7215140,151.0232634
NSW,134,Mitchell,65239,5,Parramatta MITCHELL PPVC,Altis Building,Level 1,18 Smith St,,PARRAMATTA,NSW,2150,-33.8149253,151.0062625
NSW,134,Mitchell,1853,1,Rondelay,Excelsior Public School,Rondelay Dr,,,CASTLE HILL,NSW,2154,-33.7408000,150.9910000
NSW,134,Mitchell,1854,1,Rouse Hill,Rouse Hill Public School,Clower Ave,,,ROUSE HILL,NSW,2155,-33.6790500,150.9200200
NSW,134,Mitchell,1837,1,Samuel Gilbert (Mitchell),Samuel Gilbert Public School,cnr Ridgecrop Dr & Gilbert Rd,,,CASTLE HILL,NSW,2154,-33.7142000,150.9930000
NSW,134,Mitchell,37049,1,Sherwood Ridge,Sherwood Ridge Public School,Rosebery Rd,,,KELLYVILLE,NSW,2155,-33.7072000,150.9760000
NSW,134,Mitchell,58758,2,Special Hospital Team 1,Multiple sites,,,,,NSW,2153,,
NSW,134,Mitchell,14125,1,Sydney (Mitchell),Sydney Town Hall,George St,,,SYDNEY,NSW,2000,-33.8730501,151.2064528
NSW,134,Mitchell,1826,1,The Hills,Baulkham Hills Community Centre,390 Windsor Rd,,,BAULKHAM HILLS,NSW,2153,-33.7611290,150.9907762
NSW,134,Mitchell,45262,1,West Pennant Hills (Mitchell),West Pennant Hills Valley Community Centre,42A Hill Rd,,,WEST PENNANT HILLS,NSW,2125,-33.7477183,151.0270559
NSW,134,Mitchell,2284,1,Winston Heights,Winston Heights Public School,51 Buckleys Rd,,,WINSTON HILLS,NSW,2153,-33.7754000,150.9680000
NSW,134,Mitchell,2285,1,Winston Hills,Winston Hills Public School,Hillcrest Ave,,,WINSTON HILLS,NSW,2153,-33.7735000,150.9810000
NSW,134,Mitchell,33788,1,Winston Hills South,Winston Hills Guides Hall,Edison Pde,,,WINSTON HILLS,NSW,2153,-33.7836000,150.9770000
NSW,134,Mitchell,47690,1,Withers,Ironbark Ridge Primary School,cnr Ironbark Ridge & Withers Rds,,,ROUSE HILL,NSW,2155,-33.6875700,150.9338200
NSW,134,Mitchell,2287,1,Woodberry Village,Woodberry Village,129 Lanhams Rd,,,WINSTON HILLS,NSW,2153,-33.7768000,150.9760000
NSW,135,New England,1912,1,Arding,Arding Uniting Church Hall,Hawthorne Dr,,,ARDING,NSW,2358,-30.5889452,151.5250773
NSW,135,New England,1913,1,Armidale,Armidale Town Hall,Rusden St,,,ARMIDALE,NSW,2350,-30.5146000,151.6660000
NSW,135,New England,1915,1,Armidale Inner West,Armidale Hospital,Rusden St,,,ARMIDALE,NSW,2350,-30.5127000,151.6550000
NSW,135,New England,33752,5,Armidale PPVC,Greater Building Society,Level 1,97-101 Faulkner St,,ARMIDALE,NSW,2350,-30.5134000,151.6675000
NSW,135,New England,1916,1,Armidale South,Armidale City Public School,142-152 Faulkner St,,,ARMIDALE,NSW,2350,-30.5193000,151.6640000
NSW,135,New England,1918,1,Armidale West,Drummond Memorial Public School,Rusden St,,,ARMIDALE,NSW,2350,-30.5108727,151.6507081
NSW,135,New England,1919,1,Ashford,Ashford Memorial Hall,Cnr Inverell and Duff St,,,ASHFORD,NSW,2361,-29.3215000,151.0950000
NSW,135,New England,1920,1,Attunga,Attunga Public School,Attunga St,,,ATTUNGA,NSW,2345,-30.9301543,150.8465307
NSW,135,New England,1064,1,Barraba,Bicentennial Community Centre,Bridge St,,,BARRABA,NSW,2347,-30.3734498,150.6095579
NSW,135,New England,1923,1,Bendemeer,Bendemeer C.W.A. Hall,7 Henry St,,,BENDEMEER,NSW,2355,-30.8842762,151.1539419
NSW,135,New England,1921,1,Ben Lomond,Ben Lomond Public School,588 Inn Rd,,,BEN LOMOND,NSW,2365,-30.0172000,151.6610000
NSW,135,New England,1922,1,Ben Venue,Ben Venue Public School,83-103 Erskine St,,,ARMIDALE,NSW,2350,-30.5031067,151.6744162
NSW,135,New England,1925,1,Black Mountain,Black Mountain Public School,815 Toms Gully Rd,,,BLACK MOUNTAIN,NSW,2460,-30.3086014,151.6577425
NSW,135,New England,1070,1,Blackville,Blackville Public School,15 O'Neile St,,,BLACKVILLE,NSW,2343,-31.6407177,150.2378306
NSW,135,New England,65476,5,BLV New England PPVC,BLV New England,Level 1,97-101 Faulkner Street,,ARMIDALE,NSW,2350,-30.5132880,151.6676680
NSW,135,New England,1926,1,Bonshaw,Bonshaw Memorial Hall,Miller St,,,BONSHAW,NSW,2361,-29.0483000,151.2760000
NSW,135,New England,1075,1,Breeza,Breeza Hall,Currabubula Rd,,,BREEZA,NSW,2381,-31.2469581,150.4680477
NSW,135,New England,1928,1,Bundarra,Bundarra Central School,11 Bowline St,,,BUNDARRA,NSW,2359,-30.1679145,151.0760407
NSW,135,New England,1929,1,Calala,Carinya Christian School,Boronia Dr,,,CALALA,NSW,2340,-31.1288000,150.9400000
NSW,135,New England,1081,1,Caroona,Caroona Mechanics Institute,Coonabarabran Rd,,,CAROONA,NSW,2343,-31.4065443,150.4255942
NSW,135,New England,1082,1,Carroll,Carroll Public School,David St,,,CARROLL,NSW,2340,-30.9860912,150.4474055
NSW,135,New England,46486,1,Coledale Community,Coledale Community Centre,2B Kenny Drive,,,WEST TAMWORTH,NSW,2340,-31.1105102,150.8954636
NSW,135,New England,1094,1,Curlewis,Curlewis Public School,Goran St,,,CURLEWIS,NSW,2381,-31.1175000,150.2630000
NSW,135,New England,1095,1,Currabubula,Currabubula Public School,Bolton St,,,CURRABUBULA,NSW,2342,-31.2633000,150.7350000
NSW,135,New England,1930,1,Dangarsleigh,Dangarsleigh C.W.A. Hall,930 Dangarsleigh Road,,,DANGARSLEIGH,NSW,2350,-30.6022132,151.6796911
NSW,135,New England,1931,1,Deepwater,Deepwater Public School,15-25 Young St,,,DEEPWATER,NSW,2371,-29.4434000,151.8480000
NSW,135,New England,1097,1,Delungra,Delungra Community Hall,Railway Street,,,DELUNGRA,NSW,2403,-29.6545000,150.8280000
NSW,135,New England,30126,5,Divisional Office (PREPOLL),Divisional Office,Level 1,97-101 Faulkner St,,ARMIDALE,NSW,2350,-30.5132880,151.6676680
NSW,135,New England,2070,1,Drake,Drake Community Hall,Tabulam St,,,DRAKE,NSW,2469,-28.9286000,152.3750000
NSW,135,New England,1933,1,Dungowan,Dungowan Community Hall,Ogunbil Road,,,DUNGOWAN,NSW,2340,-31.2517507,151.1809597
NSW,135,New England,1934,1,Duri,Duri Public Hall,12 Bielfields Rd,,,DURI,NSW,2344,-31.2183536,150.8169057
NSW,135,New England,1935,1,Ebor,Ebor Public School,52 Ebor St,,,EBOR,NSW,2453,-30.4028528,152.3497061
NSW,135,New England,1936,1,Elsmore,Elsmore Memorial Hall,1181 Elsmore Rd,,,ELSMORE,NSW,2370,-29.8024000,151.2660000
NSW,135,New England,1937,1,Emmaville,Emmaville Central School,20-28 Park Rd,,,EMMAVILLE,NSW,2371,-29.4471382,151.6011641
NSW,135,New England,1938,1,Gilgai,Gilgai Hall,1 Hall St,,,GILGAI,NSW,2360,-29.8542000,151.1180000
